genre,preview_url,preview_track,color,top,left,font_size,run_date
rap tico,https://p.scdn.co/mp3-preview/5fcd00635ee812e63339ff061687c8698988c1ee,"e.g. Soultwo ""Mami""","rgb(176, 135, 34)",9354px,1108px,100%,20220428
piano blues,https://p.scdn.co/mp3-preview/ad24245468823db16e794a31d2c1c5233cd370fe,"e.g. Champion Jack Dupree ""Junker's Blues""","rgb(102, 136, 45)",17046px,917px,101%,20220428
folk rock italiano,https://p.scdn.co/mp3-preview/4925c3ff7370dc4b326bb674b9540f6519f5a67d,"e.g. Bandabardò ""Se mi rilasso collasso""","rgb(132, 138, 11)",13709px,724px,102%,20220428
indonesian folk,https://p.scdn.co/mp3-preview/5b4b4d7c4e0fe4f2bc321bd79d6aa4717e3febcf,"e.g. Mr. Sonjaya ""Penjaringan""","rgb(106, 157, 25)",13584px,608px,102%,20220428
kompa chretien,https://p.scdn.co/mp3-preview/66136033a0b80cd061df63413cce1d2f02d9f5cb,"e.g. DJ H509 ""Tu es Yahweh""","rgb(166, 140, 12)",8012px,729px,100%,20220428
australian indie folk,https://p.scdn.co/mp3-preview/19cc91144279fab0c2fa3f1bfde5e281fc8c360c,"e.g. Kyle Lionhart ""Sorry I'm Gone (Feat. Emily Reid)""","rgb(119, 151, 26)",12103px,642px,102%,20220428
dutch musical,https://p.scdn.co/mp3-preview/2ffcf946c2a347ef9d2a5debec69709334462ac3,"e.g. Cast Mary Poppins ""Supercalifragilisticexpialidasties""","rgb(117, 141, 19)",14412px,547px,100%,20220428
canadian blues,https://p.scdn.co/mp3-preview/f6ee8eb903eb329bc2d5946687195c9ffc0ef63e,"e.g. Colin James ""Three Hours Past Midnight""","rgb(151, 127, 14)",12164px,732px,100%,20220428
zim gospel,https://p.scdn.co/mp3-preview/593434f0033dc085a2f6f2fe10f434d8e216610a,"e.g. Charles Charamba ""Kana vanhu vangu""","rgb(158, 136, 4)",9892px,656px,100%,20220428
blues,https://p.scdn.co/mp3-preview/d9ab1922a03e5621eb6a62d98e8c109422c735ee,"e.g. Junior Wells ""She's A Sweet One""","rgb(105, 134, 33)",16897px,1008px,104%,20220428
cha-cha-cha,https://p.scdn.co/mp3-preview/769d32602cc6284be347eb302379d9798616acf9,"e.g. Orquesta América ""Me Lo Dijo Adela - Remasterizado""","rgb(127, 133, 62)",15625px,966px,101%,20220428
fado instrumental,https://p.scdn.co/mp3-preview/be6a4dfe2d72231f29c0cb947f3c63d32dea6c9a,"e.g. Custódio Castelo ""In agradecimento Miss Morna""","rgb(105, 162, 142)",16199px,758px,100%,20220428
sunshine pop,https://p.scdn.co/mp3-preview/763d8180795ecc185627b846dff2ae95a43b7884,"e.g. The Cyrkle ""Red Rubber Ball""","rgb(126, 132, 8)",13930px,666px,103%,20220428
st petersburg fl indie,https://p.scdn.co/mp3-preview/0f832c466899b8be5a9ffd7549bea1ab6fba6d0f,"e.g. Polyenso ""Falling in Rain""","rgb(158, 131, 41)",10309px,446px,100%,20220428
classic turkish pop,https://p.scdn.co/mp3-preview/662fbb17cb29baaeb8e7a6ea3b47d667c3025ba1,"e.g. Rana Alagöz ""Aşkın Gözü Kör Mü""","rgb(129, 138, 13)",14658px,559px,102%,20220428
marathi traditional,https://p.scdn.co/mp3-preview/927df5aad10bc39542c8ec091f746e77fb6e3aae,"e.g. Arun Date ""Yeshil Yeshil Rani""","rgb(108, 143, 68)",16214px,692px,100%,20220428
classic pakistani pop,https://p.scdn.co/mp3-preview/ffa82d2831339f03922c70e70f248bf0ef579c9f,"e.g. Noor Jehan ""Mujhse Pehli Si Mohabbat""","rgb(133, 134, 33)",14721px,732px,103%,20220428
singaporean punk,https://p.scdn.co/mp3-preview/0651813deb34df7e1e13ded80e89d2040d055acb,"e.g. Forests ""Kawaii Hawaii""","rgb(219, 85, 47)",6707px,301px,100%,20220428
mestissatge,https://p.scdn.co/mp3-preview/9f38afd63ed510cadd814bc0a38652fe32392bc1,"e.g. XEIC! ""Ilargia""","rgb(186, 130, 6)",4179px,864px,101%,20220428
alt-idol,https://p.scdn.co/mp3-preview/d80bd8d55261413517f22b14a35e76b9365f112f,"e.g. Ringwanderung ""La La""","rgb(221, 108, 30)",2541px,479px,100%,20220428
candombe,https://p.scdn.co/mp3-preview/c956f6cf5eac2e551465ea73eed085a85f0a55ac,"e.g. Jorginho Gularte ""Tambor, Tambora""","rgb(157, 130, 38)",10690px,970px,100%,20220428
muzica usoara,https://p.scdn.co/mp3-preview/e70672780a3f40d9b4aec985ca2fda8ba5943ab4,"e.g. Dan Spataru ""Drumurile""","rgb(128, 143, 7)",13387px,622px,100%,20220428
jam band,https://p.scdn.co/mp3-preview/5d0f5369b6364ac35e830a924caf55c1d525c6d7,"e.g. moe. ""In a Big Country""","rgb(155, 126, 59)",12362px,697px,104%,20220428
scottish indie rock,https://p.scdn.co/mp3-preview/da15a2be4bf2ded93fd0f6f7011da85a9635b7a7,"e.g. Declan Welsh and The Decadent West ""Absurd""","rgb(188, 120, 26)",5336px,362px,101%,20220428
pop lgbtq+ brasileira,https://p.scdn.co/mp3-preview/d45050915fef70aeb08038a7fe09595ed50d3cb2,"e.g. Potyguara Bardo ""Oasis (Ao Vivo no Estúdio MangoLab)""","rgb(154, 143, 7)",8505px,929px,104%,20220428
iskelma,https://p.scdn.co/mp3-preview/5b20aae96732b5d5774d6d61e6b2699a168c26f5,"e.g. Neljänsuora ""Mansikkaa ja valkoapilaa""","rgb(149, 138, 4)",8897px,683px,102%,20220428
musica popular amazonense,https://p.scdn.co/mp3-preview/9c457fa415443c371a9f94a45154c399fa7f1cd5,"e.g. Boi Bumbá Caprichoso ""Povo Festeiro da Ilha""","rgb(167, 136, 15)",9994px,876px,100%,20220428
pop costarricense,https://p.scdn.co/mp3-preview/03877aa18fd7228cc5be0b57b20c738562d0e957,"e.g. GIMARIO ""Pensándote - Remix""","rgb(171, 142, 10)",9128px,1030px,100%,20220428
birmingham hip hop,https://p.scdn.co/mp3-preview/d9c5f219d620c6d4998033d0313aefa73d0c1673,"e.g. Stardom ""Lil Boosie""","rgb(168, 131, 19)",11433px,1049px,101%,20220428
modern bollywood,https://p.scdn.co/mp3-preview/513c79a6bcf41d75e0f9c7441b8709c3f7f34d7e,"e.g. Javed Ali ""Srivalli (From ""Pushpa The Rise Part - 01"")""","rgb(153, 132, 12)",11321px,758px,113%,20220428
thai folk,https://p.scdn.co/mp3-preview/3140f435f6ab1ce044ba0606f162c3f7b4b94903,"e.g. Greasy Cafe' ""ฝืน""","rgb(123, 147, 26)",12288px,633px,101%,20220428
southern gospel,https://p.scdn.co/mp3-preview/5adc0b8d5253f6509dc40d6e0a48d71dfef5f8df,"e.g. The Nelons ""Come Morning""","rgb(119, 143, 14)",13030px,547px,101%,20220428
syro-aramaic chant,https://p.scdn.co/mp3-preview/a5a394a9654ff514eced768dc46d81d8f0e99d91,"e.g. Ghada Shbeir ""Lamma Bada Yatathanna""","rgb(53, 172, 25)",18767px,364px,100%,20220428
jazz puertorriqueno,https://p.scdn.co/mp3-preview/be3231c5a207c0d97ffd47405e02d402d65c1039,"e.g. Giovanni Hidalgo ""Summertime""","rgb(156, 123, 96)",15337px,1034px,100%,20220428
chamame brasilero,https://p.scdn.co/mp3-preview/e0aa16a6e54a0e6b0ab5941a880873368f47e992,"e.g. Grupo Pantanal ""Coisas do poeira Amelia""","rgb(158, 139, 24)",9818px,909px,100%,20220428
