genre,preview_url,preview_track,color,top,left,font_size,run_date
south african deep house,https://p.scdn.co/mp3-preview/13eb255730bacd9b1b7b0353d5b4f5f3c94fbc8d,"e.g. Sculptured Music ""Speak Lord - Chymamusique Retro Remix""","rgb(152, 152, 151)",1032px,1286px,100%,20221019
french tech house,https://p.scdn.co/mp3-preview/b4d88e1de3f79372ebe478f34433d84d97c9ac4d,"e.g. Chicks Luv Us ""Connection""","rgb(194, 136, 184)",234px,1389px,101%,20221019
classic praise,https://p.scdn.co/mp3-preview/f8843fae8ead715d152cc2485de37933f6585214,"e.g. Joseph Garlington ""My Life Is In You, Lord""","rgb(106, 149, 34)",12613px,491px,101%,20221019
musica amapaense,https://p.scdn.co/mp3-preview/7c73d85d5829854f7d428ff2e2214aec4be1e345,"e.g. Patrícia Bastos ""U Amassu I U Dubradú""","rgb(160, 136, 11)",9176px,769px,100%,20221019
piano blues,https://p.scdn.co/mp3-preview/ad24245468823db16e794a31d2c1c5233cd370fe,"e.g. Champion Jack Dupree ""Junker's Blues""","rgb(102, 136, 45)",17301px,916px,101%,20221019
folk rock italiano,https://p.scdn.co/mp3-preview/baf40a0e4345959c7f3bece0f751c2198b70d07d,"e.g. Mercanti di Liquore ""Il viaggiatore""","rgb(133, 137, 10)",13807px,721px,102%,20221019
adoracion pentecostal,https://p.scdn.co/mp3-preview/55af442334322b051dd2158e66a1fe55a8f18faa,"e.g. Lina García ""Absoluto""","rgb(145, 146, 7)",10504px,829px,101%,20221019
cha-cha-cha,https://p.scdn.co/mp3-preview/3ccfb935bde1972c46115f0c1914dec8e9c4ac0d,"e.g. Orquesta Aragón ""Quiéreme Sempre""","rgb(127, 133, 62)",15835px,965px,101%,20221019
chanson quebecois,https://p.scdn.co/mp3-preview/529d5b5393af1833c7ad99a906c024894cdc6ae9,"e.g. Les Classels ""Ton amour a changé ma vie""","rgb(130, 142, 8)",14177px,632px,101%,20221019
classic australian country,https://p.scdn.co/mp3-preview/182797132739cb13613eeeef03b411eef19eb463,"e.g. Buddy Williams ""The Overlander Trail""","rgb(128, 142, 6)",12699px,857px,100%,20221019
roots rock,https://p.scdn.co/mp3-preview/45abd519fbdc013585bb4011e8f1e510d84409eb,"e.g. Chuck Prophet ""Summertime Thing""","rgb(135, 134, 23)",13276px,668px,109%,20221019
birmingham indie,https://p.scdn.co/mp3-preview/088d0edbe0a734dd0ef2fa9c510d8028dc870197,"e.g. Peace ""Lovesick""","rgb(167, 130, 31)",7274px,438px,100%,20221019
fado instrumental,https://p.scdn.co/mp3-preview/be6a4dfe2d72231f29c0cb947f3c63d32dea6c9a,"e.g. Custódio Castelo ""In agradecimento Miss Morna""","rgb(107, 161, 142)",16379px,757px,100%,20221019
muzica usoara,https://p.scdn.co/mp3-preview/d525c99c2891ff927c8245b61daaffff5e631832,"e.g. Aurelian Andreescu ""Oameni""","rgb(128, 143, 6)",13448px,623px,100%,20221019
taiwan indie,https://p.scdn.co/mp3-preview/0bb7e2cb22fd8e39b690fd526e3d546f71a407c0,"e.g. Wayne's so Sad ""台北流浪指南""","rgb(149, 136, 34)",8697px,521px,102%,20221019
ye ye,https://p.scdn.co/mp3-preview/769c1ddd49d1ed2b710b0c8a68665f67839d2a4e,"e.g. Sylvie Vartan ""La plus Belle pour Aller Danser""","rgb(132, 138, 7)",14770px,615px,102%,20221019
dutch classical piano,https://p.scdn.co/mp3-preview/8da88c07de46c49e27e82bee6e4da5d854afd919,"e.g. Lucas Jussen """"Was mir behagt, ist nur die muntre Jagd"" Cantata, BWV 208: 9. Schafe können sicher weiden (Arr. For Piano Four Hands by Mary Howe)""","rgb(34, 164, 217)",20769px,542px,100%,20221019
czsk reggae,https://p.scdn.co/mp3-preview/9ac6fab6c5ba46551b7744a6a0a2757795f8b3fa,"e.g. Svihadlo ""Času Je Málo""","rgb(191, 128, 9)",5684px,1013px,100%,20221019
deep talent show,https://p.scdn.co/mp3-preview/de266291ebe6127f71804efce7a1f2be3b4af241,"e.g. Britton Buchanan ""Cross My Mind""","rgb(150, 141, 8)",9053px,570px,101%,20221019
muzica crestina,https://p.scdn.co/mp3-preview/d342ad3e7436e1d3b830c38fdcae371aad0f922b,"e.g. Messis ""Iubirea adâncă a Tatălui""","rgb(122, 150, 19)",12650px,512px,100%,20221019
modern bollywood,https://p.scdn.co/mp3-preview/513c79a6bcf41d75e0f9c7441b8709c3f7f34d7e,"e.g. Javed Ali ""Srivalli (From ""Pushpa The Rise Part - 01"")""","rgb(154, 131, 12)",11390px,757px,116%,20221019
sega,https://p.scdn.co/mp3-preview/3759de6de66be74684e5a37c09ac6eca6cea98f3,"e.g. Baster ""Alon dansé""","rgb(165, 134, 17)",8757px,1035px,100%,20221019
ragtime,https://p.scdn.co/mp3-preview/a2a41987dd014b68a842bc80d147b2b71a073e70,"e.g. Scott Joplin ""The Entertainer""","rgb(91, 143, 178)",19119px,1056px,100%,20221019
hk-pop,https://p.scdn.co/mp3-preview/9e2bc24e9eb283fb4a55863b2da9988b1df8294a,"e.g. 葉巧琳 ""難道我還未夠難""","rgb(135, 147, 5)",9903px,718px,102%,20221019
chamame brasilero,https://p.scdn.co/mp3-preview/d5d28f51a534d837a738607866a4f8cccdc7a52e,"e.g. Maciel Corrêa ""Orgulho Pantaneiro""","rgb(158, 138, 24)",9780px,908px,100%,20221019
mexican power metal,https://p.scdn.co/mp3-preview/ddc54f1894ce1488f4686ac32c60ee81bd9edc79,"e.g. Psicofonia ""Cama de Rosas""","rgb(209, 104, 41)",6492px,258px,100%,20221019
musica indigena latinoamericana,https://p.scdn.co/mp3-preview/e76c7838cfcf72c0228cf817576d8a663956c0cb,"e.g. Luzmila Carpio ""Tarpuricusum Sarata - Captain Planet Remix""","rgb(144, 143, 14)",12587px,916px,100%,20221019
rhode island rap,https://p.scdn.co/mp3-preview/8bd6529ec845b011d94a39a1c40efa6bbb1eb544,"e.g. B. Dolan ""Fifty Ways To Bleed Your Customer""","rgb(150, 139, 8)",10319px,1009px,102%,20221019
reggae peruano,https://p.scdn.co/mp3-preview/6cbd998663a1aae5134eb3d52dce3dd502228156,"e.g. Laguna Pai ""Canales""","rgb(165, 142, 28)",6309px,1030px,100%,20221019
ukhc,https://p.scdn.co/mp3-preview/c754b0aca0429bb23d85429860818cc1560d1801,"e.g. Guilt Trip ""River of Lies""","rgb(225, 79, 66)",8949px,242px,100%,20221019
namibian pop,https://p.scdn.co/mp3-preview/b52196fcc559cc6c5560acd9df0a616836ce4ade,"e.g. Gazza ""Chelete""","rgb(178, 135, 15)",4992px,1063px,100%,20221019
pinoy trap,https://p.scdn.co/mp3-preview/73cb6e5b9c06694a93049ef7eba444b5ae0b4fe5,"e.g. Kris Delano ""Alak Usok Pera""","rgb(149, 148, 9)",6322px,1035px,103%,20221019
swedish underground rap,https://p.scdn.co/mp3-preview/d558907384c470a394cfadc8799f695977ecac0f,"e.g. Fjärde Världen ""Tamam""","rgb(175, 125, 24)",10701px,1037px,100%,20221019
austin hip hop,https://p.scdn.co/mp3-preview/922bbc5aa1b12c486a5b1ef185a036bae6cf4536,"e.g. Quin Nfn ""Laid Back""","rgb(146, 145, 7)",8819px,1019px,100%,20221019
vintage chinese pop,https://p.scdn.co/mp3-preview/2286f4819e8f6efc43dbf2ca3ffe782c9205f674,"e.g. 張露 ""給我一個吻""","rgb(104, 154, 5)",14300px,508px,101%,20221019
melanesian pop,https://p.scdn.co/mp3-preview/7c69d9686e19c856baa7752dba37c78706db1ab6,"e.g. Sharzy ""Ta' Umai""","rgb(160, 143, 7)",4399px,994px,101%,20221019
pakistani hip hop,https://p.scdn.co/mp3-preview/70bfa729642eecdb6833d86c92857497c196f310,"e.g. Faris Shafi ""Nazar""","rgb(161, 145, 9)",7827px,1098px,104%,20221019
classic colombian pop,https://p.scdn.co/mp3-preview/80c3d023ad9db01bae633a6dc2b797e3b15bb608,"e.g. Lucho Bowen ""Quererte Ya No Puedo""","rgb(130, 151, 12)",13294px,1091px,102%,20221019
rap latina,https://p.scdn.co/mp3-preview/e37b1984d77dd9e4b92abded2d585835dbea2b7e,"e.g. Sara Hebe ""Tuve que quemar""","rgb(172, 143, 6)",5144px,1143px,106%,20221019
canadian indigenous hip hop,https://p.scdn.co/mp3-preview/0798ed9cdfb55febce504078766915e28e1ba592,"e.g. Joey Stylez ""Save Your Soul (Radio Version)""","rgb(155, 139, 12)",5170px,1093px,100%,20221019
reggae,https://p.scdn.co/mp3-preview/bcb04f38519519a1e3a31fc765b1349a14ae3856,"e.g. Wailing Souls ""Jah Give Us Life""","rgb(136, 143, 34)",6935px,1217px,106%,20221019
jazz trumpet,https://p.scdn.co/mp3-preview/83c1dc51698a53fb78a48c5cda7d1ef2ef376ce9,"e.g. Tom Harrell ""Journey to the Stars""","rgb(87, 140, 100)",18053px,890px,103%,20221019
fingerstyle,https://p.scdn.co/mp3-preview/12967318f624d8b714a47b6c734a4a69648e36c3,"e.g. Peter Finger ""101 South""","rgb(76, 168, 177)",16790px,888px,101%,20221019
southeast asian post-rock,https://p.scdn.co/mp3-preview/152edbcbaa2d47c9326986fe80b91d182fcdf6af,"e.g. 聲子蟲 Bugs of Phonon ""送往繁星""","rgb(158, 136, 173)",9595px,332px,100%,20221019
histoire pour enfants,https://p.scdn.co/mp3-preview/b441a186cb7b196a2c48e76fb9a1e2cb023f8db8,"e.g. Vincent Malone ""Chapitre 1""","rgb(79, 136, 6)",15668px,1175px,100%,20221019
st petersburg fl indie,https://p.scdn.co/mp3-preview/ba557ed15654d8f26a65b8b13414818431fc3d59,"e.g. Polyenso ""Pocket Knife Shadow""","rgb(158, 132, 42)",10567px,444px,100%,20221019
mambo,https://p.scdn.co/mp3-preview/c31774f700aadde7f4a9e5332015804d50599981,"e.g. Cachao ""Cogele el Golpe""","rgb(140, 128, 69)",15534px,1011px,101%,20221019
wyoming indie,https://p.scdn.co/mp3-preview/eda7f967de68b52cf03ec17cf18d7ed4d21564e8,"e.g. The Lillingtons ""Black Hole In My Mind""","rgb(170, 124, 31)",9325px,461px,100%,20221019
variete francaise,https://p.scdn.co/mp3-preview/c21270a9ead14b79e384226cb047dfb48d120baf,"e.g. Arcadian ""Ton combat""","rgb(165, 138, 2)",7642px,733px,102%,20221019
classic turkish pop,https://p.scdn.co/mp3-preview/662fbb17cb29baaeb8e7a6ea3b47d667c3025ba1,"e.g. Rana Alagöz ""Aşkın Gözü Kör Mü""","rgb(129, 139, 14)",14918px,555px,102%,20221019
swedish rock-and-roll,https://p.scdn.co/mp3-preview/3df89c2c8b5d69c699f59ce524288bebc3516f0f,"e.g. Ola & The Janglers ""Let's Dance""","rgb(177, 122, 69)",11186px,655px,100%,20221019
musica folk asturiana,https://p.scdn.co/mp3-preview/190b71128789a570e4f190883d9455da7a52a3f1,"e.g. Felpeyu ""Loa Fayeos de Mayo""","rgb(143, 145, 50)",11996px,357px,100%,20221019
swedish punk,https://p.scdn.co/mp3-preview/c61006d9f4b719ea8df3e95f169a479d6190876e,"e.g. Strebers ""Betongbarn""","rgb(212, 92, 18)",9126px,353px,101%,20221019
swedish indie folk,https://p.scdn.co/mp3-preview/f4509b844e102e5c7149f47231c06598478b824e,"e.g. Kristofer Åström ""All Lovers Hell""","rgb(101, 159, 55)",14398px,539px,101%,20221019
musica santomense,https://p.scdn.co/mp3-preview/1acd630729e6b865e10dc0c578d8fefb4aa11e4d,"e.g. Camilo Domingos ""Porque e Que e Assim""","rgb(184, 138, 20)",5782px,998px,100%,20221019
traditional country,https://p.scdn.co/mp3-preview/c172a8378fd4c27cbb2449ed152a2f1ddb8acc7f,"e.g. Ernest Tubb ""Thanks A Lot""","rgb(83, 148, 17)",17052px,904px,101%,20221019
birmingham hip hop,https://p.scdn.co/mp3-preview/d416ac734309c982abbb8994b3407d883880fef4,"e.g. Stardom ""Hashtag""","rgb(167, 132, 19)",11738px,1047px,101%,20221019
audiophile vocal,https://p.scdn.co/mp3-preview/d464263943615c4fb57925413b8fd0eb9f5e60a5,"e.g. Valerie Joyce ""That's What Friends Are For""","rgb(68, 161, 8)",16707px,787px,100%,20221019
iskelma,https://p.scdn.co/mp3-preview/5b20aae96732b5d5774d6d61e6b2699a168c26f5,"e.g. Neljänsuora ""Mansikkaa ja valkoapilaa""","rgb(147, 139, 4)",9717px,675px,102%,20221019
southern gospel,https://p.scdn.co/mp3-preview/5adc0b8d5253f6509dc40d6e0a48d71dfef5f8df,"e.g. The Nelons ""Come Morning""","rgb(119, 143, 14)",13288px,548px,101%,20221019
spanish new wave,https://p.scdn.co/mp3-preview/ff281635d3d35afb8978df029171fcde3ae6f0ba,"e.g. Pistones ""El Pistolero""","rgb(187, 120, 19)",6443px,668px,103%,20221019
goralski,https://p.scdn.co/mp3-preview/d66c3aab75135292a5606f8038b1952275f479c8,"e.g. Kapela Stanisława Ogórka ""Góralu czy Ci Nie Żal""","rgb(131, 146, 5)",11839px,781px,100%,20221019
