genre,preview_url,preview_track,color,top,left,font_size,run_date
rap tico,https://p.scdn.co/mp3-preview/d37ea6c4da6269fc3844082b965642adb4ed888f,"e.g. Mariano SL ""Me da igual""","rgb(176, 135, 33)",8124px,1109px,100%,20220910
champeta,https://p.scdn.co/mp3-preview/72786920e4b37c975f13f96ecce4694e527e90b9,"e.g. Koffee el Kafetero ""El Chicle""","rgb(202, 130, 5)",2823px,1080px,103%,20220910
rap paraense,https://p.scdn.co/mp3-preview/4a2eefda04c9e7be41456e67f545aec26142b62f,"e.g. Nic Dias ""W.D.D""","rgb(147, 145, 5)",9571px,1093px,100%,20220910
norwegian trap,https://p.scdn.co/mp3-preview/14ed4582bc1c5b6e29a3d93c394dcfea82d2996e,"e.g. S1sco ""C'est la vie""","rgb(141, 153, 5)",7530px,1082px,101%,20220910
cumbia ecuatoriana,https://p.scdn.co/mp3-preview/1c58290f6965354757f6df510fdbb052b935f3c6,"e.g. Juanita Burbano ""Orgullo de Mujer""","rgb(152, 145, 21)",11271px,1063px,101%,20220910
trap brasileiro,https://p.scdn.co/mp3-preview/e6d773a1090ea7abe91e7dc12d07245699f93fc1,"e.g. Aka Rasta ""E Se Eu Falasse o Que Sinto?""","rgb(147, 149, 5)",8297px,1071px,106%,20220910
finnish alternative rock,https://p.scdn.co/mp3-preview/6c59fa187bc3a33e23b8acb126ad091db57b1fee,"e.g. CMX ""Vapaus Johtaa Kansaa""","rgb(195, 114, 27)",4901px,349px,101%,20220910
carimbo,https://p.scdn.co/mp3-preview/6d5d84a5c6b3e75b445f504059b2b4db11e951b7,"e.g. Pinduca ""Mistura de Carimbo Com Ciranda""","rgb(186, 132, 12)",7315px,859px,100%,20220910
rap calme,https://p.scdn.co/mp3-preview/28f9515de0bd1be514c1dabc868cc62e24064f53,"e.g. 313 ""Amour de jeunesse""","rgb(140, 152, 4)",11195px,1039px,105%,20220910
kizomba cabo-verdiana,https://p.scdn.co/mp3-preview/e1502958d2abb5a3a370e42f7c75bff83a459315,"e.g. Loony Johnson ""Paké""","rgb(178, 147, 15)",2811px,1026px,100%,20220910
