genre,preview_url,preview_track,color,top,left,font_size,run_date
rap tico,https://p.scdn.co/mp3-preview/3270b125d66adda72c5b43b27db07a69c35ef0dc,"e.g. Soultwo ""Jesús""","rgb(176, 135, 34)",8870px,1108px,100%,20220513
judaica,https://p.scdn.co/mp3-preview/00d288ef90e52d88f7ce5512f8b1e6a6f9ecb01e,"e.g. Rick Recht ""Avadim Hayinu""","rgb(82, 145, 21)",14557px,709px,100%,20220513
contemporary jazz,https://p.scdn.co/mp3-preview/842198dc633c4bf285bc93542e8781edeeb42ecc,"e.g. Vijay Iyer ""Human Nature""","rgb(79, 151, 152)",16943px,670px,102%,20220513
piano blues,https://p.scdn.co/mp3-preview/ad24245468823db16e794a31d2c1c5233cd370fe,"e.g. Champion Jack Dupree ""Junker's Blues""","rgb(102, 136, 45)",17058px,917px,101%,20220513
kompa chretien,https://p.scdn.co/mp3-preview/66136033a0b80cd061df63413cce1d2f02d9f5cb,"e.g. DJ H509 ""Tu es Yahweh""","rgb(166, 140, 12)",8008px,730px,100%,20220513
folk rock italiano,https://p.scdn.co/mp3-preview/4925c3ff7370dc4b326bb674b9540f6519f5a67d,"e.g. Bandabardò ""Se mi rilasso collasso""","rgb(132, 138, 11)",13817px,725px,102%,20220513
indonesian folk,https://p.scdn.co/mp3-preview/8975d17dcddcb8a651689135938678479d3a7712,"e.g. Senar Senja ""Dialog Hujan""","rgb(106, 157, 25)",13484px,607px,102%,20220513
australian indie folk,https://p.scdn.co/mp3-preview/19cc91144279fab0c2fa3f1bfde5e281fc8c360c,"e.g. Kyle Lionhart ""Sorry I'm Gone (Feat. Emily Reid)""","rgb(119, 151, 26)",12009px,643px,102%,20220513
cha-cha-cha,https://p.scdn.co/mp3-preview/ff2691fb559f585f7f2da1f7a8834c58cdd48dc9,"e.g. Orquesta América ""Rico Vacilón""","rgb(127, 133, 62)",15636px,966px,101%,20220513
dutch musical,https://p.scdn.co/mp3-preview/2ffcf946c2a347ef9d2a5debec69709334462ac3,"e.g. Cast Mary Poppins ""Supercalifragilisticexpialidasties""","rgb(117, 141, 19)",14470px,548px,100%,20220513
doo-wop,https://p.scdn.co/mp3-preview/54d944ab7ae40e7aed3269916193868f35d3e30b,"e.g. The Five Satins ""In the Still of the Night""","rgb(117, 131, 6)",15234px,687px,103%,20220513
canadian blues,https://p.scdn.co/mp3-preview/78d4d53c6b18eeda3a6b93051b867c514f1b16f5,"e.g. David Gogo ""This Is A Man's World""","rgb(151, 127, 14)",12124px,732px,100%,20220513
blues,https://p.scdn.co/mp3-preview/d9ab1922a03e5621eb6a62d98e8c109422c735ee,"e.g. Junior Wells ""She's A Sweet One""","rgb(105, 134, 32)",16936px,1008px,104%,20220513
zim gospel,https://p.scdn.co/mp3-preview/a7ebf08c08348d4331e63b7aa14ee4d0691ed9f6,"e.g. Charles Charamba ""Kana Vanhu Vangu""","rgb(159, 136, 4)",9971px,657px,100%,20220513
jam band,https://p.scdn.co/mp3-preview/3cbee2b860f33b0f5b3a66505ba2f2810c01c240,"e.g. moe. ""Silver Sun""","rgb(155, 126, 59)",12234px,698px,104%,20220513
muzica usoara,https://p.scdn.co/mp3-preview/f2898f6fc3445478db077ad3b4e6061ed3f83c4e,"e.g. Aurelian Andreescu ""Tu Ești Primăvara Mea""","rgb(128, 143, 7)",13312px,623px,100%,20220513
singaporean punk,https://p.scdn.co/mp3-preview/0651813deb34df7e1e13ded80e89d2040d055acb,"e.g. Forests ""Kawaii Hawaii""","rgb(219, 85, 47)",6774px,304px,100%,20220513
fado instrumental,https://p.scdn.co/mp3-preview/be6a4dfe2d72231f29c0cb947f3c63d32dea6c9a,"e.g. Custódio Castelo ""In agradecimento Miss Morna""","rgb(105, 162, 142)",16198px,759px,100%,20220513
candombe,https://p.scdn.co/mp3-preview/c956f6cf5eac2e551465ea73eed085a85f0a55ac,"e.g. Jorginho Gularte ""Tambor, Tambora""","rgb(157, 130, 38)",10616px,970px,100%,20220513
marathi traditional,https://p.scdn.co/mp3-preview/927df5aad10bc39542c8ec091f746e77fb6e3aae,"e.g. Arun Date ""Yeshil Yeshil Rani""","rgb(108, 143, 69)",16262px,690px,100%,20220513
oshare kei,https://p.scdn.co/mp3-preview/69befc875682f9f95ec4dd1a03083f8706100485,"e.g. SuG ""R.P.G.~Rockin' Playing Game""","rgb(213, 96, 32)",4243px,330px,101%,20220513
sunshine pop,https://p.scdn.co/mp3-preview/763d8180795ecc185627b846dff2ae95a43b7884,"e.g. The Cyrkle ""Red Rubber Ball""","rgb(126, 132, 8)",13842px,667px,103%,20220513
st petersburg fl indie,https://p.scdn.co/mp3-preview/0f832c466899b8be5a9ffd7549bea1ab6fba6d0f,"e.g. Polyenso ""Falling in Rain""","rgb(158, 131, 41)",10393px,447px,100%,20220513
mestissatge,https://p.scdn.co/mp3-preview/9f38afd63ed510cadd814bc0a38652fe32392bc1,"e.g. XEIC! ""Ilargia""","rgb(186, 131, 6)",4142px,864px,101%,20220513
birmingham hip hop,https://p.scdn.co/mp3-preview/6accd9f2965e88e9a66dbf49bea6fd675c1e64b7,"e.g. Mowgs ""DIFFERENT""","rgb(168, 131, 19)",11412px,1049px,101%,20220513
brazilian rockabilly,https://p.scdn.co/mp3-preview/7064296db1b82644a192baac4f40873d0a4f63e5,"e.g. Sick Sick Sinners ""We Wanna Drink Some More""","rgb(192, 110, 32)",9749px,548px,100%,20220513
scottish indie rock,https://p.scdn.co/mp3-preview/da15a2be4bf2ded93fd0f6f7011da85a9635b7a7,"e.g. Declan Welsh and The Decadent West ""Absurd""","rgb(187, 120, 26)",5338px,365px,101%,20220513
thai folk,https://p.scdn.co/mp3-preview/3140f435f6ab1ce044ba0606f162c3f7b4b94903,"e.g. Greasy Cafe' ""ฝืน""","rgb(123, 147, 26)",12124px,634px,101%,20220513
pop lgbtq+ brasileira,https://p.scdn.co/mp3-preview/d45050915fef70aeb08038a7fe09595ed50d3cb2,"e.g. Potyguara Bardo ""Oasis (Ao Vivo no Estúdio MangoLab)""","rgb(154, 143, 6)",8211px,927px,104%,20220513
syro-aramaic chant,https://p.scdn.co/mp3-preview/a5a394a9654ff514eced768dc46d81d8f0e99d91,"e.g. Ghada Shbeir ""Lamma Bada Yatathanna""","rgb(53, 172, 25)",18767px,365px,100%,20220513
turkish singer-songwriter,https://p.scdn.co/mp3-preview/4a9de7fc264f0eee0ae9fdb5bcffbff42372379e,"e.g. Jehan Barbur ""Selvi Boylum Al Yazmalım""","rgb(131, 148, 13)",10997px,695px,103%,20220513
jazz puertorriqueno,https://p.scdn.co/mp3-preview/be3231c5a207c0d97ffd47405e02d402d65c1039,"e.g. Giovanni Hidalgo ""Summertime""","rgb(156, 123, 96)",15335px,1035px,100%,20220513
reggae peruano,https://p.scdn.co/mp3-preview/9e7c364ae99a8857661a780e4a218592418dab0a,"e.g. Laguna Pai ""Canales""","rgb(165, 142, 29)",6405px,1033px,100%,20220513
musica indigena latinoamericana,https://p.scdn.co/mp3-preview/e76c7838cfcf72c0228cf817576d8a663956c0cb,"e.g. Luzmila Carpio ""Tarpuricusum Sarata - Captain Planet Remix""","rgb(144, 143, 14)",12136px,919px,100%,20220513
chamame brasilero,https://p.scdn.co/mp3-preview/8f867faaa95ddced00b679c7ea6c9d552fcb91db,"e.g. Canto Da Terra ""Soy el Chamamé""","rgb(158, 139, 24)",9822px,909px,100%,20220513
austin hip hop,https://p.scdn.co/mp3-preview/922bbc5aa1b12c486a5b1ef185a036bae6cf4536,"e.g. Quin Nfn ""Laid Back""","rgb(146, 145, 7)",8098px,1020px,100%,20220513
italian gothic,https://p.scdn.co/mp3-preview/298132053828e80a4bb1874fd626d207f92a7dd6,"e.g. Date At Midnight ""Lights Off/Lights On""","rgb(182, 124, 80)",5460px,297px,100%,20220513
polish alternative rap,https://p.scdn.co/mp3-preview/4605f9d17e9920f2df9ade72506005783d7ea98c,"e.g. Gruby Mielzky ""Jak Wyśnię""","rgb(177, 129, 12)",8684px,1033px,104%,20220513
romanian trap,https://p.scdn.co/mp3-preview/6c5ea38a56f8c14504f799f024d177a925c1484b,"e.g. PRNY ""Abilli""","rgb(165, 146, 15)",5877px,1093px,102%,20220513
rap latina,https://p.scdn.co/mp3-preview/e37b1984d77dd9e4b92abded2d585835dbea2b7e,"e.g. Sara Hebe ""Tuve que quemar""","rgb(172, 143, 5)",5205px,1142px,106%,20220513
rap paraguayo,https://p.scdn.co/mp3-preview/1d30a611de50c133583db03d755b8954f11ca4fd,"e.g. Joshua Dietrich ""Escúchame Loca""","rgb(160, 148, 21)",5975px,1126px,100%,20220513
oc rap,https://p.scdn.co/mp3-preview/5ccaa27bd99345fb69c60471d852475cdc8d55c6,"e.g. Yung Pinch ""Perfect""","rgb(146, 147, 5)",7224px,1046px,101%,20220513
scam rap,https://p.scdn.co/mp3-preview/c22c34022374613c8723d71eb6dbbd85084cd2a3,"e.g. Band Gang Lonnie Bands ""Detroit To Inglewood (feat. Ice Burgandy, Drego, Beno, Bandgang Masoe & VVSBeezy)""","rgb(159, 145, 1)",6938px,1073px,102%,20220513
deep swedish rock,https://p.scdn.co/mp3-preview/ca97af491b51dab941e6eed1d1164fc33b7fdc8f,"e.g. King Leaf Experience ""Fire At Will""","rgb(196, 107, 19)",6971px,400px,100%,20220513
hindustani classical,https://p.scdn.co/mp3-preview/2e84000e144031185b89d83e9160d8cadd061e10,"e.g. Anuradha Pal ""Dhun In Raga Bhairavi""","rgb(111, 141, 101)",17410px,581px,100%,20220513
australian classical piano,https://p.scdn.co/mp3-preview/be9ad01ab9ecb0610e45c9caaaea6edc596b3a2f,"e.g. Camille Saint-Saëns ""Javotte, R. 306 (Version for Piano Solo) [Excerpts]: III. Pas de deux""","rgb(28, 164, 194)",20532px,515px,100%,20220513
japanese jazz,https://p.scdn.co/mp3-preview/42d2b7946145204117409395e575ff47fe7c1770,"e.g. Chihiro Yamanaka ""乙女の祈り""","rgb(104, 143, 119)",14927px,800px,101%,20220513
histoire pour enfants,https://p.scdn.co/mp3-preview/b441a186cb7b196a2c48e76fb9a1e2cb023f8db8,"e.g. Vincent Malone ""Chapitre 1""","rgb(79, 136, 6)",15514px,1176px,100%,20220513
jazz composition,https://p.scdn.co/mp3-preview/413c6daae046ca36fdd0cdcfe7b69e7b199dc0aa,"e.g. Peter Calandra ""Sunset Sky""","rgb(90, 154, 146)",16006px,782px,100%,20220513
musique ancienne,https://p.scdn.co/mp3-preview/bdefd5d92d10f1171064349bf7c32dfd7c3d27c0,"e.g. Gregorio Allegri ""Miserere: I. Miserere mei, Deus""","rgb(44, 159, 65)",19394px,383px,100%,20220513
fingerstyle,https://p.scdn.co/mp3-preview/9618d18ec09d91964b18b90873c271beefb5001d,"e.g. Isato Nakagawa ""Tree Circle""","rgb(76, 168, 177)",16620px,891px,101%,20220513
ye ye,https://p.scdn.co/mp3-preview/f8cb6af604dd0eb65264e71dbb307cafa79c5d48,"e.g. Sheila ""Spacer""","rgb(131, 138, 7)",14641px,620px,102%,20220513
samba,https://p.scdn.co/mp3-preview/f12156d0ecf8ef9d4e78dfddb30cf84eccbcefa5,"e.g. Dona Ivone Lara ""Sonho Meu""","rgb(126, 140, 27)",14470px,869px,105%,20220513
variete francaise,https://p.scdn.co/mp3-preview/e345ba60a8d109114c34587166064a0bcca3e253,"e.g. Arcadian ""Folie arcadienne""","rgb(166, 138, 2)",7750px,730px,103%,20220513
mambo,https://p.scdn.co/mp3-preview/3ccfb935bde1972c46115f0c1914dec8e9c4ac0d,"e.g. Orquesta Aragón ""Quiéreme Sempre""","rgb(140, 128, 69)",15375px,1012px,101%,20220513
swedish rock-and-roll,https://p.scdn.co/mp3-preview/3df89c2c8b5d69c699f59ce524288bebc3516f0f,"e.g. Ola & The Janglers ""Let's Dance""","rgb(177, 122, 69)",10943px,657px,100%,20220513
classic turkish pop,https://p.scdn.co/mp3-preview/662fbb17cb29baaeb8e7a6ea3b47d667c3025ba1,"e.g. Rana Alagöz ""Aşkın Gözü Kör Mü""","rgb(129, 138, 14)",14655px,562px,102%,20220513
dutch classical piano,https://p.scdn.co/mp3-preview/8da88c07de46c49e27e82bee6e4da5d854afd919,"e.g. Johann Sebastian Bach """"Was mir behagt, ist nur die muntre Jagd"" Cantata, BWV 208: 9. Schafe können sicher weiden (Arr. For Piano Four Hands by Mary Howe)""","rgb(34, 164, 218)",20462px,544px,100%,20220513
musica folk asturiana,https://p.scdn.co/mp3-preview/190b71128789a570e4f190883d9455da7a52a3f1,"e.g. Felpeyu ""Loa Fayeos de Mayo""","rgb(143, 145, 50)",11426px,359px,100%,20220513
finnish punk,https://p.scdn.co/mp3-preview/ea2fce41f40c450690d075b384688e420c7de652,"e.g. Kivesveto Go Go ""Äiti Hei!""","rgb(213, 89, 26)",8992px,350px,101%,20220513
southern gospel,https://p.scdn.co/mp3-preview/95a9f7ea36e2ddd23ce40a431272632019c41398,"e.g. The Nelons ""Scars In Heaven""","rgb(119, 143, 14)",13139px,551px,101%,20220513
traditional country,https://p.scdn.co/mp3-preview/f17682f6d7c86dfdbed1de635d93d3dc75eaf095,"e.g. Roy Acuff ""Wabash Cannonball""","rgb(83, 148, 17)",16836px,905px,101%,20220513
audiophile vocal,https://p.scdn.co/mp3-preview/d464263943615c4fb57925413b8fd0eb9f5e60a5,"e.g. Valerie Joyce ""That's What Friends Are For""","rgb(68, 161, 8)",16480px,789px,100%,20220513
norwegian alternative rock,https://p.scdn.co/mp3-preview/b2a8b9e1436cc217bd99981de90e83407dad23a6,"e.g. Blood Command ""A Villain's Monologue""","rgb(186, 109, 75)",9398px,298px,100%,20220513
goralski,https://p.scdn.co/mp3-preview/a1f2f71da42ae2cdc4755a035bc359c938cfd086,"e.g. Gronicki ""Nasza Miłość""","rgb(131, 146, 5)",11672px,785px,100%,20220513
turbo folk,https://p.scdn.co/mp3-preview/0a4b727a77a279c37ccee7d4b5e3f4e85b980abe,"e.g. Dara Bubamara ""Bebe Ko Te J...""","rgb(187, 125, 2)",5902px,752px,104%,20220513
malagasy folk,https://p.scdn.co/mp3-preview/7d806345b1d3689418743b75aa45f3c7947d4328,"e.g. Jaojoby ""Tia anao zaho""","rgb(141, 137, 44)",12473px,1003px,100%,20220513
baiao,https://p.scdn.co/mp3-preview/660927b734cc01d92481177c327434ea70a92a00,"e.g. Quinteto Violado ""Palavra Acesa""","rgb(147, 132, 41)",13780px,846px,100%,20220513
english indie rock,https://p.scdn.co/mp3-preview/521b4a65cac3757ce079325ad0d1611415664603,"e.g. Sports Team ""Here's The Thing""","rgb(187, 121, 22)",5165px,390px,103%,20220513
chicago rap,https://p.scdn.co/mp3-preview/b426be65e9839c8ebd2237bfd5e097b7d1c768e7,"e.g. FBG Duck ""Exposing Me Remix (feat. Rooga)""","rgb(165, 139, 8)",6075px,1012px,114%,20220513
alaska hip hop,https://p.scdn.co/mp3-preview/594b0c0e9a2f7236b3a21fd1e9816b1fd5a5188c,"e.g. Starbuks ""I'm from Fairbanks""","rgb(150, 145, 4)",8590px,1038px,100%,20220513
italian underground hip hop,https://p.scdn.co/mp3-preview/aa05094adc8c7cc5ad9b588a9f7ac89cef9f351c,"e.g. Mistaman ""Che Farai""","rgb(187, 121, 18)",9922px,993px,103%,20220513
polish hip hop,https://p.scdn.co/mp3-preview/1f37435eed982c495cffcc4a4bc0c8e3a5c3a227,"e.g. Borixon ""MIŚ""","rgb(177, 131, 11)",7552px,1042px,109%,20220513
schlager,https://p.scdn.co/mp3-preview/f891adc834353348048589b052638f3f37b57d71,"e.g. Jörg Bausch ""Am Zuckerwattenstand""","rgb(198, 123, 3)",3580px,747px,104%,20220513
swedish underground rap,https://p.scdn.co/mp3-preview/00568ce61508c6fb4bc2b3a851273a2ebc9595c5,"e.g. Organism 12 ""Diamanttårar""","rgb(175, 125, 22)",10577px,1035px,100%,20220513
venda pop,https://p.scdn.co/mp3-preview/a36263f6b6971b1a83aba6574105ab1f51c187f4,"e.g. Colbert Mukwevho ""Nne Na Inwi""","rgb(160, 144, 17)",8882px,989px,100%,20220513
pakistani hip hop,https://p.scdn.co/mp3-preview/70bfa729642eecdb6833d86c92857497c196f310,"e.g. Faris Shafi ""Nazar""","rgb(161, 145, 10)",7615px,1097px,102%,20220513
avant-garde black metal,https://p.scdn.co/mp3-preview/7d15dec2d3e39375061e192b19a2448ad0ddbc9a,"e.g. Blut Aus Nord ""Epitome XIV""","rgb(197, 80, 123)",9542px,139px,100%,20220513
carnaval,https://p.scdn.co/mp3-preview/cea0546dee7654b080561e7f6cb1857318db05c3,"e.g. Johnny Gold ""Daar Mot Een Piemel In""","rgb(208, 119, 8)",3349px,811px,102%,20220513
melanesian pop,https://p.scdn.co/mp3-preview/7c69d9686e19c856baa7752dba37c78706db1ab6,"e.g. Sharzy ""Ta' Umai""","rgb(160, 143, 7)",4371px,991px,101%,20220513
czech hip hop,https://p.scdn.co/mp3-preview/d72e21b1ccf0c2a8dce5ac8e9fb45a4d1db46a58,"e.g. Smack ""Další rok""","rgb(167, 139, 10)",6492px,1031px,103%,20220513
liberian pop,https://p.scdn.co/mp3-preview/51c3f26b1513d42ce4fbae4241ca36fe72caf680,"e.g. Kobazzie ""Party""","rgb(173, 141, 19)",5193px,1131px,100%,20220513
dinner jazz,https://p.scdn.co/mp3-preview/332ad05184ef24333fee2379126baece40d1e2c5,"e.g. Lars Christian Lundholm ""Bossafication 9""","rgb(49, 170, 199)",16143px,1092px,102%,20220513
cumbia sonorense,https://p.scdn.co/mp3-preview/93d49a4ac6cee1c0c6c981ccb98b9286fa0e00c7,"e.g. Honorables ""Rio Rebelde""","rgb(163, 138, 10)",11611px,1077px,102%,20220513
malaysian metal,https://p.scdn.co/mp3-preview/98d3875b507954e1e964a471a630fa14bfce1964,"e.g. Cromok ""I Don't Belong Here""","rgb(218, 87, 77)",7120px,308px,100%,20220513
malawian pop,https://p.scdn.co/mp3-preview/de09f44f157b693c5663af00c5f894ce879ad9d5,"e.g. Eli Njuchi ""Honest""","rgb(156, 144, 9)",9132px,1038px,100%,20220513
contemporary vocal jazz,https://p.scdn.co/mp3-preview/7436efe670a3582dc5c0a6992457d94562d7042f,"e.g. Nicole Henry ""Moon River""","rgb(72, 154, 11)",17373px,745px,104%,20220513
japanese classical piano,https://p.scdn.co/mp3-preview/83c699b8d4820d51d8d7c181456e81b9d7520e77,"e.g. Frédéric Chopin ""ショパン:ノクターン 第2番 変ホ長調 作品9の2""","rgb(37, 159, 200)",20129px,530px,100%,20220513
dalarna indie,https://p.scdn.co/mp3-preview/b892eb44d486f1b3caa10c55ebfd27265812e61b,"e.g. Gustaf & Viktor Norén ""Guldet blev till sand""","rgb(164, 129, 23)",9739px,418px,101%,20220513
taiwan indie,https://p.scdn.co/mp3-preview/0bb7e2cb22fd8e39b690fd526e3d546f71a407c0,"e.g. Wayne's so Sad ""台北流浪指南""","rgb(150, 136, 35)",8537px,521px,102%,20220513
north carolina indie,https://p.scdn.co/mp3-preview/4a0c64f4049f8369e2933e6ccd3e53e41eea0c07,"e.g. Lilac Shadows ""Black Lodge""","rgb(139, 136, 38)",12539px,478px,101%,20220513
musica cabo-verdiana,https://p.scdn.co/mp3-preview/52caf26c3c78a07cfebcb377bf569da392d361bb,"e.g. Bana ""Cabinda A Cunene""","rgb(158, 136, 23)",9331px,871px,100%,20220513
hampton roads indie,https://p.scdn.co/mp3-preview/5438ebd36b86e174310e54370861b2e213ed2f83,"e.g. The Hunts ""Valentina""","rgb(166, 130, 37)",9946px,449px,100%,20220513
vancouver metal,https://p.scdn.co/mp3-preview/2de360aa2316e6e364e88f5e068a83b2b4f810be,"e.g. Archspire ""Drone Corpse Aviator""","rgb(208, 87, 90)",7799px,245px,100%,20220513
pakistani pop,https://p.scdn.co/mp3-preview/4284cab62599f70b2f1331bc40de2bbbd308cea1,"e.g. Ali Zafar ""Voh Dekhnay Mein""","rgb(155, 129, 20)",12174px,752px,103%,20220513
blues latinoamericano,https://p.scdn.co/mp3-preview/2b97ba36f5436e55695dba2b12b37cc01d154273,"e.g. Pappo's Blues ""Ruta 66""","rgb(169, 125, 24)",10345px,650px,100%,20220513
anime latino,https://p.scdn.co/mp3-preview/802f2fdfb9183a6fe8fcc66b9681f3767a567a1e,"e.g. Laharl Square ""Alastor's Game (From ""The Living Tombstone"")""","rgb(192, 121, 23)",4442px,565px,101%,20220513
cimbalom,https://p.scdn.co/mp3-preview/ed10af4d37987f15508454f0dc1d8cec1eef7448,"e.g. Kálmán Balogh ""Bulgar Cigany Horo""","rgb(107, 152, 107)",17030px,709px,100%,20220513
neo-rockabilly,https://p.scdn.co/mp3-preview/ee289aaeb5691951bfc1ef17178ce3245829c57f,"e.g. Hicksville Bombers ""Whole Lotta Rosie""","rgb(179, 115, 19)",11843px,818px,100%,20220513
czech folk rock,https://p.scdn.co/mp3-preview/044196040f64df178a230497449e6d1c869a19ce,"e.g. Jablkoň ""5 Policajtů""","rgb(145, 138, 14)",11228px,732px,100%,20220513
pop costarricense,https://p.scdn.co/mp3-preview/d5a800589d1ea1bd76fe9087f2ff25c052481ca8,"e.g. KAVVO ""Qué Diablos""","rgb(171, 142, 9)",9081px,1033px,101%,20220513
italian metal,https://p.scdn.co/mp3-preview/b687a62f6c676028e0820452283a642e5fc2e12a,"e.g. Trick or Treat ""Creepy Symphony""","rgb(184, 22, 121)",9824px,160px,101%,20220513
oulu indie,https://p.scdn.co/mp3-preview/83a8e05c1b2fae64dd481e753a4398a051cf776c,"e.g. Ruotomieli ""Heavyklassikko: Meidät on tehty katoamaan""","rgb(180, 118, 33)",8461px,383px,100%,20220513
dutch r&b,https://p.scdn.co/mp3-preview/c895909a5b46eb839a36ed6ee175003b0a14d5ce,"e.g. Full Crate ""A Storm on a Summers Day""","rgb(138, 148, 14)",7803px,951px,101%,20220513
swamp pop,https://p.scdn.co/mp3-preview/dc90610b24f394c0951280039cefbfff69743df3,"e.g. Johnnie Allan ""Promised Land""","rgb(133, 134, 16)",12571px,835px,101%,20220513
modern mod,https://p.scdn.co/mp3-preview/cfa16dd7d93cb81081edbdb5e460aa8a172aaf61,"e.g. New Street Adventure ""The Big A.C.""","rgb(188, 118, 34)",6560px,430px,100%,20220513
novos talentos brasileiros,https://p.scdn.co/mp3-preview/11b88545256a2e8b9b4787efdb36f74ac068c266,"e.g. Giovana Galdino ""Falsa Baiana - Ao Vivo / The Voice Brasil Kids 2017""","rgb(142, 143, 6)",9663px,775px,100%,20220513
jangle rock,https://p.scdn.co/mp3-preview/4af5906f6773d73b755a89a1abd24dd80db30de0,"e.g. Otter Petter ""Tie Your Hands""","rgb(150, 139, 51)",9153px,420px,100%,20220513
danish hip hop,https://p.scdn.co/mp3-preview/aa6bc4a12e49ecccc4b165eee42c4d60b1ccdfcd,"e.g. Suspekt ""Gonzo""","rgb(172, 131, 12)",6288px,1049px,103%,20220513
japanese hardcore,https://p.scdn.co/mp3-preview/ab8f03a72e9a321c8916e5f4f1a217c1e5dddb76,"e.g. NUMB ""NO MERCY""","rgb(231, 59, 90)",9910px,198px,100%,20220513
chasidic pop,https://p.scdn.co/mp3-preview/2ddcfe10a36b3c4e7663a860343aaa578d6eb660,"e.g. Shloime Daskal ""Ahallelu Ahallelu""","rgb(167, 128, 12)",9412px,607px,100%,20220513
classic psychedelic rock,https://p.scdn.co/mp3-preview/d81b9979b23135418a94077f8f81430589233b5f,"e.g. Mandrake Memorial ""Dark Lady""","rgb(148, 127, 53)",13115px,482px,100%,20220513
kasi rap,https://p.scdn.co/mp3-preview/3d45ee6b7ffec425b64964e75c08ec16968ebc03,"e.g. Pro Kid ""Bhampa""","rgb(173, 131, 8)",7212px,1016px,100%,20220513
hungarian choir,https://p.scdn.co/mp3-preview/f97aea70ae7c51ae754a061a2a16dcb7fc55877e,"e.g. Michael Haydn ""Requiem in C Minor, MH 559: Kyrie""","rgb(41, 148, 56)",20080px,219px,100%,20220513
rap underground mexicano,https://p.scdn.co/mp3-preview/3ae66fb80af75a966dcca794f2f40a00a78dce76,"e.g. T-Killa ""Suena""","rgb(174, 127, 7)",7089px,1104px,102%,20220513
djent,https://p.scdn.co/mp3-preview/bd2154647525b6da4dfc58d6a462770da74340e8,"e.g. Monuments ""False Providence (feat. Mick Gordon)""","rgb(214, 92, 104)",5747px,239px,103%,20220513
juju,https://p.scdn.co/mp3-preview/b57354ccc0392394f4d07af2e8d707397fcd1135,"e.g. Chief Commander Ebenezer Obey ""Iba F'Oluwa/Ajokodabi Ile (Highlife Juju Yoruba)""","rgb(167, 119, 42)",12397px,1106px,100%,20220513
australian choir,https://p.scdn.co/mp3-preview/eca196e8ac46365eec199ffed72034a820537beb,"e.g. John Rutter ""The Lord Bless You And Keep You""","rgb(36, 159, 66)",20593px,182px,100%,20220513
ukrainian metalcore,https://p.scdn.co/mp3-preview/5def644f9eaea33571cb6c51e8e41a242dc211a6,"e.g. Space Of Variations ""Tibet""","rgb(223, 96, 29)",3294px,272px,100%,20220513
chaotic hardcore,https://p.scdn.co/mp3-preview/a86f66dc4a807abb65173a6cee8516f3be440a56,"e.g. Baptists ""Betterment""","rgb(222, 67, 97)",10279px,144px,101%,20220513
italian folk metal,https://p.scdn.co/mp3-preview/69b6c5b76e08e1481ab992e7a69e66e83e99f748,"e.g. Furor Gallico ""La caccia morta""","rgb(212, 100, 32)",4959px,230px,100%,20220513
german melodeath,https://p.scdn.co/mp3-preview/a020e7a4365a678cfae8c8540a365f3d8a7e84e1,"e.g. Kambrium ""Toss a Coin to Your Witcher""","rgb(225, 80, 77)",5610px,176px,100%,20220513
dutch stoner rock,https://p.scdn.co/mp3-preview/4fb622f88d9a75b58649da26d7d89d8e0fc276ad,"e.g. 35007 ""Evaporate""","rgb(186, 114, 101)",10155px,227px,100%,20220513
musica ayacuchana,https://p.scdn.co/mp3-preview/8d9e63386765602f905b5cee8e88e92ef0911c90,"e.g. Dúo Hnos. Gaitán Castro ""Cómo has hecho""","rgb(162, 145, 11)",13361px,1008px,100%,20220513
