genre,preview_url,preview_track,color,top,left,font_size,run_date
rap tico,https://p.scdn.co/mp3-preview/f3909f59d6277e75a583cd16a56dbc1786a290ca,"e.g. Fufu ""Que Se Vengan""","rgb(177, 134, 34)",8976px,1108px,100%,20220116
lovers rock,https://p.scdn.co/mp3-preview/8877bb6476ea39c04ef9102c8a883ac750129cb7,"e.g. Bitty McLean ""Walk Away From Love""","rgb(142, 145, 13)",6365px,1179px,103%,20220116
school ensemble,https://p.scdn.co/mp3-preview/606ee8ab8502cb646cd8453e1e19315a78bb177c,"e.g. Edison High School Band ""I Want To Hold Your Hand""","rgb(96, 131, 131)",15727px,532px,100%,20220116
piano blues,https://p.scdn.co/mp3-preview/fd161f29a12adc40d69671ad6ff05a20135dab40,"e.g. Champion Jack Dupree ""Junker's Blues""","rgb(102, 136, 46)",16575px,916px,101%,20220116
folk rock italiano,https://p.scdn.co/mp3-preview/8cca442cdc2252e0fd757122e82687225ba601ad,"e.g. Bandabardò ""Se mi rilasso collasso""","rgb(134, 138, 10)",13023px,718px,102%,20220116
cante alentejano,https://p.scdn.co/mp3-preview/8c809769e53463235a5fcb1a8a6d56e41fba903c,"e.g. Rancho De Cantadores De Aldeia Nova De São Bento ""Trago Alentejo Na Voz""","rgb(58, 156, 94)",18594px,623px,100%,20220116
canadian blues,https://p.scdn.co/mp3-preview/73f3709118c79dc6823ba1a80a9ac0d947627515,"e.g. Colin James ""Three Hours Past Midnight""","rgb(151, 127, 14)",11795px,731px,100%,20220116
zim gospel,https://p.scdn.co/mp3-preview/85590c196a74dce04dde58a3eec58008bdd1b326,"e.g. Charles Charamba ""Buruka!""","rgb(158, 136, 4)",9678px,655px,100%,20220116
blues,https://p.scdn.co/mp3-preview/76a319173677aa416718c3b253917fc966073b45,"e.g. Junior Wells ""She's A Sweet One""","rgb(105, 134, 33)",16417px,1006px,104%,20220116
dutch musical,https://p.scdn.co/mp3-preview/1c9e38c243530c813e8c5aab94000ad9612951a9,"e.g. Cast Mary Poppins ""Supercalifragilisticexpialidasties""","rgb(117, 141, 19)",14145px,546px,100%,20220116
dalarna indie,https://p.scdn.co/mp3-preview/5c36c4e79f24365fad5973bbf5d7239186c18fac,"e.g. Gustaf & Viktor Norén ""Sånger från dig (Tunna skivor)""","rgb(165, 128, 23)",9333px,415px,101%,20220116
cha-cha-cha,https://p.scdn.co/mp3-preview/99d613154f036a571fb8fb0bdb7b4af80f04cb4d,"e.g. Orquesta América ""La Basura""","rgb(128, 133, 63)",15196px,964px,101%,20220116
fingerstyle,https://p.scdn.co/mp3-preview/5c073c96dfd372347509e322ce64ba7a1ab0eb24,"e.g. Isato Nakagawa ""Rainbow Chaser""","rgb(76, 168, 178)",16164px,894px,101%,20220116
kolkata indie,https://p.scdn.co/mp3-preview/0175a8eec58779bb9356a7b42aa9a5adcee7240a,"e.g. Anupam Roy ""Journey Song""","rgb(147, 139, 9)",9000px,672px,100%,20220116
blues latinoamericano,https://p.scdn.co/mp3-preview/c4ae126b4a4fe08867a125a663472f17bc21b414,"e.g. Pappo's Blues ""Ruta 66""","rgb(169, 125, 24)",10048px,648px,100%,20220116
sunshine pop,https://p.scdn.co/mp3-preview/1e016f28a51ad3297df56605c673774c80160d30,"e.g. The Cyrkle ""Red Rubber Ball""","rgb(126, 132, 8)",13648px,664px,103%,20220116
fado instrumental,https://p.scdn.co/mp3-preview/3cb6a481ef78f6cee3076820685925f59f22ca68,"e.g. Custódio Castelo ""In agradecimento Miss Morna""","rgb(105, 162, 143)",15766px,760px,100%,20220116
rwandan gospel,https://p.scdn.co/mp3-preview/bc4f7fc01c8ee96d4a939b3e355948bf8d79d3fe,"e.g. Apollinaire Habonimana ""Ndacafis'impamvu""","rgb(142, 143, 2)",8803px,668px,100%,20220116
vancouver metal,https://p.scdn.co/mp3-preview/f41a45d75fe981a1e9096b6450e24e59bb36e9ce,"e.g. Archspire ""Drone Corpse Aviator""","rgb(208, 87, 90)",7496px,243px,101%,20220116
manitoba indie,https://p.scdn.co/mp3-preview/577ca59f002d78a8cc43533ade5c910bdf7dd540,"e.g. Begonia ""Juniper""","rgb(136, 141, 28)",10501px,548px,100%,20220116
taiwan indie,https://p.scdn.co/mp3-preview/b92c4668881b4a57553b3f2afdf33b43ef6edcfa,"e.g. Sorry Youth ""暗流""","rgb(150, 136, 34)",8216px,516px,102%,20220116
musica andina chilena,https://p.scdn.co/mp3-preview/13101270b3dc3c8989898bd020ef42d4c1184fc0,"e.g. Arak Pacha ""Socoroma""","rgb(124, 135, 37)",14348px,799px,101%,20220116
muzica usoara,https://p.scdn.co/mp3-preview/bc7345fe2072265de54d3e70451ffdd99dbcc24f,"e.g. Dan Spataru ""Drumurile""","rgb(128, 143, 7)",13122px,620px,100%,20220116
jam band,https://p.scdn.co/mp3-preview/b260d3587e766c938474f062565b3dd1b0c000bb,"e.g. moe. ""Silver Sun""","rgb(155, 126, 59)",11987px,696px,104%,20220116
candombe,https://p.scdn.co/mp3-preview/5a6b3342a2ece487153c18488c9d0511674daba3,"e.g. Jorginho Gularte ""Tambor, Tambora""","rgb(158, 129, 38)",10271px,969px,100%,20220116
dutch r&b,https://p.scdn.co/mp3-preview/5510d973d40db8c020cd92b691f0c0639cef592d,"e.g. Full Crate ""A Storm on a Summers Day""","rgb(139, 148, 14)",7616px,946px,101%,20220116
pop lgbtq+ brasileira,https://p.scdn.co/mp3-preview/cf1c720ea15552505bdb40733b42d7633dfc68ce,"e.g. Linn da Quebrada ""Davi Sabbag * Tomara (Remix)""","rgb(154, 143, 6)",8089px,930px,104%,20220116
turkish trap pop,https://p.scdn.co/mp3-preview/f29721812104e0f1ef9947cbd7bc2b828baf7cf2,"e.g. Irmak Arıcı ""Asık Suratım""","rgb(167, 140, 10)",6340px,910px,108%,20220116
modern bollywood,https://p.scdn.co/mp3-preview/033c367317d7eebdf997416a932030c5646697b6,"e.g. Javed Ali ""Guzarish""","rgb(153, 131, 12)",11128px,755px,113%,20220116
pop costarricense,https://p.scdn.co/mp3-preview/6bfc14c41e44dd86db90bea159658fc17146dfbf,"e.g. GIMARIO ""Pensándote - Remix""","rgb(173, 141, 11)",8310px,1025px,100%,20220116
west virginia indie,https://p.scdn.co/mp3-preview/2e4b0c1c91df1a454a8615f0afad71b15984efdf,"e.g. John R. Miller ""Shenandoah Shakedown""","rgb(182, 116, 45)",10550px,407px,100%,20220116
