genre,preview_url,preview_track,color,top,left,font_size,run_date
rap tico,https://p.scdn.co/mp3-preview/5c4323fcf28e121c40672b86755ad0ff25fc0603,"e.g. Crypy ""Big Man""","rgb(176, 135, 34)",7618px,1110px,100%,20220210
dutch trap,https://p.scdn.co/mp3-preview/728308912691382899847c407c4ca2786d2db960,"e.g. Era ""Young Kings (feat. Jayboogz)""","rgb(153, 147, 14)",6762px,1140px,101%,20220210
maluku pop,https://p.scdn.co/mp3-preview/0b086ef55c35d53e65ad8e7ace105a3e1552ac7f,"e.g. Mpes ""Niet Meer Alleen""","rgb(145, 148, 9)",10466px,1101px,100%,20220210
afroswing,https://p.scdn.co/mp3-preview/79c2c194926a5a4eff309d89cd47d9e9f010b731,"e.g. Kojo Funds ""I Like (feat. WizKid)""","rgb(164, 144, 9)",8018px,1090px,104%,20220210
zambian hip hop,https://p.scdn.co/mp3-preview/5ee1e9d3f033219c39bad0cafda2c04ccc4a072c,"e.g. Chef 187 ""Foolish Me""","rgb(180, 137, 7)",9268px,1020px,100%,20220210
indian metal,https://p.scdn.co/mp3-preview/21c495048966472e8937de6d4ac6e4ccc0a8546b,"e.g. Kryptos ""Mach Speed Running""","rgb(221, 85, 92)",5940px,250px,100%,20220210
trap brasileiro,https://p.scdn.co/mp3-preview/fdfbf491dba34a30f24254c9ebe0fb6d7a31efe9,"e.g. Aka Rasta ""AIAI""","rgb(147, 148, 6)",7692px,1076px,106%,20220210
mambo chileno,https://p.scdn.co/mp3-preview/ca377929b944056a1a7f8a175758fbd05873a47c,"e.g. Adan La Amenaza ""Dele Cotele 3""","rgb(176, 144, 6)",3968px,1153px,102%,20220210
finnish alternative rock,https://p.scdn.co/mp3-preview/7c7c0915856f56ec0404d1770dd111231c8d0f46,"e.g. CMX ""Vapaus Johtaa Kansaa""","rgb(195, 114, 27)",4779px,354px,101%,20220210
rap calme,https://p.scdn.co/mp3-preview/1419092e4a76b2a01943b347a78bdafe6d94b5d7,"e.g. Livaï ""Quelqu'un de bien""","rgb(141, 150, 5)",10503px,1050px,106%,20220210
alternative metalcore,https://p.scdn.co/mp3-preview/bd385e5469a4e2df08a00ccae96d93fe2f9d99db,"e.g. Apron ""Kaleidoskop""","rgb(213, 94, 36)",5892px,335px,100%,20220210
kizomba cabo-verdiana,https://p.scdn.co/mp3-preview/632240344af0d3cca1ccdae6a18a0b141b6b8cdf,"e.g. Tó Semedo ""Não Tem Que Encantar""","rgb(178, 147, 15)",2720px,1029px,100%,20220210
screamo,https://p.scdn.co/mp3-preview/a3712bc10eeb109e476b2990115921f3363aea83,"e.g. From First To Last ""Emily""","rgb(213, 94, 31)",6348px,277px,107%,20220210
kabyle,https://p.scdn.co/mp3-preview/5b03bccf7bb21d7c3f6d76ddebf44ea7000b351b,"e.g. Rabah Asma ""Ines""","rgb(177, 127, 14)",7541px,829px,100%,20220210
trecento,https://p.scdn.co/mp3-preview/da6bc670cd930b7bbc175b7b3e6adef326f6e704,"e.g. Matteo da Perugia ""Ave sancta mundi salus - Agnus dei""","rgb(25, 175, 63)",20231px,255px,100%,20220210
tunantada,https://p.scdn.co/mp3-preview/9a7eadfd3b9c883a3b31b2c06ee2c275a9d94faf,"e.g. Max Castro ""Tu Me Pides Que Te Olvide""","rgb(167, 136, 9)",12638px,908px,100%,20220210
reggae,https://p.scdn.co/mp3-preview/53842fc44e2dbc84b607fd16c28f07ec36d11a42,"e.g. Wailing Souls ""Jah Give Us Life""","rgb(138, 143, 32)",6587px,1213px,106%,20220210
south african deep house,https://p.scdn.co/mp3-preview/beb05c77059a80bb0bc1d918b3a3b63c98223181,"e.g. Sculptured Music ""OverFlow""","rgb(152, 151, 152)",971px,1292px,100%,20220210
uk reggae,https://p.scdn.co/mp3-preview/76de1ac6b52bca6d42c6ec38ed8f68d56e29851a,"e.g. Mungo's Hi Fi ""Jump Up Quickly""","rgb(153, 144, 28)",3621px,1171px,102%,20220210
cumbia salvadorena,https://p.scdn.co/mp3-preview/fd0e2e80faa51fc146ab3ee95d3fb23d1bf6c395,"e.g. Los Cocodrilos ""El Pirulino""","rgb(160, 143, 9)",7432px,1193px,101%,20220210
proto-rap,https://p.scdn.co/mp3-preview/cc63613358efe512a119ebb2ab32c3e395bac873,"e.g. Dr. Jeckyll & Mr. Hyde ""Genius Rap - 7"" Single Version""","rgb(187, 101, 43)",4542px,1287px,100%,20220210
german shoegaze,https://p.scdn.co/mp3-preview/b44946e7a499cec0673058f0ffaef97c78f4b237,"e.g. Seasurfer ""Too Wild""","rgb(164, 126, 114)",7539px,235px,100%,20220210
indonesian shoegaze,https://p.scdn.co/mp3-preview/55d045339a159b4182aeccea256c816e3f07b8bb,"e.g. Themilo ""For All the Dreams That Wings Could Fly""","rgb(185, 125, 123)",5437px,246px,100%,20220210
cumbia ecuatoriana,https://p.scdn.co/mp3-preview/775e388206c64a781597e3d91ded8266b6a0b1fd,"e.g. Juanita Burbano ""Entre Que Sí y Que No""","rgb(151, 145, 22)",10712px,1063px,101%,20220210
estonian metal,https://p.scdn.co/mp3-preview/f2e45a3bc65343916f6a49f15600c223a485b627,"e.g. Metsatöll ""Vimm""","rgb(218, 92, 99)",4689px,296px,100%,20220210
progressive post-hardcore,https://p.scdn.co/mp3-preview/36a0c885cc429789e1df190bf5da9323c65d087f,"e.g. A Lot Like Birds ""Vanity's Fair""","rgb(200, 107, 35)",6496px,294px,102%,20220210
pixie,https://p.scdn.co/mp3-preview/61526f6336d809f651a10ceb98d34c8fd44ae7a9,"e.g. Tonight Alive ""Little Lion Man""","rgb(198, 116, 9)",3888px,372px,105%,20220210
romanian classical piano,https://p.scdn.co/mp3-preview/b2aa017c099715fa6872d97b894099870883d20d,"e.g. Franz Schubert ""4 Impromptus, Op.90, D.899: No.4 in A Flat Major: Allegretto""","rgb(34, 166, 216)",20561px,553px,100%,20220210
bebop,https://p.scdn.co/mp3-preview/032d4e192f0a54baa35872e4624f972a2317010a,"e.g. Bud Powell ""Polka Dots And Moonbeams - 1994 Remaster""","rgb(86, 145, 109)",17595px,926px,104%,20220210
oeteldonk,https://p.scdn.co/mp3-preview/6c3a55c54845ab86281580e2822229b545975068,"e.g. Foe Jong Bende ""Lekker Lôpe""","rgb(150, 107, 12)",13490px,883px,100%,20220210
mexican hip hop,https://p.scdn.co/mp3-preview/9d461365414497a000a628a90ed200032a152ca3,"e.g. Faruz Feet ""Vayas Donde Vayas""","rgb(168, 132, 6)",6360px,1119px,109%,20220210
