genre,preview_url,preview_track,color,top,left,font_size,run_date
deep tech house,https://p.scdn.co/mp3-preview/b20a6b7b0611761fea1853b9aac5efe38d9a0f72,"e.g. CamelPhat ""Cola""","rgb(194, 140, 202)",246px,1413px,101%,20220803
pipa,https://p.scdn.co/mp3-preview/e2898b4938bc835b3161543258c39b7b9ab4d128,"e.g. Liu Dehai ""Light Yellow Willow""","rgb(55, 166, 175)",19308px,862px,100%,20220803
musica amapaense,https://p.scdn.co/mp3-preview/85ec97257d1e691bb05f300f382072d59d8d75a1,"e.g. Patrícia Bastos ""Dançando com Oxum""","rgb(160, 135, 11)",9254px,768px,100%,20220803
viola,https://p.scdn.co/mp3-preview/882d73bf81c1822e8642a1465fc11aa5f4b2d285,"e.g. Vincenzo Bellini ""Norma, Act I, Scene 1: Air de Norma ""Casta Diva"" (Arr. for Piano & Viola)""","rgb(36, 163, 140)",20722px,327px,100%,20220803
classical harp,https://p.scdn.co/mp3-preview/970de8b07426ba99728b813fb0d9e4801c64bb52,"e.g. Johann Sebastian Bach ""Ave Maria""","rgb(29, 175, 182)",20422px,625px,100%,20220803
kompa chretien,https://p.scdn.co/mp3-preview/66136033a0b80cd061df63413cce1d2f02d9f5cb,"e.g. DJ H509 ""Tu es Yahweh""","rgb(167, 140, 12)",7819px,727px,100%,20220803
piano blues,https://p.scdn.co/mp3-preview/ad24245468823db16e794a31d2c1c5233cd370fe,"e.g. Champion Jack Dupree ""Junker's Blues""","rgb(102, 136, 45)",17166px,915px,101%,20220803
folk rock italiano,https://p.scdn.co/mp3-preview/4925c3ff7370dc4b326bb674b9540f6519f5a67d,"e.g. Bandabardò ""Se mi rilasso collasso""","rgb(132, 138, 11)",13791px,722px,102%,20220803
zim gospel,https://p.scdn.co/mp3-preview/a7ebf08c08348d4331e63b7aa14ee4d0691ed9f6,"e.g. Charles Charamba ""Kana Vanhu Vangu""","rgb(158, 136, 4)",10142px,650px,100%,20220803
japanese jazz,https://p.scdn.co/mp3-preview/42d2b7946145204117409395e575ff47fe7c1770,"e.g. Chihiro Yamanaka ""乙女の祈り""","rgb(106, 143, 125)",15248px,782px,101%,20220803
jazz composition,https://p.scdn.co/mp3-preview/4116d1225a68b89af984b5da0b684a2ef2815494,"e.g. Peter Calandra ""Rainy Mood""","rgb(90, 154, 146)",16082px,782px,100%,20220803
canadian blues,https://p.scdn.co/mp3-preview/78d4d53c6b18eeda3a6b93051b867c514f1b16f5,"e.g. David Gogo ""This Is A Man's World""","rgb(151, 127, 14)",12083px,730px,100%,20220803
australian indie folk,https://p.scdn.co/mp3-preview/22433f9da8e55dbcb01166374d2a7fe9adfbba7b,"e.g. Jordy Maxwell ""Blue Eyes""","rgb(119, 151, 25)",11775px,640px,102%,20220803
spanish rock,https://p.scdn.co/mp3-preview/5ed8621110e4ed3cf5e1b45699b6f9fbc0e5e1fa,"e.g. Rubén Pozo ""Guitarra Española""","rgb(170, 133, 13)",6462px,581px,104%,20220803
