genre,preview_url,preview_track,color,top,left,font_size,run_date
pop,https://p.scdn.co/mp3-preview/1bd8b56f5623c6eee74601848b0abdca40688743,"e.g. Camila Cabello ""Bam Bam (feat. Ed Sheeran)""","rgb(167, 139, 9)",5361px,804px,160%,20230411
dance pop,https://p.scdn.co/mp3-preview/d91c20ec61866c6189684cba9b910f3795dd5690,"e.g. Jessie J ""Bang Bang""","rgb(184, 132, 16)",3447px,850px,142%,20230411
rap,https://p.scdn.co/mp3-preview/f8d5e3c37feb980e60cac2df4256250d4b5cf5b5,"e.g. French Montana ""Unforgettable""","rgb(169, 132, 5)",5676px,1095px,140%,20230411
rock,https://p.scdn.co/mp3-preview/02716794fa9bf3d9263d2ddd32389bbb9cede48b,"e.g. The Who ""Baba O'Riley""","rgb(177, 112, 29)",10658px,499px,136%,20230411
hip hop,https://p.scdn.co/mp3-preview/73a29edeace09e859acfd831d3adfbe22399fb53,"e.g. Naughty By Nature ""Hip Hop Hooray""","rgb(172, 126, 11)",6452px,1082px,132%,20230411
urbano latino,https://p.scdn.co/mp3-preview/ef5722ef78b29d0335bd5fbff2c7cb728616d6b1,"e.g. Tainy ""Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)""","rgb(191, 143, 2)",3249px,1172px,131%,20230411
pop rap,https://p.scdn.co/mp3-preview/c287b4ba7979f74719a7bfd28ca59735b6370b5e,"e.g. Soulja Boy ""Kiss Me Thru The Phone""","rgb(177, 133, 7)",4605px,1016px,127%,20230411
reggaeton,https://p.scdn.co/mp3-preview/338ed053ce26ccc3313b00b5e6153e60ffd2eb19,"e.g. Yandel ""Yandel 150""","rgb(194, 141, 3)",2924px,1172px,126%,20230411
edm,https://p.scdn.co/mp3-preview/229c53e34f3f61252ab707a446bd985e2503b970,"e.g. Don Diablo ""Hot Air Balloon""","rgb(200, 129, 63)",2553px,791px,125%,20230411
trap,https://p.scdn.co/mp3-preview/862ad595b0c10e822e3cb283e459060919c8ca52,"e.g. Waka Flocka Flame ""No Hands (feat. Roscoe Dash & Wale)""","rgb(164, 141, 2)",5291px,1075px,124%,20230411
latin pop,https://p.scdn.co/mp3-preview/3829c17a7890155b43266bc3097cdddd8099a511,"e.g. La Quinta Estacion ""El Sol No Regresa""","rgb(170, 139, 3)",6709px,820px,124%,20230411
classic rock,https://p.scdn.co/mp3-preview/6291f55a2e6ef6e126bb2c25cc4b62288ba804e0,"e.g. Steve Miller Band ""The Joker""","rgb(152, 121, 25)",12699px,684px,123%,20230411
modern rock,https://p.scdn.co/mp3-preview/6082516f3c05520cc2cf8cecd17e4ce8667c459e,"e.g. GROUPLOVE ""Tongue Tied""","rgb(187, 119, 29)",5729px,456px,123%,20230411
musica mexicana,https://p.scdn.co/mp3-preview/e9d147f0d634b11df1fa8acf58ac623f715d671c,"e.g. Colmillo Norteño ""Sueño Guajiro""","rgb(152, 143, 4)",13012px,1000px,123%,20230411
r&b,https://p.scdn.co/mp3-preview/7019551765a068200d24b7899478d1d5bd81eb3a,"e.g. Keyshia Cole ""Love""","rgb(153, 139, 6)",6027px,927px,123%,20230411
pop dance,https://p.scdn.co/mp3-preview/1164c378d1a70ec8cfa42a28dc108503e8f62768,"e.g. Alesso ""Words (feat. Zara Larsson)""","rgb(201, 129, 58)",2526px,796px,123%,20230411
nueva musica mexicana,https://p.scdn.co/mp3-preview/417ea806e38589ced07cd638bf525ebac676f4e1,"e.g. Gerardo Coronel ""Te Felicito""","rgb(157, 143, 2)",12863px,1010px,122%,20230411
trap latino,https://p.scdn.co/mp3-preview/a9048d9e03c891951df93f671f3d814f574992c8,"e.g. Noriel ""Be Con Be""","rgb(173, 150, 2)",4690px,1175px,122%,20230411
permanent wave,https://p.scdn.co/mp3-preview/51784234b357240cd75dd166f1885cf768ec5311,"e.g. Echo & the Bunnymen ""The Killing Moon""","rgb(170, 120, 32)",8792px,492px,121%,20230411
mellow gold,https://p.scdn.co/mp3-preview/9c54ce8fd84b10aa931182e1797ae7b1f71c7940,"e.g. Don Henley ""The Boys Of Summer""","rgb(141, 131, 13)",12097px,631px,121%,20230411
post-teen pop,https://p.scdn.co/mp3-preview/f65d7638dc1ace74bb418cce34022f6147560a8a,"e.g. Selena Gomez & The Scene ""Love You Like A Love Song""","rgb(172, 136, 4)",4972px,757px,121%,20230411
tropical house,https://p.scdn.co/mp3-preview/1815285bb2c53d2c1f1e3ffacaf9226f740f77dc,"e.g. Felix Jaehn ""Call It Love""","rgb(192, 135, 51)",2576px,872px,120%,20230411
