genre,preview_url,preview_track,color,top,left,font_size,run_date
rap tico,https://p.scdn.co/mp3-preview/3270b125d66adda72c5b43b27db07a69c35ef0dc,"e.g. Soultwo ""Jesús""","rgb(176, 135, 34)",9268px,1108px,100%,20220528
viola,https://p.scdn.co/mp3-preview/882d73bf81c1822e8642a1465fc11aa5f4b2d285,"e.g. Vincenzo Bellini ""Norma, Act I, Scene 1: Air de Norma ""Casta Diva"" (Arr. for Piano & Viola)""","rgb(36, 163, 139)",20576px,330px,100%,20220528
choro,https://p.scdn.co/mp3-preview/a5dee969d6e4deead16ab612c3cdde3d7667eddf,"e.g. Altamiro Carrilho ""Choro No. 11""","rgb(102, 151, 105)",16746px,889px,101%,20220528
piano blues,https://p.scdn.co/mp3-preview/ad24245468823db16e794a31d2c1c5233cd370fe,"e.g. Champion Jack Dupree ""Junker's Blues""","rgb(102, 136, 45)",17090px,917px,101%,20220528
folk rock italiano,https://p.scdn.co/mp3-preview/4925c3ff7370dc4b326bb674b9540f6519f5a67d,"e.g. Bandabardò ""Se mi rilasso collasso""","rgb(132, 138, 11)",13557px,725px,102%,20220528
kompa chretien,https://p.scdn.co/mp3-preview/66136033a0b80cd061df63413cce1d2f02d9f5cb,"e.g. DJ H509 ""Tu es Yahweh""","rgb(166, 140, 12)",7961px,730px,100%,20220528
zim gospel,https://p.scdn.co/mp3-preview/a337c2da1b5008998c6b079316e19473a5ff490f,"e.g. Charles Charamba ""Ndinovimba Nemi""","rgb(158, 136, 4)",9928px,657px,100%,20220528
australian indie folk,https://p.scdn.co/mp3-preview/22433f9da8e55dbcb01166374d2a7fe9adfbba7b,"e.g. Jordy Maxwell ""Blue Eyes""","rgb(119, 151, 25)",11813px,643px,102%,20220528
dutch musical,https://p.scdn.co/mp3-preview/2ffcf946c2a347ef9d2a5debec69709334462ac3,"e.g. Cast Mary Poppins ""Supercalifragilisticexpialidasties""","rgb(117, 141, 19)",14449px,548px,100%,20220528
canadian blues,https://p.scdn.co/mp3-preview/f6ee8eb903eb329bc2d5946687195c9ffc0ef63e,"e.g. Colin James ""Three Hours Past Midnight""","rgb(151, 127, 14)",11961px,732px,100%,20220528
blues,https://p.scdn.co/mp3-preview/d9ab1922a03e5621eb6a62d98e8c109422c735ee,"e.g. Junior Wells ""She's A Sweet One""","rgb(105, 134, 32)",16953px,1008px,104%,20220528
cha-cha-cha,https://p.scdn.co/mp3-preview/ff2691fb559f585f7f2da1f7a8834c58cdd48dc9,"e.g. Orquesta América ""Rico Vacilón""","rgb(127, 133, 62)",15652px,966px,101%,20220528
fado instrumental,https://p.scdn.co/mp3-preview/be6a4dfe2d72231f29c0cb947f3c63d32dea6c9a,"e.g. Custódio Castelo ""In agradecimento Miss Morna""","rgb(105, 162, 142)",16214px,761px,100%,20220528
jam band,https://p.scdn.co/mp3-preview/5d0f5369b6364ac35e830a924caf55c1d525c6d7,"e.g. moe. ""In a Big Country""","rgb(155, 126, 59)",12898px,698px,104%,20220528
taiwan indie,https://p.scdn.co/mp3-preview/0bb7e2cb22fd8e39b690fd526e3d546f71a407c0,"e.g. Wayne's so Sad ""台北流浪指南""","rgb(150, 136, 35)",8559px,523px,102%,20220528
muzica usoara,https://p.scdn.co/mp3-preview/e70672780a3f40d9b4aec985ca2fda8ba5943ab4,"e.g. Dan Spataru ""Drumurile""","rgb(128, 143, 7)",13174px,623px,100%,20220528
classic bangla pop,https://p.scdn.co/mp3-preview/f31d2796b803e3bb312297f1f7af7ac6e8da5543,"e.g. Bappa Mazumder ""Ami Chini Go Chini""","rgb(100, 152, 23)",15734px,640px,101%,20220528
singaporean punk,https://p.scdn.co/mp3-preview/0651813deb34df7e1e13ded80e89d2040d055acb,"e.g. Forests ""Kawaii Hawaii""","rgb(219, 85, 47)",6791px,304px,100%,20220528
candombe,https://p.scdn.co/mp3-preview/c956f6cf5eac2e551465ea73eed085a85f0a55ac,"e.g. Jorginho Gularte ""Tambor, Tambora""","rgb(157, 130, 38)",10732px,970px,100%,20220528
blues latinoamericano,https://p.scdn.co/mp3-preview/2b97ba36f5436e55695dba2b12b37cc01d154273,"e.g. Pappo's Blues ""Ruta 66""","rgb(169, 125, 24)",10340px,646px,100%,20220528
chanson quebecois,https://p.scdn.co/mp3-preview/529d5b5393af1833c7ad99a906c024894cdc6ae9,"e.g. Les Classels ""Ton amour a changé ma vie""","rgb(131, 142, 8)",13902px,625px,101%,20220528
st petersburg fl indie,https://p.scdn.co/mp3-preview/ba557ed15654d8f26a65b8b13414818431fc3d59,"e.g. Polyenso ""Pocket Knife Shadow""","rgb(158, 131, 41)",10434px,447px,100%,20220528
thai folk,https://p.scdn.co/mp3-preview/3140f435f6ab1ce044ba0606f162c3f7b4b94903,"e.g. Greasy Cafe' ""ฝืน""","rgb(123, 147, 25)",12148px,634px,101%,20220528
brisbane indie,https://p.scdn.co/mp3-preview/7f30b9f90b83d675f9ed1ca4a5189699e48764e7,"e.g. WAAX ""Same Same""","rgb(177, 123, 35)",7208px,377px,101%,20220528
southern gospel,https://p.scdn.co/mp3-preview/5adc0b8d5253f6509dc40d6e0a48d71dfef5f8df,"e.g. The Nelons ""Come Morning""","rgb(119, 143, 14)",13134px,548px,101%,20220528
modern bollywood,https://p.scdn.co/mp3-preview/513c79a6bcf41d75e0f9c7441b8709c3f7f34d7e,"e.g. Javed Ali ""Srivalli (From ""Pushpa The Rise Part - 01"")""","rgb(153, 132, 12)",11238px,759px,114%,20220528
scottish indie rock,https://p.scdn.co/mp3-preview/da15a2be4bf2ded93fd0f6f7011da85a9635b7a7,"e.g. Declan Welsh and The Decadent West ""Absurd""","rgb(187, 120, 26)",5332px,365px,101%,20220528
birmingham hip hop,https://p.scdn.co/mp3-preview/6accd9f2965e88e9a66dbf49bea6fd675c1e64b7,"e.g. Mowgs ""DIFFERENT""","rgb(168, 131, 19)",11461px,1049px,101%,20220528
pop lgbtq+ brasileira,https://p.scdn.co/mp3-preview/e563bd5d7f44cca5ada7f741687a889f0f5d2636,"e.g. Linn da Quebrada ""Necomancia""","rgb(154, 143, 6)",8632px,927px,103%,20220528
syro-aramaic chant,https://p.scdn.co/mp3-preview/a5a394a9654ff514eced768dc46d81d8f0e99d91,"e.g. Ghada Shbeir ""Lamma Bada Yatathanna""","rgb(53, 172, 25)",18799px,365px,100%,20220528
brazilian rockabilly,https://p.scdn.co/mp3-preview/7064296db1b82644a192baac4f40873d0a4f63e5,"e.g. Sick Sick Sinners ""We Wanna Drink Some More""","rgb(192, 110, 32)",9472px,548px,100%,20220528
swamp pop,https://p.scdn.co/mp3-preview/dc90610b24f394c0951280039cefbfff69743df3,"e.g. Johnnie Allan ""Promised Land""","rgb(133, 134, 16)",12583px,835px,101%,20220528
norwegian alternative rock,https://p.scdn.co/mp3-preview/b2a8b9e1436cc217bd99981de90e83407dad23a6,"e.g. Blood Command ""A Villain's Monologue""","rgb(185, 109, 74)",9646px,298px,100%,20220528
reggae peruano,https://p.scdn.co/mp3-preview/9e7c364ae99a8857661a780e4a218592418dab0a,"e.g. Laguna Pai ""Canales""","rgb(165, 142, 29)",6453px,1033px,100%,20220528
chamame brasilero,https://p.scdn.co/mp3-preview/971700dd66d32c2a914da1f7c29fa627ff20bef1,"e.g. Canto Da Terra ""Bailanta Do Tiburcio""","rgb(158, 139, 24)",9818px,909px,100%,20220528
turkish singer-songwriter,https://p.scdn.co/mp3-preview/4a9de7fc264f0eee0ae9fdb5bcffbff42372379e,"e.g. Jehan Barbur ""Selvi Boylum Al Yazmalım""","rgb(131, 148, 13)",10903px,695px,103%,20220528
jazz puertorriqueno,https://p.scdn.co/mp3-preview/be3231c5a207c0d97ffd47405e02d402d65c1039,"e.g. Giovanni Hidalgo ""Summertime""","rgb(156, 123, 96)",15373px,1035px,100%,20220528
classic psychedelic rock,https://p.scdn.co/mp3-preview/d81b9979b23135418a94077f8f81430589233b5f,"e.g. Mandrake Memorial ""Dark Lady""","rgb(147, 128, 50)",13058px,489px,100%,20220528
musica indigena latinoamericana,https://p.scdn.co/mp3-preview/e76c7838cfcf72c0228cf817576d8a663956c0cb,"e.g. Luzmila Carpio ""Tarpuricusum Sarata - Captain Planet Remix""","rgb(144, 143, 14)",12286px,919px,100%,20220528
austin hip hop,https://p.scdn.co/mp3-preview/922bbc5aa1b12c486a5b1ef185a036bae6cf4536,"e.g. Quin Nfn ""Laid Back""","rgb(146, 145, 7)",8932px,1020px,100%,20220528
italian gothic,https://p.scdn.co/mp3-preview/298132053828e80a4bb1874fd626d207f92a7dd6,"e.g. Date At Midnight ""Lights Off/Lights On""","rgb(182, 124, 80)",5446px,297px,100%,20220528
canadian indigenous hip hop,https://p.scdn.co/mp3-preview/0798ed9cdfb55febce504078766915e28e1ba592,"e.g. Joey Stylez ""Save Your Soul (Radio Version)""","rgb(155, 138, 12)",5123px,1093px,100%,20220528
rap latina,https://p.scdn.co/mp3-preview/e37b1984d77dd9e4b92abded2d585835dbea2b7e,"e.g. Sara Hebe ""Tuve que quemar""","rgb(172, 143, 5)",5200px,1142px,106%,20220528
romanian trap,https://p.scdn.co/mp3-preview/6c5ea38a56f8c14504f799f024d177a925c1484b,"e.g. PRNY ""Abilli""","rgb(166, 146, 15)",5757px,1093px,102%,20220528
rap chileno,https://p.scdn.co/mp3-preview/2a7f9a18ae66f743fc6d6b9ea5b2afadf2c248e2,"e.g. Mente Sabia Crú ""Punto de Fuga""","rgb(173, 129, 18)",11150px,1083px,103%,20220528
scam rap,https://p.scdn.co/mp3-preview/0a6e46933a9263eef38f3889f7f0e2123b3ab89c,"e.g. Band Gang Lonnie Bands ""Shred 2.5""","rgb(159, 145, 1)",6954px,1075px,102%,20220528
deep swedish rock,https://p.scdn.co/mp3-preview/c0d78d3a8d318060ca8beb4bae5526c044b3d68f,"e.g. Zinny Zan ""Nobody Gets out of Here Alive""","rgb(196, 107, 19)",7013px,400px,100%,20220528
contemporary vocal jazz,https://p.scdn.co/mp3-preview/a34c306f493e0950d7d09b0f653c23743ae8ad65,"e.g. Carol Welsman ""Memories of You""","rgb(70, 154, 13)",17555px,730px,104%,20220528
australian classical piano,https://p.scdn.co/mp3-preview/be9ad01ab9ecb0610e45c9caaaea6edc596b3a2f,"e.g. Camille Saint-Saëns ""Javotte, R. 306 (Version for Piano Solo) [Excerpts]: III. Pas de deux""","rgb(28, 164, 193)",20563px,512px,100%,20220528
musique ancienne,https://p.scdn.co/mp3-preview/bdefd5d92d10f1171064349bf7c32dfd7c3d27c0,"e.g. Gregorio Allegri ""Miserere: I. Miserere mei, Deus""","rgb(44, 159, 65)",19426px,383px,100%,20220528
trova,https://p.scdn.co/mp3-preview/e56f25380baaeeec2b365a4bfa3fadd4c8cdac98,"e.g. Pablo Milanés ""Yolanda""","rgb(100, 152, 13)",15398px,867px,103%,20220528
jazz composition,https://p.scdn.co/mp3-preview/413c6daae046ca36fdd0cdcfe7b69e7b199dc0aa,"e.g. Peter Calandra ""Sunset Sky""","rgb(90, 154, 146)",16023px,782px,100%,20220528
histoire pour enfants,https://p.scdn.co/mp3-preview/b441a186cb7b196a2c48e76fb9a1e2cb023f8db8,"e.g. Vincent Malone ""Chapitre 1""","rgb(79, 136, 6)",15530px,1176px,100%,20220528
ye ye,https://p.scdn.co/mp3-preview/4f6f22b7e294ce24bc80a438748e01ca06d54661,"e.g. Marie Laforêt ""Mon amour, mon ami""","rgb(131, 138, 7)",14621px,620px,102%,20220528
mambo,https://p.scdn.co/mp3-preview/3ccfb935bde1972c46115f0c1914dec8e9c4ac0d,"e.g. Orquesta Aragón ""Quiéreme Sempre""","rgb(140, 128, 69)",15385px,1012px,101%,20220528
classic turkish pop,https://p.scdn.co/mp3-preview/662fbb17cb29baaeb8e7a6ea3b47d667c3025ba1,"e.g. Rana Alagöz ""Aşkın Gözü Kör Mü""","rgb(129, 138, 13)",14744px,565px,102%,20220528
variete francaise,https://p.scdn.co/mp3-preview/c21270a9ead14b79e384226cb047dfb48d120baf,"e.g. Arcadian ""Ton combat""","rgb(166, 138, 2)",7761px,730px,103%,20220528
swedish rock-and-roll,https://p.scdn.co/mp3-preview/3df89c2c8b5d69c699f59ce524288bebc3516f0f,"e.g. Ola & The Janglers ""Let's Dance""","rgb(177, 122, 69)",10829px,657px,100%,20220528
samba,https://p.scdn.co/mp3-preview/8528b7d71306e1beca55040e7a755ab70eac44fe,"e.g. Nelson Cavaquinho ""Juízo Final""","rgb(126, 140, 27)",14314px,871px,105%,20220528
tollywood,https://p.scdn.co/mp3-preview/244136cb06896cce0d9f68b74b51428928d2503a,"e.g. Jaspreet Jasz ""Seeti Maar""","rgb(175, 128, 7)",7100px,1005px,104%,20220528
audiophile vocal,https://p.scdn.co/mp3-preview/5a4e335500ceeece18dd1bb6df350a07d2c4c86b,"e.g. Jacintha ""Here's to Life""","rgb(68, 161, 8)",16488px,791px,100%,20220528
traditional country,https://p.scdn.co/mp3-preview/f17682f6d7c86dfdbed1de635d93d3dc75eaf095,"e.g. Roy Acuff ""Wabash Cannonball""","rgb(83, 148, 17)",16841px,905px,101%,20220528
