genre,preview_url,preview_track,color,top,left,font_size,run_date
pop,https://p.scdn.co/mp3-preview/1bd8b56f5623c6eee74601848b0abdca40688743,"e.g. Camila Cabello ""Bam Bam (feat. Ed Sheeran)""","rgb(168, 139, 11)",5263px,805px,160%,20230328
dance pop,https://p.scdn.co/mp3-preview/d91c20ec61866c6189684cba9b910f3795dd5690,"e.g. Jessie J ""Bang Bang""","rgb(184, 132, 16)",3430px,852px,142%,20230328
rap,https://p.scdn.co/mp3-preview/f8d5e3c37feb980e60cac2df4256250d4b5cf5b5,"e.g. French Montana ""Unforgettable""","rgb(169, 132, 5)",5651px,1095px,140%,20230328
rock,https://p.scdn.co/mp3-preview/02716794fa9bf3d9263d2ddd32389bbb9cede48b,"e.g. The Who ""Baba O'Riley""","rgb(177, 112, 29)",10592px,500px,135%,20230328
hip hop,https://p.scdn.co/mp3-preview/73a29edeace09e859acfd831d3adfbe22399fb53,"e.g. Naughty By Nature ""Hip Hop Hooray""","rgb(172, 125, 11)",6493px,1083px,132%,20230328
urbano latino,https://p.scdn.co/mp3-preview/ef5722ef78b29d0335bd5fbff2c7cb728616d6b1,"e.g. Tainy ""Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)""","rgb(191, 143, 2)",3240px,1172px,131%,20230328
pop rap,https://p.scdn.co/mp3-preview/c287b4ba7979f74719a7bfd28ca59735b6370b5e,"e.g. Soulja Boy ""Kiss Me Thru The Phone""","rgb(177, 133, 7)",4621px,1016px,126%,20230328
reggaeton,https://p.scdn.co/mp3-preview/338ed053ce26ccc3313b00b5e6153e60ffd2eb19,"e.g. Yandel ""Yandel 150""","rgb(194, 141, 3)",2929px,1172px,125%,20230328
edm,https://p.scdn.co/mp3-preview/229c53e34f3f61252ab707a446bd985e2503b970,"e.g. Don Diablo ""Hot Air Balloon""","rgb(200, 129, 62)",2548px,792px,125%,20230328
latin pop,https://p.scdn.co/mp3-preview/a26b703673f330dcb6ff491331b462c1eea34886,"e.g. Reyli Barba ""Amor del Bueno""","rgb(171, 139, 3)",6633px,816px,124%,20230328
trap,https://p.scdn.co/mp3-preview/862ad595b0c10e822e3cb283e459060919c8ca52,"e.g. Waka Flocka Flame ""No Hands (feat. Roscoe Dash & Wale)""","rgb(164, 141, 2)",5209px,1077px,124%,20230328
modern rock,https://p.scdn.co/mp3-preview/6082516f3c05520cc2cf8cecd17e4ce8667c459e,"e.g. GROUPLOVE ""Tongue Tied""","rgb(188, 119, 28)",5732px,455px,124%,20230328
classic rock,https://p.scdn.co/mp3-preview/6291f55a2e6ef6e126bb2c25cc4b62288ba804e0,"e.g. Steve Miller Band ""The Joker""","rgb(152, 121, 25)",12828px,685px,123%,20230328
r&b,https://p.scdn.co/mp3-preview/7019551765a068200d24b7899478d1d5bd81eb3a,"e.g. Keyshia Cole ""Love""","rgb(154, 139, 6)",6042px,928px,123%,20230328
pop dance,https://p.scdn.co/mp3-preview/1164c378d1a70ec8cfa42a28dc108503e8f62768,"e.g. Alesso ""Words (feat. Zara Larsson)""","rgb(201, 129, 58)",2480px,796px,123%,20230328
musica mexicana,https://p.scdn.co/mp3-preview/e9d147f0d634b11df1fa8acf58ac623f715d671c,"e.g. Colmillo Norteño ""Sueño Guajiro""","rgb(152, 143, 4)",12884px,1001px,123%,20230328
trap latino,https://p.scdn.co/mp3-preview/a9048d9e03c891951df93f671f3d814f574992c8,"e.g. Noriel ""Be Con Be""","rgb(174, 150, 2)",4649px,1174px,121%,20230328
nueva musica mexicana,https://p.scdn.co/mp3-preview/417ea806e38589ced07cd638bf525ebac676f4e1,"e.g. Gerardo Coronel ""Te Felicito""","rgb(156, 143, 2)",12645px,1007px,121%,20230328
permanent wave,https://p.scdn.co/mp3-preview/51784234b357240cd75dd166f1885cf768ec5311,"e.g. Echo & the Bunnymen ""The Killing Moon""","rgb(170, 120, 32)",8768px,493px,121%,20230328
post-teen pop,https://p.scdn.co/mp3-preview/f65d7638dc1ace74bb418cce34022f6147560a8a,"e.g. Selena Gomez & The Scene ""Love You Like A Love Song""","rgb(172, 136, 4)",4959px,760px,121%,20230328
tropical house,https://p.scdn.co/mp3-preview/1815285bb2c53d2c1f1e3ffacaf9226f740f77dc,"e.g. Felix Jaehn ""Call It Love""","rgb(192, 135, 52)",2576px,869px,121%,20230328
mellow gold,https://p.scdn.co/mp3-preview/9c54ce8fd84b10aa931182e1797ae7b1f71c7940,"e.g. Don Henley ""The Boys Of Summer""","rgb(142, 130, 13)",11953px,627px,120%,20230328
alternative metal,https://p.scdn.co/mp3-preview/5efe16cd96fbb2c320332c1ba8f120909db22d21,"e.g. Drowning Pool ""Bodies""","rgb(212, 95, 42)",6247px,331px,120%,20230328
soft rock,https://p.scdn.co/mp3-preview/0c2f81d7582232eac12276cc093f67583b9a81d7,"e.g. Chicago ""If You Leave Me Now""","rgb(149, 130, 14)",10633px,632px,120%,20230328
contemporary country,https://p.scdn.co/mp3-preview/d12347cf047339898a81418f2baad385d61dbfd1,"e.g. Scotty McCreery ""It Matters To Her""","rgb(167, 136, 1)",6308px,551px,119%,20230328
pop rock,https://p.scdn.co/mp3-preview/30e2a899a94a089d5c341b782b00aa802fd87610,"e.g. The Goo Goo Dolls ""Iris""","rgb(171, 128, 17)",7281px,500px,119%,20230328
k-pop,https://p.scdn.co/mp3-preview/b6ab4149f2a5908feac31141aeb806fc1de3a6c1,"e.g. SHINee ""Replay""","rgb(180, 133, 22)",5676px,771px,119%,20230328
canadian pop,https://p.scdn.co/mp3-preview/c9ded404e2c456ffc9f9ae28430e25cadaf827e6,"e.g. Danny Fernandes ""Hit Me Up""","rgb(151, 137, 5)",9287px,645px,119%,20230328
filmi,https://p.scdn.co/mp3-preview/7b8a959f5834cc7c483751f1a410417357044084,"e.g. Roop Kumar Rathod ""Tujh Mein Rab Dikhta Hai""","rgb(138, 135, 25)",14589px,783px,119%,20230328
album rock,https://p.scdn.co/mp3-preview/4e8704349932ecb754e3c03cdf3b1563309627a0,"e.g. Boston ""More Than a Feeling""","rgb(173, 112, 28)",11143px,470px,119%,20230328
desi pop,https://p.scdn.co/mp3-preview/08adf04785f734161de2a392f8bd1d09151105e5,"e.g. Guru Randhawa ""Moon Rise""","rgb(146, 133, 20)",13312px,771px,118%,20230328
country,https://p.scdn.co/mp3-preview/92e8a812fdcc813697ebdb8a27bc8f7d8bbd9a34,"e.g. Trisha Yearwood ""She's In Love With The Boy - Single Version""","rgb(133, 139, 9)",11415px,688px,117%,20230328
indie pop,https://p.scdn.co/mp3-preview/2b68623a20b0d5a038345e039d168ab04a2e575d,"e.g. Frankie Cosmos ""Fool""","rgb(138, 141, 32)",10517px,585px,117%,20230328
southern hip hop,https://p.scdn.co/mp3-preview/5c9b15768e0dd656629cc4c5887f1a983e5da599,"e.g. Young Money ""Trophies""","rgb(169, 135, 3)",5388px,1070px,117%,20230328
electro house,https://p.scdn.co/mp3-preview/105556269db8065f39f5d17b348475f8bb19051b,"e.g. Laidback Luke ""Whistle (feat. Bertie Scott)""","rgb(206, 125, 78)",2184px,863px,117%,20230328
modern bollywood,https://p.scdn.co/mp3-preview/5c8c5231969e5d6952f54347aa00a6569a82d4b9,"e.g. Javed Ali ""Srivalli (From ""Pushpa The Rise Part - 01"")""","rgb(154, 132, 11)",11595px,757px,117%,20230328
hard rock,https://p.scdn.co/mp3-preview/2a0faa69cc2b5a8b4ce4bdae3fe2fe7ba603330a,"e.g. Alice Cooper ""Poison""","rgb(198, 97, 33)",9788px,354px,117%,20230328
melodic rap,https://p.scdn.co/mp3-preview/e6c2b621372ac1abe59137a732f7736c933e7f88,"e.g. Lil Gnar ""Sticky Rice (feat. Germ)""","rgb(150, 156, 2)",4540px,1079px,117%,20230328
nu metal,https://p.scdn.co/mp3-preview/902dacc92715211e588270b1f4e62fd3681e218e,"e.g. Mudvayne ""Happy?""","rgb(216, 92, 39)",5581px,338px,117%,20230328
corrido,https://p.scdn.co/mp3-preview/6e9e7daf6b782e5a5ba52c85370312393d1512ba,"e.g. Los Nuevos Ilegales ""Yo Fui El Elegante""","rgb(164, 139, 1)",13036px,1070px,117%,20230328
latin hip hop,https://p.scdn.co/mp3-preview/ddc2230ae8946ec1e1e4a7b69a9e65bab76c9869,"e.g. Tego Calderón ""Pa' Que Retozen""","rgb(190, 134, 4)",3494px,1146px,117%,20230328
urban contemporary,https://p.scdn.co/mp3-preview/cd1ac5679afd98761b09dd8b9c89c67f812d6b54,"e.g. Faith Evans ""Love Like This""","rgb(157, 134, 7)",5511px,928px,117%,20230328
sad sierreno,https://p.scdn.co/mp3-preview/737e02df2101ae364cdc908c68f50bc56ebdd633,"e.g. Esteban Gabriel ""Piel de Seda""","rgb(154, 145, 1)",12225px,1009px,117%,20230328
uk pop,https://p.scdn.co/mp3-preview/0260c33a9f31bd4d2422b870371f7fda6312f2af,"e.g. Ella Henderson ""Ghost""","rgb(152, 145, 5)",8252px,765px,116%,20230328
alternative rock,https://p.scdn.co/mp3-preview/eb78b7ca6bf55be4ca94d0c0d577257aa7c106a2,"e.g. Pavement ""Harness Your Hopes - B-side""","rgb(178, 113, 51)",9802px,421px,116%,20230328
electropop,https://p.scdn.co/mp3-preview/294e615b0dcfd6b0cbc9a727e405a997aaac0701,"e.g. Robyn ""Dancing On My Own""","rgb(167, 139, 34)",4368px,785px,116%,20230328
