genre,preview_url,preview_track,color,top,left,font_size,run_date
rap tico,https://p.scdn.co/mp3-preview/3383596b1cb4129ad186b217b963e2b15e18bf04,"e.g. Crypy ""Big Man""","rgb(177, 135, 34)",8949px,1110px,100%,20220412
judaica,https://p.scdn.co/mp3-preview/7d69c1bd1a818999c26bdacd65612d66448398e0,"e.g. Yosef Karduner ""V'afilu B'hastara""","rgb(79, 146, 22)",14615px,713px,101%,20220412
kompa chretien,https://p.scdn.co/mp3-preview/66136033a0b80cd061df63413cce1d2f02d9f5cb,"e.g. DJ H509 ""Tu es Yahweh""","rgb(166, 140, 12)",8087px,732px,100%,20220412
indonesian folk,https://p.scdn.co/mp3-preview/5b4b4d7c4e0fe4f2bc321bd79d6aa4717e3febcf,"e.g. Mr. Sonjaya ""Penjaringan""","rgb(106, 157, 25)",13459px,611px,102%,20220412
piano blues,https://p.scdn.co/mp3-preview/ad24245468823db16e794a31d2c1c5233cd370fe,"e.g. Champion Jack Dupree ""Junker's Blues""","rgb(102, 136, 45)",16958px,919px,102%,20220412
folk rock italiano,https://p.scdn.co/mp3-preview/4925c3ff7370dc4b326bb674b9540f6519f5a67d,"e.g. Bandabardò ""Se mi rilasso collasso""","rgb(132, 138, 11)",13449px,729px,102%,20220412
dutch musical,https://p.scdn.co/mp3-preview/2ffcf946c2a347ef9d2a5debec69709334462ac3,"e.g. Cast Mary Poppins ""Supercalifragilisticexpialidasties""","rgb(117, 141, 19)",14332px,550px,100%,20220412
cha-cha-cha,https://p.scdn.co/mp3-preview/769d32602cc6284be347eb302379d9798616acf9,"e.g. Orquesta América ""Me Lo Dijo Adela - Remasterizado""","rgb(127, 133, 62)",15556px,968px,101%,20220412
blues,https://p.scdn.co/mp3-preview/d9ab1922a03e5621eb6a62d98e8c109422c735ee,"e.g. Junior Wells ""She's A Sweet One""","rgb(105, 134, 33)",16862px,1010px,104%,20220412
canadian blues,https://p.scdn.co/mp3-preview/f6ee8eb903eb329bc2d5946687195c9ffc0ef63e,"e.g. Colin James ""Three Hours Past Midnight""","rgb(151, 127, 14)",12040px,734px,100%,20220412
zim gospel,https://p.scdn.co/mp3-preview/593434f0033dc085a2f6f2fe10f434d8e216610a,"e.g. Charles Charamba ""Kana vanhu vangu""","rgb(159, 136, 4)",9779px,663px,100%,20220412
sunshine pop,https://p.scdn.co/mp3-preview/763d8180795ecc185627b846dff2ae95a43b7884,"e.g. The Cyrkle ""Red Rubber Ball""","rgb(126, 132, 8)",13940px,668px,103%,20220412
muzica usoara,https://p.scdn.co/mp3-preview/3044d6ddc8974abda7091f5e45571b08597d5096,"e.g. Gică Petrescu ""Uite-Așa Aș Vrea Să Mor""","rgb(128, 143, 7)",13362px,624px,100%,20220412
candombe,https://p.scdn.co/mp3-preview/c956f6cf5eac2e551465ea73eed085a85f0a55ac,"e.g. Jorginho Gularte ""Tambor, Tambora""","rgb(157, 130, 38)",10639px,972px,100%,20220412
st petersburg fl indie,https://p.scdn.co/mp3-preview/0f832c466899b8be5a9ffd7549bea1ab6fba6d0f,"e.g. Polyenso ""Falling in Rain""","rgb(158, 131, 41)",10096px,448px,100%,20220412
fado instrumental,https://p.scdn.co/mp3-preview/be6a4dfe2d72231f29c0cb947f3c63d32dea6c9a,"e.g. Custódio Castelo ""In agradecimento Miss Morna""","rgb(105, 162, 142)",16115px,761px,100%,20220412
singaporean punk,https://p.scdn.co/mp3-preview/0651813deb34df7e1e13ded80e89d2040d055acb,"e.g. Forests ""Kawaii Hawaii""","rgb(219, 85, 47)",6736px,304px,100%,20220412
classic pakistani pop,https://p.scdn.co/mp3-preview/2e54f067d35a51ce01fc74de3fe35d866af92585,"e.g. Sajjad Ali ""Tum Naraz Ho""","rgb(133, 134, 33)",14702px,734px,103%,20220412
wyoming indie,https://p.scdn.co/mp3-preview/33af6b5a59d7b87c3ebd9ae3170b7d0e7372128f,"e.g. Jalan Crossland ""Moonshiner""","rgb(170, 124, 30)",9210px,469px,100%,20220412
classic bangla pop,https://p.scdn.co/mp3-preview/7397cba7d9db1adfad5a41c0e25e6f477bc1f58f,"e.g. Chandrabindoo ""Bhindeshi Tara""","rgb(100, 152, 22)",15490px,639px,101%,20220412
syro-aramaic chant,https://p.scdn.co/mp3-preview/a5a394a9654ff514eced768dc46d81d8f0e99d91,"e.g. Ghada Shbeir ""Lamma Bada Yatathanna""","rgb(53, 172, 25)",18672px,367px,100%,20220412
birmingham hip hop,https://p.scdn.co/mp3-preview/6accd9f2965e88e9a66dbf49bea6fd675c1e64b7,"e.g. Mowgs ""DIFFERENT""","rgb(168, 131, 19)",11212px,1049px,101%,20220412
pop costarricense,https://p.scdn.co/mp3-preview/03877aa18fd7228cc5be0b57b20c738562d0e957,"e.g. GIMARIO ""Pensándote - Remix""","rgb(171, 142, 10)",8874px,1033px,100%,20220412
