genre,preview_url,preview_track,color,top,left,font_size,run_date
rap tico,https://p.scdn.co/mp3-preview/3270b125d66adda72c5b43b27db07a69c35ef0dc,"e.g. Soultwo ""Jesús""","rgb(176, 135, 34)",8840px,1108px,100%,20220505
champeta,https://p.scdn.co/mp3-preview/72786920e4b37c975f13f96ecce4694e527e90b9,"e.g. Koffee el Kafetero ""El Chicle""","rgb(202, 130, 5)",2827px,1081px,103%,20220505
dutch trap,https://p.scdn.co/mp3-preview/9677d62edf1b7fb3030805089bcbb0f88c54f966,"e.g. Zack Ink ""The Woo""","rgb(153, 147, 14)",6595px,1138px,101%,20220505
afroswing,https://p.scdn.co/mp3-preview/b4c99ac4a6ea578d2d222fc63efc878afe59de82,"e.g. One Acen ""Vice Versa (feat. WSTRN)""","rgb(164, 145, 8)",9595px,1086px,104%,20220505
deep folk metal,https://p.scdn.co/mp3-preview/60373fe9cae72d14b8dd6e7e415cac23cdc7983f,"e.g. Vanir ""Sons of the North""","rgb(209, 93, 78)",6694px,209px,100%,20220505
trap brasileiro,https://p.scdn.co/mp3-preview/72d3fbd75ea965d3f092ad5b21f291fc3f4c78e4,"e.g. Aka Rasta ""Fases""","rgb(147, 148, 6)",7966px,1073px,106%,20220505
norwegian psychedelic,https://p.scdn.co/mp3-preview/e340e9150ccb6d815c37841fc9448c267aae4edd,"e.g. Motorpsycho ""Feel""","rgb(156, 125, 104)",10518px,280px,100%,20220505
mambo chileno,https://p.scdn.co/mp3-preview/01ae4aa7fc8fd97f8623f8af1ff79cb9581f4b19,"e.g. Adan La Amenaza ""Dele Cotele 3""","rgb(176, 144, 6)",3993px,1154px,104%,20220505
kizomba cabo-verdiana,https://p.scdn.co/mp3-preview/8bb6a24d4df7cb9be1bced96fba3ed21fbff2b50,"e.g. Jorge Neto ""Louco pa bo""","rgb(178, 147, 15)",2839px,1025px,100%,20220505
finnish alternative rock,https://p.scdn.co/mp3-preview/bc366fc2c1a77c7b8df55f9a051fda0ffb48f500,"e.g. Sydän, sydän ""Ikuinen Hehku""","rgb(195, 114, 27)",4864px,352px,101%,20220505
trova mexicana,https://p.scdn.co/mp3-preview/6f5fdbedfdb62864389eb7305fe81c46a7990dc7,"e.g. Alejandro Santiago ""Por si no te vuelvo a ver""","rgb(100, 154, 3)",14763px,881px,101%,20220505
kabyle,https://p.scdn.co/mp3-preview/3e696ca9f6261842496a1cd424b57f394285255c,"e.g. Rabah Asma ""Ines""","rgb(178, 127, 14)",7703px,826px,100%,20220505
gen z singer-songwriter,https://p.scdn.co/mp3-preview/b2fddb526ed66258ded42eedce3650ab7348222c,"e.g. Sara Kays ""Remember That Night?""","rgb(107, 156, 2)",12049px,789px,107%,20220505
jug band,https://p.scdn.co/mp3-preview/1739bae1381504de318a37e60afba8a52d58ec17,"e.g. Memphis Jug Band ""On the Road Again""","rgb(86, 142, 43)",18655px,991px,100%,20220505
trecento,https://p.scdn.co/mp3-preview/6b71bd74856df886f85220d99358f5cd7388025d,"e.g. Matteo da Perugia ""Ave sancta mundi salus - Agnus dei""","rgb(25, 175, 63)",20597px,252px,100%,20220505
punk tico,https://p.scdn.co/mp3-preview/034f74785acfb1462f8e1bb5db6b79edda05091e,"e.g. El Guato ""Te Dire Te Quiero""","rgb(225, 92, 22)",7420px,377px,100%,20220505
reggae,https://p.scdn.co/mp3-preview/bcb04f38519519a1e3a31fc765b1349a14ae3856,"e.g. Wailing Souls ""Jah Give Us Life""","rgb(137, 143, 33)",6684px,1211px,106%,20220505
uk reggae,https://p.scdn.co/mp3-preview/865fea02389e3993b24ee577c94b9fbadbb4a385,"e.g. Vibronics ""R.A.S.T.A.F.A.R.I.""","rgb(153, 144, 28)",3716px,1170px,102%,20220505
german shoegaze,https://p.scdn.co/mp3-preview/734aabc43b521420e60c809875aea5305ac576f2,"e.g. Seasurfer ""Too Wild""","rgb(164, 127, 114)",7568px,232px,100%,20220505
indonesian shoegaze,https://p.scdn.co/mp3-preview/2a14fb43dda510266a0a70a588b1e5ebdf11fce4,"e.g. Bedchamber ""Out of Line""","rgb(184, 125, 122)",5735px,245px,100%,20220505
bomba,https://p.scdn.co/mp3-preview/f9284d82aaec2640e6ab214898af91bd7b0f7946,"e.g. Marabuu ""Hoy Aprendi""","rgb(185, 135, 26)",4857px,1130px,100%,20220505
