genre,preview_url,preview_track,color,top,left,font_size,run_date
deep tech house,https://p.scdn.co/mp3-preview/b20a6b7b0611761fea1853b9aac5efe38d9a0f72,"e.g. CamelPhat ""Cola""","rgb(194, 140, 202)",246px,1413px,101%,20220816
pipa,https://p.scdn.co/mp3-preview/4151070adaa7607cd99806b2f2f992faca4efe7f,"e.g. Lin Shicheng ""Beyond the Great Wall""","rgb(55, 166, 175)",19341px,863px,100%,20220816
viola,https://p.scdn.co/mp3-preview/882d73bf81c1822e8642a1465fc11aa5f4b2d285,"e.g. Vincenzo Bellini ""Norma, Act I, Scene 1: Air de Norma ""Casta Diva"" (Arr. for Piano & Viola)""","rgb(36, 163, 140)",20702px,328px,100%,20220816
classical harp,https://p.scdn.co/mp3-preview/970de8b07426ba99728b813fb0d9e4801c64bb52,"e.g. Johann Sebastian Bach ""Ave Maria""","rgb(29, 175, 182)",20457px,626px,100%,20220816
musica amapaense,https://p.scdn.co/mp3-preview/85ec97257d1e691bb05f300f382072d59d8d75a1,"e.g. Patrícia Bastos ""Dançando com Oxum""","rgb(160, 136, 11)",9176px,769px,100%,20220816
piano blues,https://p.scdn.co/mp3-preview/ad24245468823db16e794a31d2c1c5233cd370fe,"e.g. Champion Jack Dupree ""Junker's Blues""","rgb(102, 136, 45)",17195px,916px,101%,20220816
kompa chretien,https://p.scdn.co/mp3-preview/66136033a0b80cd061df63413cce1d2f02d9f5cb,"e.g. DJ H509 ""Tu es Yahweh""","rgb(167, 140, 12)",7788px,728px,100%,20220816
zim gospel,https://p.scdn.co/mp3-preview/a7ebf08c08348d4331e63b7aa14ee4d0691ed9f6,"e.g. Charles Charamba ""Kana Vanhu Vangu""","rgb(158, 136, 4)",9954px,651px,100%,20220816
cha-cha-cha,https://p.scdn.co/mp3-preview/367c534226f4ef51aa9dc53638a6e8ea950c0b6c,"e.g. Orquesta América ""Me Lo Dijo Adela""","rgb(127, 133, 62)",15738px,965px,101%,20220816
jazz composition,https://p.scdn.co/mp3-preview/d1a0377ffda3741ce6bdd15160e7a2b4b770bcb7,"e.g. Peter Calandra ""Back Alley Blues""","rgb(90, 154, 146)",16110px,783px,100%,20220816
dutch musical,https://p.scdn.co/mp3-preview/2ffcf946c2a347ef9d2a5debec69709334462ac3,"e.g. Cast Mary Poppins ""Supercalifragilisticexpialidasties""","rgb(118, 141, 19)",14541px,548px,100%,20220816
canadian celtic,https://p.scdn.co/mp3-preview/2d353f9047f49b742c60fd922b1181bcb5abb429,"e.g. Rawlins Cross ""Reel 'n' Roll""","rgb(147, 138, 24)",13136px,532px,101%,20220816
canadian blues,https://p.scdn.co/mp3-preview/78d4d53c6b18eeda3a6b93051b867c514f1b16f5,"e.g. David Gogo ""This Is A Man's World""","rgb(151, 127, 14)",12003px,731px,100%,20220816
australian indie folk,https://p.scdn.co/mp3-preview/72c67e20b422d7dc46163640e0ada23924889e05,"e.g. Kyle Lionhart ""Sorry I'm Gone""","rgb(119, 151, 25)",12250px,641px,102%,20220816
taiwan indie,https://p.scdn.co/mp3-preview/0bb7e2cb22fd8e39b690fd526e3d546f71a407c0,"e.g. Wayne's so Sad ""台北流浪指南""","rgb(150, 136, 35)",8376px,519px,102%,20220816
oshare kei,https://p.scdn.co/mp3-preview/69befc875682f9f95ec4dd1a03083f8706100485,"e.g. SuG ""R.P.G.~Rockin' Playing Game""","rgb(213, 96, 32)",4251px,328px,101%,20220816
jam band,https://p.scdn.co/mp3-preview/5d0f5369b6364ac35e830a924caf55c1d525c6d7,"e.g. moe. ""In a Big Country""","rgb(155, 126, 59)",12140px,696px,105%,20220816
classic bangla pop,https://p.scdn.co/mp3-preview/f31d2796b803e3bb312297f1f7af7ac6e8da5543,"e.g. Bappa Mazumder ""Ami Chini Go Chini""","rgb(101, 152, 23)",15714px,638px,101%,20220816
classic pakistani pop,https://p.scdn.co/mp3-preview/ffa82d2831339f03922c70e70f248bf0ef579c9f,"e.g. Noor Jehan ""Mujhse Pehli Si Mohabbat""","rgb(132, 135, 33)",15111px,736px,103%,20220816
future rock,https://p.scdn.co/mp3-preview/e02aff9b79ce5a0d8b255182d659bc393cfe23e5,"e.g. Circle of Dust ""Onenemy - Fury Weekend Remix""","rgb(217, 112, 101)",2352px,396px,102%,20220816
muzica usoara,https://p.scdn.co/mp3-preview/d525c99c2891ff927c8245b61daaffff5e631832,"e.g. Aurelian Andreescu ""Oameni""","rgb(128, 143, 6)",13554px,623px,100%,20220816
finnish punk,https://p.scdn.co/mp3-preview/ea2fce41f40c450690d075b384688e420c7de652,"e.g. Kivesveto Go Go ""Äiti Hei!""","rgb(212, 89, 26)",9138px,355px,101%,20220816
st petersburg fl indie,https://p.scdn.co/mp3-preview/0f832c466899b8be5a9ffd7549bea1ab6fba6d0f,"e.g. Polyenso ""Falling in Rain""","rgb(158, 131, 41)",10607px,444px,100%,20220816
fado instrumental,https://p.scdn.co/mp3-preview/be6a4dfe2d72231f29c0cb947f3c63d32dea6c9a,"e.g. Custódio Castelo ""In agradecimento Miss Morna""","rgb(107, 161, 142)",16287px,757px,100%,20220816
birmingham hip hop,https://p.scdn.co/mp3-preview/d416ac734309c982abbb8994b3407d883880fef4,"e.g. Stardom ""Hashtag""","rgb(167, 132, 19)",11691px,1048px,101%,20220816
syro-aramaic chant,https://p.scdn.co/mp3-preview/a5a394a9654ff514eced768dc46d81d8f0e99d91,"e.g. Ghada Shbeir ""Lamma Bada Yatathanna""","rgb(53, 172, 25)",18888px,363px,100%,20220816
deep talent show,https://p.scdn.co/mp3-preview/de266291ebe6127f71804efce7a1f2be3b4af241,"e.g. Britton Buchanan ""Cross My Mind""","rgb(150, 141, 8)",8991px,570px,101%,20220816
english indie rock,https://p.scdn.co/mp3-preview/521b4a65cac3757ce079325ad0d1611415664603,"e.g. Sports Team ""Here's The Thing""","rgb(187, 121, 22)",5159px,388px,102%,20220816
