genre,preview_url,preview_track,color,top,left,font_size,run_date
rap tico,https://p.scdn.co/mp3-preview/f3909f59d6277e75a583cd16a56dbc1786a290ca,"e.g. Fufu ""Que Se Vengan""","rgb(176, 135, 34)",8952px,1110px,100%,20220130
dutch trap,https://p.scdn.co/mp3-preview/728308912691382899847c407c4ca2786d2db960,"e.g. Era ""Young Kings (feat. Jayboogz)""","rgb(153, 147, 14)",6545px,1138px,101%,20220130
afroswing,https://p.scdn.co/mp3-preview/79c2c194926a5a4eff309d89cd47d9e9f010b731,"e.g. Kojo Funds ""I Like (feat. WizKid)""","rgb(165, 144, 9)",9176px,1090px,104%,20220130
tex-mex,https://p.scdn.co/mp3-preview/f7c889494938290c0c4836ad9c6fb7474398f8bb,"e.g. Zamorales ""Y Ya Despues""","rgb(165, 141, 6)",9890px,1051px,102%,20220130
zambian hip hop,https://p.scdn.co/mp3-preview/31da9ea3915a521b77480015574acf935c0cd6a9,"e.g. Jay Rox ""Weekend""","rgb(180, 137, 7)",9390px,1019px,100%,20220130
indian metal,https://p.scdn.co/mp3-preview/21c495048966472e8937de6d4ac6e4ccc0a8546b,"e.g. Kryptos ""Mach Speed Running""","rgb(221, 85, 92)",6130px,248px,100%,20220130
mambo chileno,https://p.scdn.co/mp3-preview/ca377929b944056a1a7f8a175758fbd05873a47c,"e.g. Adan La Amenaza ""Dele Cotele 3""","rgb(176, 144, 6)",3963px,1151px,102%,20220130
trap brasileiro,https://p.scdn.co/mp3-preview/fdfbf491dba34a30f24254c9ebe0fb6d7a31efe9,"e.g. Aka Rasta ""AIAI""","rgb(147, 148, 6)",8053px,1075px,106%,20220130
finnish alternative rock,https://p.scdn.co/mp3-preview/7c7c0915856f56ec0404d1770dd111231c8d0f46,"e.g. CMX ""Vapaus Johtaa Kansaa""","rgb(195, 114, 27)",4761px,353px,101%,20220130
kizomba cabo-verdiana,https://p.scdn.co/mp3-preview/632240344af0d3cca1ccdae6a18a0b141b6b8cdf,"e.g. Tó Semedo ""Não Tem Que Encantar""","rgb(179, 147, 15)",2707px,1027px,100%,20220130
rap calme,https://p.scdn.co/mp3-preview/1419092e4a76b2a01943b347a78bdafe6d94b5d7,"e.g. Livaï ""Quelqu'un de bien""","rgb(141, 150, 5)",10686px,1051px,106%,20220130
kabyle,https://p.scdn.co/mp3-preview/5b03bccf7bb21d7c3f6d76ddebf44ea7000b351b,"e.g. Rabah Asma ""Ines""","rgb(177, 127, 14)",7564px,828px,100%,20220130
screamo,https://p.scdn.co/mp3-preview/a3712bc10eeb109e476b2990115921f3363aea83,"e.g. From First To Last ""Emily""","rgb(213, 94, 30)",6399px,278px,107%,20220130
sertanejo pop,https://p.scdn.co/mp3-preview/f983576a20404280a58a6457df9c81f6572e90f4,"e.g. George Henrique & Rodrigo ""Vai Lá Em Casa Hoje""","rgb(188, 134, 1)",8044px,847px,112%,20220130
contemporary choir,https://p.scdn.co/mp3-preview/f07bb57f9d5bdf42c3d4358371a9dab702d25984,"e.g. Howard Shore ""May it be (Arr. M. Sheeran)""","rgb(28, 162, 74)",20192px,143px,100%,20220130
trecento,https://p.scdn.co/mp3-preview/da6bc670cd930b7bbc175b7b3e6adef326f6e704,"e.g. Matteo da Perugia ""Ave sancta mundi salus - Agnus dei""","rgb(25, 175, 63)",20168px,254px,100%,20220130
tunantada,https://p.scdn.co/mp3-preview/9a7eadfd3b9c883a3b31b2c06ee2c275a9d94faf,"e.g. Max Castro ""Tu Me Pides Que Te Olvide""","rgb(167, 136, 9)",12613px,905px,100%,20220130
reggae,https://p.scdn.co/mp3-preview/53842fc44e2dbc84b607fd16c28f07ec36d11a42,"e.g. Wailing Souls ""Jah Give Us Life""","rgb(138, 143, 32)",6557px,1211px,106%,20220130
uk reggae,https://p.scdn.co/mp3-preview/76de1ac6b52bca6d42c6ec38ed8f68d56e29851a,"e.g. Mungo's Hi Fi ""Jump Up Quickly""","rgb(153, 144, 28)",3616px,1170px,102%,20220130
south african deep house,https://p.scdn.co/mp3-preview/beb05c77059a80bb0bc1d918b3a3b63c98223181,"e.g. Sculptured Music ""OverFlow""","rgb(152, 151, 152)",972px,1291px,100%,20220130
ghanaian pop,https://p.scdn.co/mp3-preview/619912e8be51fb61c24f4f968a37de1e1a91e02d,"e.g. Joey B ""COLD""","rgb(175, 140, 11)",8079px,1119px,102%,20220130
cumbia salvadorena,https://p.scdn.co/mp3-preview/fd0e2e80faa51fc146ab3ee95d3fb23d1bf6c395,"e.g. Los Cocodrilos ""El Pirulino""","rgb(160, 143, 9)",7571px,1193px,101%,20220130
german shoegaze,https://p.scdn.co/mp3-preview/b44946e7a499cec0673058f0ffaef97c78f4b237,"e.g. Seasurfer ""Too Wild""","rgb(164, 127, 113)",7612px,234px,100%,20220130
oeteldonk,https://p.scdn.co/mp3-preview/6c3a55c54845ab86281580e2822229b545975068,"e.g. Foe Jong Bende ""Lekker Lôpe""","rgb(150, 107, 12)",13554px,883px,100%,20220130
indonesian shoegaze,https://p.scdn.co/mp3-preview/55d045339a159b4182aeccea256c816e3f07b8bb,"e.g. Themilo ""For All the Dreams That Wings Could Fly""","rgb(185, 125, 123)",5477px,245px,100%,20220130
maluku pop,https://p.scdn.co/mp3-preview/0b086ef55c35d53e65ad8e7ace105a3e1552ac7f,"e.g. Mpes ""Niet Meer Alleen""","rgb(145, 148, 8)",10649px,1101px,100%,20220130
cumbia ecuatoriana,https://p.scdn.co/mp3-preview/775e388206c64a781597e3d91ded8266b6a0b1fd,"e.g. Juanita Burbano ""Entre Que Sí y Que No""","rgb(151, 145, 22)",10882px,1060px,101%,20220130
estonian metal,https://p.scdn.co/mp3-preview/f2e45a3bc65343916f6a49f15600c223a485b627,"e.g. Metsatöll ""Vimm""","rgb(218, 92, 99)",4684px,294px,100%,20220130
progressive post-hardcore,https://p.scdn.co/mp3-preview/36a0c885cc429789e1df190bf5da9323c65d087f,"e.g. A Lot Like Birds ""Vanity's Fair""","rgb(199, 107, 35)",6595px,296px,102%,20220130
rap siciliano,https://p.scdn.co/mp3-preview/7581b4ee553058483b67874ead27e3ede1b1660f,"e.g. L'Elfo ""Disturbato""","rgb(175, 135, 8)",8108px,958px,101%,20220130
pixie,https://p.scdn.co/mp3-preview/61526f6336d809f651a10ceb98d34c8fd44ae7a9,"e.g. Tonight Alive ""Little Lion Man""","rgb(198, 116, 9)",3910px,371px,105%,20220130
romanian classical piano,https://p.scdn.co/mp3-preview/b2aa017c099715fa6872d97b894099870883d20d,"e.g. Franz Schubert ""4 Impromptus, Op.90, D.899: No.4 in A Flat Major: Allegretto""","rgb(34, 166, 216)",20536px,552px,100%,20220130
norwegian trap,https://p.scdn.co/mp3-preview/9a2362de5774dd38bec2d3061ad24fd7b7fc5e94,"e.g. T Section ""Grensen""","rgb(142, 153, 5)",7107px,1090px,101%,20220130
balochi folk,https://p.scdn.co/mp3-preview/e8baba078f3826c66d85d642f69af06c46082269,"e.g. Abdul Aziz Baloch ""Mala O Mala Beha""","rgb(188, 115, 22)",10636px,931px,100%,20220130
rap underground argentino,https://p.scdn.co/mp3-preview/8d531e21b2b3822ddee164c64306146d6a37087e,"e.g. Nucleo Aka Tintasucia ""La Fianza""","rgb(163, 135, 15)",10796px,1093px,101%,20220130
jain bhajan,https://p.scdn.co/mp3-preview/5d84d75150274b0beedf725ae916d8bfdaeedd4c,"e.g. Ravindra Jain ""Shri Krishna Govind Hare Murari""","rgb(140, 134, 5)",13811px,795px,100%,20220130
bandinhas,https://p.scdn.co/mp3-preview/b6e87862a84abc0bec2447d9a6469eb34318f46d,"e.g. Banda Champion ""Você Me Tira do Ar""","rgb(209, 122, 5)",5031px,937px,101%,20220130
coupe-decale,https://p.scdn.co/mp3-preview/cf1f39d6508b751e1e30a9408eaddbfc02fb33e6,"e.g. Molare ""Descend un peu""","rgb(196, 123, 12)",5237px,1044px,100%,20220130
kizomba antigas,https://p.scdn.co/mp3-preview/7718bf6a6465577929403333b5426cc06a0b072e,"e.g. Don Kikas ""Sexta-Feira""","rgb(183, 141, 28)",2896px,1055px,100%,20220130
coco,https://p.scdn.co/mp3-preview/919d0b9a3f5f1cf65cd83ee3981e7ab9591dfc2c,"e.g. Lia de Itamaracá ""Meu São Jorge""","rgb(176, 125, 5)",10772px,1036px,100%,20220130
azontobeats,https://p.scdn.co/mp3-preview/833afe9d2546f09b7aa5fc91550456b44e42c7d3,"e.g. Serge Beynaud ""Lifuende""","rgb(192, 132, 6)",7789px,1006px,104%,20220130
hardcore punk,https://p.scdn.co/mp3-preview/e8e8afe3a2a95660831fdca9a1b61b46a1b93354,"e.g. Poison Idea ""The Badge""","rgb(222, 70, 45)",10079px,287px,103%,20220130
kentucky mountain folk,https://p.scdn.co/mp3-preview/f88780ead57d6ed00b0a0452cb7be71e851d147e,"e.g. Pete Steele ""Last Payday at Coal Creek""","rgb(79, 154, 55)",18401px,907px,100%,20220130
cuatro puertorriqueno,https://p.scdn.co/mp3-preview/4eb919b4a05e8095cc6ff760e64a881d9b1023c7,"e.g. Tony Croatto ""El Niño Jesús""","rgb(137, 144, 55)",12662px,993px,100%,20220130
georgian polyphony,https://p.scdn.co/mp3-preview/4c9c4b894b204ca5363c94c9a3c7f928bf60dab6,"e.g. Kolkheti ""Popurri Kartuli Melodiebis Temebze (Potpourri of Melodies from Kartuli)""","rgb(49, 165, 38)",20376px,194px,100%,20220130
flamenco,https://p.scdn.co/mp3-preview/75617d52b4faa1182ee9d2fa18ded577a3e941d1,"e.g. La Macanita ""Adiós Tristeza""","rgb(112, 141, 51)",16480px,901px,102%,20220130
full on,https://p.scdn.co/mp3-preview/4a833e200d49f1a1a8b63b74082090ae97da2bad,"e.g. Mad Maxx ""Heaven Eleven""","rgb(227, 122, 184)",694px,1025px,100%,20220130
dub poetry,https://p.scdn.co/mp3-preview/077dc642c1b7c5b8da368f0d18068adcd0321d31,"e.g. Linton Kwesi Johnson ""Inglan Is A Bitch""","rgb(132, 132, 37)",7391px,1238px,100%,20220130
nursery,https://p.scdn.co/mp3-preview/796707707f41362a0833abfd98f0a0c4a3bc2bf8,"e.g. Tumble Tots ""Elephants Have Wrinkles""","rgb(56, 169, 120)",13505px,933px,102%,20220130
trouvere,https://p.scdn.co/mp3-preview/7dc770971140f2d311aa62a1711d35966a2a1731,"e.g. Conon de Béthune ""Ahi! Amours""","rgb(42, 150, 33)",18108px,583px,100%,20220130
corrido,https://p.scdn.co/mp3-preview/328054bb6635d23161b41ad04dd308277e5fb0b1,"e.g. Los Minis de Caborca ""300 Locos""","rgb(163, 139, 1)",11697px,1081px,113%,20220130
