genre,preview_url,preview_track,color,top,left,font_size,run_date
lovers rock,https://p.scdn.co/mp3-preview/8877bb6476ea39c04ef9102c8a883ac750129cb7,"e.g. Bitty McLean ""Walk Away From Love""","rgb(143, 145, 13)",6398px,1179px,103%,20220108
school ensemble,https://p.scdn.co/mp3-preview/606ee8ab8502cb646cd8453e1e19315a78bb177c,"e.g. Edison High School Band ""I Want To Hold Your Hand""","rgb(96, 131, 131)",15716px,532px,100%,20220108
folk rock italiano,https://p.scdn.co/mp3-preview/8cca442cdc2252e0fd757122e82687225ba601ad,"e.g. Bandabardò ""Se mi rilasso collasso""","rgb(134, 138, 10)",12880px,718px,102%,20220108
piano blues,https://p.scdn.co/mp3-preview/fd161f29a12adc40d69671ad6ff05a20135dab40,"e.g. Champion Jack Dupree ""Junker's Blues""","rgb(102, 136, 45)",16563px,916px,101%,20220108
dutch musical,https://p.scdn.co/mp3-preview/e706cf60e17f222c0ca0316690378db8db997b84,"e.g. Soldaat van Oranje Cast ""Als Wij Niets Doen""","rgb(118, 140, 20)",14064px,546px,100%,20220108
zim gospel,https://p.scdn.co/mp3-preview/d86896988e75f0b4f341a72b78cdf9b7fa206046,"e.g. Charles Charamba ""Ndinovimba Nemi""","rgb(158, 136, 4)",9604px,655px,100%,20220108
cha-cha-cha,https://p.scdn.co/mp3-preview/99d613154f036a571fb8fb0bdb7b4af80f04cb4d,"e.g. Orquesta América ""La Basura""","rgb(128, 133, 63)",15186px,964px,101%,20220108
jazz composition,https://p.scdn.co/mp3-preview/169575d13b51892c93e0a08f365e89a082877a0f,"e.g. Peter Calandra ""Back Alley Blues""","rgb(90, 154, 148)",15504px,781px,100%,20220108
cante alentejano,https://p.scdn.co/mp3-preview/8c809769e53463235a5fcb1a8a6d56e41fba903c,"e.g. Rancho De Cantadores De Aldeia Nova De São Bento ""Trago Alentejo Na Voz""","rgb(58, 156, 94)",18581px,623px,100%,20220108
dalarna indie,https://p.scdn.co/mp3-preview/5c36c4e79f24365fad5973bbf5d7239186c18fac,"e.g. Gustaf & Viktor Norén ""Sånger från dig (Tunna skivor)""","rgb(166, 128, 23)",9531px,413px,101%,20220108
canadian blues,https://p.scdn.co/mp3-preview/73f3709118c79dc6823ba1a80a9ac0d947627515,"e.g. Colin James ""Three Hours Past Midnight""","rgb(151, 127, 14)",11578px,731px,100%,20220108
musica andina chilena,https://p.scdn.co/mp3-preview/13101270b3dc3c8989898bd020ef42d4c1184fc0,"e.g. Arak Pacha ""Socoroma""","rgb(125, 135, 37)",14273px,799px,101%,20220108
jam band,https://p.scdn.co/mp3-preview/b260d3587e766c938474f062565b3dd1b0c000bb,"e.g. moe. ""Silver Sun""","rgb(155, 126, 59)",11825px,696px,104%,20220108
taiwan indie,https://p.scdn.co/mp3-preview/b92c4668881b4a57553b3f2afdf33b43ef6edcfa,"e.g. Sorry Youth ""暗流""","rgb(150, 136, 34)",8228px,516px,102%,20220108
candombe,https://p.scdn.co/mp3-preview/5a6b3342a2ece487153c18488c9d0511674daba3,"e.g. Jorginho Gularte ""Tambor, Tambora""","rgb(158, 129, 38)",10321px,969px,100%,20220108
australian talent show,https://p.scdn.co/mp3-preview/12e140d83b69fee56cdb1542237b5c7750a485bc,"e.g. Jack Vidgen ""I Am King I Am Queen""","rgb(167, 134, 5)",7258px,604px,102%,20220108
fado instrumental,https://p.scdn.co/mp3-preview/3cb6a481ef78f6cee3076820685925f59f22ca68,"e.g. Custódio Castelo ""In agradecimento Miss Morna""","rgb(105, 162, 143)",15755px,760px,100%,20220108
blues latinoamericano,https://p.scdn.co/mp3-preview/c4ae126b4a4fe08867a125a663472f17bc21b414,"e.g. Pappo's Blues ""Ruta 66""","rgb(170, 125, 25)",9890px,648px,100%,20220108
rwandan gospel,https://p.scdn.co/mp3-preview/032f1ac0a21b4341793bcdcf6b0454658bb5ad32,"e.g. Aline Gahongayire ""Ndanyuzwe""","rgb(142, 143, 2)",8720px,668px,100%,20220108
sunshine pop,https://p.scdn.co/mp3-preview/1e016f28a51ad3297df56605c673774c80160d30,"e.g. The Cyrkle ""Red Rubber Ball""","rgb(126, 132, 8)",13597px,664px,103%,20220108
classic bangla pop,https://p.scdn.co/mp3-preview/dd990debe79b06b10772687414f3ba05d7c5c044,"e.g. Bappa Mazumder ""Ami Chini Go Chini""","rgb(99, 152, 23)",15198px,632px,101%,20220108
