genre,preview_url,preview_track,color,top,left,font_size,run_date
pipa,https://p.scdn.co/mp3-preview/4151070adaa7607cd99806b2f2f992faca4efe7f,"e.g. Lin Shicheng ""Beyond the Great Wall""","rgb(55, 166, 175)",19361px,863px,100%,20220828
viola,https://p.scdn.co/mp3-preview/882d73bf81c1822e8642a1465fc11aa5f4b2d285,"e.g. Vincenzo Bellini ""Norma, Act I, Scene 1: Air de Norma ""Casta Diva"" (Arr. for Piano & Viola)""","rgb(36, 163, 139)",20700px,328px,100%,20220828
musica amapaense,https://p.scdn.co/mp3-preview/85ec97257d1e691bb05f300f382072d59d8d75a1,"e.g. Patrícia Bastos ""Dançando com Oxum""","rgb(160, 136, 11)",9302px,769px,100%,20220828
folk rock italiano,https://p.scdn.co/mp3-preview/4925c3ff7370dc4b326bb674b9540f6519f5a67d,"e.g. Bandabardò ""Se mi rilasso collasso""","rgb(133, 137, 10)",13333px,721px,102%,20220828
indonesian folk,https://p.scdn.co/mp3-preview/a3663e6d8514e43e1b49a12dbdb310bf255ee5da,"e.g. Mr. Sonjaya ""Sedang Dalam Suasana Cerah""","rgb(106, 157, 25)",13739px,602px,102%,20220828
piano blues,https://p.scdn.co/mp3-preview/ad24245468823db16e794a31d2c1c5233cd370fe,"e.g. Champion Jack Dupree ""Junker's Blues""","rgb(102, 136, 45)",17182px,916px,101%,20220828
canadian celtic,https://p.scdn.co/mp3-preview/522342a1c4cdc041cb2d1e4b2fb2bde1d845de58,"e.g. The Barra MacNeils ""Banks of the Roses""","rgb(147, 138, 24)",13136px,532px,101%,20220828
dutch musical,https://p.scdn.co/mp3-preview/2ffcf946c2a347ef9d2a5debec69709334462ac3,"e.g. Cast Mary Poppins ""Supercalifragilisticexpialidasties""","rgb(118, 141, 19)",14416px,548px,100%,20220828
adoracion pentecostal,https://p.scdn.co/mp3-preview/55af442334322b051dd2158e66a1fe55a8f18faa,"e.g. Lina García ""Absoluto""","rgb(143, 147, 9)",10570px,844px,101%,20220828
cha-cha-cha,https://p.scdn.co/mp3-preview/367c534226f4ef51aa9dc53638a6e8ea950c0b6c,"e.g. Orquesta América ""Me Lo Dijo Adela""","rgb(127, 133, 62)",15736px,965px,101%,20220828
finnish punk,https://p.scdn.co/mp3-preview/ea2fce41f40c450690d075b384688e420c7de652,"e.g. Kivesveto Go Go ""Äiti Hei!""","rgb(212, 89, 26)",9215px,355px,101%,20220828
instrumental lullaby,https://p.scdn.co/mp3-preview/69ab7d19a6497f728273d6ecaf1eae64c8fbaa5a,"e.g. Roly Lucian ""Rest Now, Child""","rgb(18, 182, 212)",18301px,1136px,106%,20220828
st petersburg fl indie,https://p.scdn.co/mp3-preview/ba557ed15654d8f26a65b8b13414818431fc3d59,"e.g. Polyenso ""Pocket Knife Shadow""","rgb(158, 131, 41)",10523px,444px,100%,20220828
chanson quebecois,https://p.scdn.co/mp3-preview/25dcb01be619a8c43e18d4943bb8d55423fc735c,"e.g. Claude Valade ""Aide-moi à passer la nuit""","rgb(130, 142, 9)",13898px,629px,101%,20220828
jam band,https://p.scdn.co/mp3-preview/8c8eb5d5db8ca7b092b9830711cd38bb69a079ca,"e.g. moe. ""Okayalright""","rgb(155, 126, 58)",12037px,696px,105%,20220828
muzica usoara,https://p.scdn.co/mp3-preview/d525c99c2891ff927c8245b61daaffff5e631832,"e.g. Aurelian Andreescu ""Oameni""","rgb(128, 143, 6)",13346px,623px,100%,20220828
hampton roads indie,https://p.scdn.co/mp3-preview/5438ebd36b86e174310e54370861b2e213ed2f83,"e.g. The Hunts ""Valentina""","rgb(166, 130, 38)",10193px,444px,100%,20220828
fado instrumental,https://p.scdn.co/mp3-preview/be6a4dfe2d72231f29c0cb947f3c63d32dea6c9a,"e.g. Custódio Castelo ""In agradecimento Miss Morna""","rgb(107, 161, 142)",16284px,757px,100%,20220828
syro-aramaic chant,https://p.scdn.co/mp3-preview/bed8f744da8a8cb65936e79ce6166c1ad31d4e7c,"e.g. Ghada Shbeir ""Wal Hawa Thalithouna""","rgb(53, 172, 25)",18908px,363px,100%,20220828
dutch classical piano,https://p.scdn.co/mp3-preview/8da88c07de46c49e27e82bee6e4da5d854afd919,"e.g. Johann Sebastian Bach """"Was mir behagt, ist nur die muntre Jagd"" Cantata, BWV 208: 9. Schafe können sicher weiden (Arr. For Piano Four Hands by Mary Howe)""","rgb(34, 164, 217)",20618px,542px,100%,20220828
sasscore,https://p.scdn.co/mp3-preview/517880a8c7a0e200eafa423c47998f9e4ae5a0fb,"e.g. An Albatross ""Return of the Lazer Viking""","rgb(212, 75, 105)",10584px,268px,101%,20220828
iskelma,https://p.scdn.co/mp3-preview/5b20aae96732b5d5774d6d61e6b2699a168c26f5,"e.g. Neljänsuora ""Mansikkaa ja valkoapilaa""","rgb(148, 138, 4)",9400px,679px,102%,20220828
australian post-rock,https://p.scdn.co/mp3-preview/8d513b879ef59a13418633c2e8bd7d4edc218d75,"e.g. sleepmakeswaves ""It's Dark, It's Cold, It's Winter""","rgb(130, 143, 186)",10994px,307px,100%,20220828
czsk reggae,https://p.scdn.co/mp3-preview/c5ce6ae4f98c560dfcda7b34e0539f245faf0e0e,"e.g. Coco Jammin ""Zahradnická Píseň""","rgb(191, 128, 9)",5728px,1013px,100%,20220828
uk pop,https://p.scdn.co/mp3-preview/67494ad1ebf8a36b40d5dc76d85880b296bab274,"e.g. Ella Henderson ""Ghost""","rgb(159, 141, 8)",6304px,760px,130%,20220828
birmingham hip hop,https://p.scdn.co/mp3-preview/d416ac734309c982abbb8994b3407d883880fef4,"e.g. Stardom ""Hashtag""","rgb(167, 132, 19)",11486px,1048px,101%,20220828
southern gospel,https://p.scdn.co/mp3-preview/5adc0b8d5253f6509dc40d6e0a48d71dfef5f8df,"e.g. The Nelons ""Come Morning""","rgb(119, 143, 14)",13272px,546px,101%,20220828
english indie rock,https://p.scdn.co/mp3-preview/882fbb7d5756559a33d30b174ec0dd2a96c14b6c,"e.g. Sports Team ""The Drop""","rgb(187, 121, 21)",5273px,392px,102%,20220828
austin hip hop,https://p.scdn.co/mp3-preview/922bbc5aa1b12c486a5b1ef185a036bae6cf4536,"e.g. Quin Nfn ""Laid Back""","rgb(146, 145, 7)",8784px,1019px,100%,20220828
pinoy trap,https://p.scdn.co/mp3-preview/73cb6e5b9c06694a93049ef7eba444b5ae0b4fe5,"e.g. Kris Delano ""Alak Usok Pera""","rgb(149, 148, 10)",6322px,1037px,102%,20220828
namibian pop,https://p.scdn.co/mp3-preview/b52196fcc559cc6c5560acd9df0a616836ce4ade,"e.g. Gazza ""Chelete""","rgb(178, 135, 15)",4933px,1065px,100%,20220828
hip hop tuga,https://p.scdn.co/mp3-preview/6dfb08d85811c00b433f777e6784b9dab0371a57,"e.g. Regula ""Wake n Bake""","rgb(163, 134, 19)",10144px,1056px,102%,20220828
melanesian pop,https://p.scdn.co/mp3-preview/7c69d9686e19c856baa7752dba37c78706db1ab6,"e.g. Sharzy ""Ta' Umai""","rgb(160, 143, 7)",4375px,994px,101%,20220828
avant-garde black metal,https://p.scdn.co/mp3-preview/55f28259b513c1f403869a998f97002041832349,"e.g. Ved Buens Ende ""I Sang for the Swans""","rgb(197, 80, 124)",9574px,134px,100%,20220828
rap chileno,https://p.scdn.co/mp3-preview/2a7f9a18ae66f743fc6d6b9ea5b2afadf2c248e2,"e.g. Mente Sabia Crú ""Punto de Fuga""","rgb(173, 129, 18)",11043px,1083px,102%,20220828
west-vlaamse hip hop,https://p.scdn.co/mp3-preview/59743b0dc5ec37f0974da43f4d89d82e005ae944,"e.g. 'T Hof Van Commerce ""Kom Mor Ip""","rgb(158, 134, 8)",11392px,1087px,100%,20220828
rap latina,https://p.scdn.co/mp3-preview/e37b1984d77dd9e4b92abded2d585835dbea2b7e,"e.g. Sara Hebe ""Tuve que quemar""","rgb(172, 143, 6)",5171px,1139px,106%,20220828
liberian pop,https://p.scdn.co/mp3-preview/8c45ddab37682e3d76ec401f0b386ae4cf932c25,"e.g. DenG ""Kemah""","rgb(173, 141, 19)",5196px,1132px,100%,20220828
dub reggae,https://p.scdn.co/mp3-preview/0cceabd92964bff84b9c2b28307650e3ea41abfa,"e.g. Dubkasm ""Jah Victory""","rgb(163, 152, 102)",1388px,1198px,100%,20220828
arrochadeira,https://p.scdn.co/mp3-preview/053b03e6c2eda200096e9e998d053e5db8064a2f,"e.g. Turma da Bregadeira ""Soca Tudo""","rgb(193, 141, 9)",4758px,1313px,105%,20220828
