artist,artist_id,count,genres
American Royalty,7BSxJ94R4yVoBLeU8DHNtt,1,shimmer pop
Amnesty,13clnHtI56jEGjzqeD0Q1o,1,traditional funk
Amos Lee,0QrowybipCKUDnq5y10PD2,3,acoustic pop|indie folk|lilith|neo mellow|new americana|pop rock|stomp and holler
Anaïs Mitchell,7K5Lm5dxoEwEpOS0Fc3l3s,1,indie folk
Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,10,escape room
Anderson East,5q6z6GTth6lMbL9I8CAgby,9,funk|indie folk|modern blues|new americana
Andrew Applepie,5BYcwjrQth7em7maAt0yKE,6,vapor soul|vapor twitch
Andrew Bird,4uSftVc3FPWe6RJuMZNEe9,2,baroque pop|chamber pop|chicago indie|freak folk|indie folk|indie pop|indie rock|melancholia|stomp and holler
Andrew Duhon,68HziuR2jVOJHuVhJM4H2l,1,new orleans americana
Andrew McMahon in the Wilderness,716ZwtZBmwROBXcFmCzfdM,1,hopebeat|indie pop|indie poptimism|indietronica|modern alternative rock|modern rock|neo mellow|piano rock|pop rock|stomp and holler
André 3000,74V3dE1a51skRkdII8y2C6,1,atl hip hop|dirty south rap|southern hip hop
Andy Hull and Robert McDowell,3dI4PrTbEY460tIOcJK2KP,3,
Angie McMahon,574ERIqzZ5yZU9JhIf3Ysf,7,australian indie|australian pop
Angus & Julia Stone,4tvKz56Tr39bkhcQUTO0Xr,2,australian indie folk|indie folk|neo mellow
Animal Collective,4kwxTgCKMipBKhSnEstNKj,1,alternative dance|alternative rock|art pop|baltimore indie|chillwave|dance-punk|experimental pop|freak folk|indie pop|indie rock|indietronica|modern rock|new rave|noise pop
Animal Years,2TvIyBTuMGzgGuVLWKWJT1,1,brooklyn indie|indiecoustica|stomp and holler
Anna Wise,0N41KJ4H6bkPAm2tx7VS8C,1,alternative r&b|escape room|indie r&b|indie soul
Anthony D'Amato,1oplL2hHYq7CQykvSbd6gy,1,new jersey indie
Antony and the Johnsons,4fxp616ALtFWnXfwxnjLzW,1,art pop|baroque pop|melancholia
Aqueduct,7JMJW9JldZD548pgVkZNIc,1,one-person band|stomp pop|tulsa indie
Architecture In Helsinki,60eT7q88iLWKnuSXed1AGr,1,alternative dance|australian indie|dance-punk|indie pop
Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,2,classic soul|jazz blues|memphis soul|soul|southern soul
Aries,3hOdow4ZPmrby7Q1wfPLEy,2,emo rap|pop rap
Art School Girlfriend,3rtvvt1kuQ4luEWq8epaHD,1,vapor soul|welsh indie
Astrocolor,4OvLy4oD9IFQ8YCbbMDVRD,1,victoria bc indie
Atmosphere,1GAS0rb4L8VTPvizAx2O9J,1,alternative hip hop|conscious hip hop|minnesota hip hop|pop rap
Augustines,0p1LdP1XicX0UA5GNA2DWc,2,perth indie
Auli'i Cravalho,5mnS9jJdKQQcRSqFu5YPVe,2,disney|hollywood|movie tunes|show tunes
BLOXX,4wYzzR0lpEub1gUU8bbBTw,1,english indie rock|modern alternative rock|modern rock
BOYO,1puLsaxX9EwudKrNBUVFe4,1,indie garage rock
Bad Bad Hats,2bstapBmz5M83elQvPnwp6,22,minneapolis indie
Bad Books,0e9H8oaYYRCKFXOVv848nt,1,dreamo
Bad Rabbits,534rgZ76LDMlM7xLt9xSGR,5,boston rock|synth funk
Bad Suns,0YhUSm86okLWldQVwJkLlP,1,indie pop|indie poptimism|indietronica|la indie|modern alternative rock|modern rock|pop rock
Badly Drawn Boy,244fcyNSuyhbRlMGfMbYrO,1,britpop|chamber pop|melancholia
Bahamas,4C50EbCS11M0VbGyH3OfLt,4,canadian indie|indie folk|indie pop|new americana|stomp and holler
Bakar,3K2Srho6NCF3o9MswGR76H,1,indie r&b|uk alternative hip hop
Ball Park Music,1ououJVWgWsHWMYDLvT7sH,10,australian garage punk|australian indie|australian pop|brisbane indie
Band Of Skulls,4ddt8PPvmWrI9mJQy1VrIG,2,dance-punk|garage rock|garage rock revival|indie rock|modern alternative rock|modern blues rock|modern rock|punk blues|rock|southampton indie
Band of Horses,0OdUWJ0sBjDrqHygGUXeCF,2,indie folk|indie pop|indie rock|modern rock|stomp and holler
Banes World,5BCnLrqpwYtufR1bDWn0hG,1,bedroom pop|indie garage rock
Barbarossa,2P9E82N4cW2AmY2IXjq0C2,1,
Bas,70gP6Ry4Uo0Yx6uzPIdaiJ,1,hip hop|queens hip hop|rap|sudanese pop|underground hip hop
Bastille,7EQ0qTo7fWT7DPxmxtSYEc,1,metropopolis|modern rock|pop|pop rock
Beach Bunny,2vnB6tuQMaQpORiRdvXF9H,8,chicago indie|indie pop
Beach House,56ZTgzPBDge0OvCGgMO3OY,2,art pop|baltimore indie|chillwave|dream pop|freak folk|indie pop|indie rock|indietronica|modern dream pop
Begonia,4imuw38jkxPpTDqeMZDZD6,1,canadian indie|deep new americana|manitoba indie
Beirut,6pmxr66tMAePxzOLfjGNcX,4,albuquerque indie|baroque pop|chamber pop|indie pop|indie rock|stomp and holler
Ben Folds,55tif8708yyDQlSjh3Trdu,30,indie pop|permanent wave|piano rock|pop rock
Ben Folds Five,44gRHbEm4Uqa0ykW0rDTNk,1,alternative rock|indie pop|permanent wave|piano rock|pop rock
Ben Harper,45lorWzrKLxfKlWpV7r9CN,1,neo mellow
Ben Howard,5schNIzWdI9gJ1QRK8SBnc,31,british singer-songwriter|fingerstyle|folk-pop|indie folk|neo mellow|stomp and holler
Ben Lee,06y1hH4hu3rcTUXHJevPCf,1,australian alternative rock|australian pop|australian rock|pop rock
Benjamin Gibbard,4CvZd3qzC2HbLxAoAEBRIL,1,indie pop
Benny Sings,4gHcu2JoaXJ0mV4aNPCd7N,1,dutch pop|indie jazz|indie soul
Bernhoft,7hJnLLfzUy0oDOtNZF8wUm,4,norwegian indie|norwegian pop
Better Oblivion Community Center,3NBmfDV6Yh3hjuQUBVvYgO,1,art pop|indie pop|indie rock
Betty & Oswald,3Z8uzX8UEtNGYskkZJ9Acp,1,
