genre,preview_url,preview_track,color,top,left,font_size,run_date
rap tico,https://p.scdn.co/mp3-preview/5c4323fcf28e121c40672b86755ad0ff25fc0603,"e.g. Crypy ""Big Man""","rgb(176, 135, 34)",7817px,1110px,100%,20220218
dutch trap,https://p.scdn.co/mp3-preview/728308912691382899847c407c4ca2786d2db960,"e.g. Era ""Young Kings (feat. Jayboogz)""","rgb(153, 147, 14)",6677px,1141px,101%,20220218
afroswing,https://p.scdn.co/mp3-preview/37d6cf45c0b0cbfb6f91f91c556e52be57df3ec0,"e.g. One Acen ""Vice Versa (feat. WSTRN)""","rgb(164, 144, 9)",9352px,1091px,104%,20220218
maluku pop,https://p.scdn.co/mp3-preview/3252b1609f3c9294e19345643330fc51d4a2f7f9,"e.g. Mpes ""Nobody""","rgb(145, 148, 8)",10606px,1101px,100%,20220218
zambian hip hop,https://p.scdn.co/mp3-preview/5ee1e9d3f033219c39bad0cafda2c04ccc4a072c,"e.g. Chef 187 ""Foolish Me""","rgb(180, 137, 7)",9327px,1020px,100%,20220218
trap brasileiro,https://p.scdn.co/mp3-preview/fdfbf491dba34a30f24254c9ebe0fb6d7a31efe9,"e.g. Aka Rasta ""AIAI""","rgb(147, 148, 6)",7905px,1076px,106%,20220218
mambo chileno,https://p.scdn.co/mp3-preview/ca377929b944056a1a7f8a175758fbd05873a47c,"e.g. Adan La Amenaza ""Dele Cotele 3""","rgb(176, 144, 6)",3976px,1153px,102%,20220218
indian metal,https://p.scdn.co/mp3-preview/21c495048966472e8937de6d4ac6e4ccc0a8546b,"e.g. Kryptos ""Mach Speed Running""","rgb(221, 85, 92)",6017px,251px,100%,20220218
finnish alternative rock,https://p.scdn.co/mp3-preview/352014dfc3cafe6ccca24f267dc69ce8299efa37,"e.g. Lapko ""Money for Nothing""","rgb(195, 114, 27)",4799px,356px,101%,20220218
kizomba cabo-verdiana,https://p.scdn.co/mp3-preview/259663c6619ac1eddb56b511e3a3c0b90173bc92,"e.g. Loony Johnson ""Dam Pam""","rgb(178, 147, 15)",2736px,1030px,100%,20220218
alternative metalcore,https://p.scdn.co/mp3-preview/bd385e5469a4e2df08a00ccae96d93fe2f9d99db,"e.g. Apron ""Kaleidoskop""","rgb(213, 94, 36)",5894px,337px,100%,20220218
retro metal,https://p.scdn.co/mp3-preview/610a46213197fd6ea9a90a6c1b30240cccc6a334,"e.g. Wo Fat ""Enter the Riffian""","rgb(196, 111, 84)",9975px,280px,101%,20220218
operatic pop,https://p.scdn.co/mp3-preview/38794d540bf8580ed8b035d55b6ff95150a1d769,"e.g. Giorgia Fumanti ""Your Love (Once Upon A Time In The West)""","rgb(86, 156, 38)",17656px,297px,103%,20220218
screamo,https://p.scdn.co/mp3-preview/a3712bc10eeb109e476b2990115921f3363aea83,"e.g. From First To Last ""Emily""","rgb(213, 94, 31)",6368px,279px,107%,20220218
kabyle,https://p.scdn.co/mp3-preview/5b03bccf7bb21d7c3f6d76ddebf44ea7000b351b,"e.g. Rabah Asma ""Ines""","rgb(177, 127, 14)",7464px,830px,100%,20220218
roots americana,https://p.scdn.co/mp3-preview/3fb16b7c5006a19bc56b2c99dcc6b74e5f4f7183,"e.g. Jeremy Pinnell ""Ballad of 1892""","rgb(143, 141, 8)",10658px,665px,103%,20220218
tunantada,https://p.scdn.co/mp3-preview/9a7eadfd3b9c883a3b31b2c06ee2c275a9d94faf,"e.g. Max Castro ""Tu Me Pides Que Te Olvide""","rgb(167, 136, 9)",12600px,910px,100%,20220218
reggae,https://p.scdn.co/mp3-preview/53842fc44e2dbc84b607fd16c28f07ec36d11a42,"e.g. Wailing Souls ""Jah Give Us Life""","rgb(138, 143, 32)",6615px,1213px,106%,20220218
uk reggae,https://p.scdn.co/mp3-preview/dac163c7f801de4c86297cce87b27f78f23f26a1,"e.g. Vibronics ""R.A.S.T.A.F.A.R.I.""","rgb(153, 144, 28)",3628px,1171px,102%,20220218
proto-rap,https://p.scdn.co/mp3-preview/cc63613358efe512a119ebb2ab32c3e395bac873,"e.g. Dr. Jeckyll & Mr. Hyde ""Genius Rap - 7"" Single Version""","rgb(187, 101, 43)",4511px,1287px,100%,20220218
german shoegaze,https://p.scdn.co/mp3-preview/b44946e7a499cec0673058f0ffaef97c78f4b237,"e.g. Seasurfer ""Too Wild""","rgb(164, 126, 114)",7510px,237px,100%,20220218
cumbia salvadorena,https://p.scdn.co/mp3-preview/fd0e2e80faa51fc146ab3ee95d3fb23d1bf6c395,"e.g. Los Cocodrilos ""El Pirulino""","rgb(160, 143, 9)",7380px,1194px,101%,20220218
indonesian shoegaze,https://p.scdn.co/mp3-preview/55d045339a159b4182aeccea256c816e3f07b8bb,"e.g. Themilo ""For All the Dreams That Wings Could Fly""","rgb(185, 125, 123)",5450px,247px,100%,20220218
vietnamese pop,https://p.scdn.co/mp3-preview/1aa58b587e5c46849ef7eae26fdba735043c4ae5,"e.g. Y Lan ""Ngậm ngùi""","rgb(118, 153, 5)",12624px,527px,101%,20220218
cumbia ecuatoriana,https://p.scdn.co/mp3-preview/775e388206c64a781597e3d91ded8266b6a0b1fd,"e.g. Juanita Burbano ""Entre Que Sí y Que No""","rgb(151, 145, 22)",10819px,1063px,101%,20220218
estonian metal,https://p.scdn.co/mp3-preview/f2e45a3bc65343916f6a49f15600c223a485b627,"e.g. Metsatöll ""Vimm""","rgb(218, 92, 99)",4698px,297px,100%,20220218
chaotic black metal,https://p.scdn.co/mp3-preview/cae0a602b121a980abe1ca66e1344bf8e41a8647,"e.g. Mare Cognitum ""Heliacal Rising""","rgb(198, 66, 158)",10509px,71px,100%,20220218
rap siciliano,https://p.scdn.co/mp3-preview/7581b4ee553058483b67874ead27e3ede1b1660f,"e.g. L'Elfo ""Disturbato""","rgb(175, 135, 7)",8067px,960px,101%,20220218
pixie,https://p.scdn.co/mp3-preview/61526f6336d809f651a10ceb98d34c8fd44ae7a9,"e.g. Tonight Alive ""Little Lion Man""","rgb(198, 116, 9)",3895px,373px,105%,20220218
flamenco,https://p.scdn.co/mp3-preview/dfb3f0ec6bdd233f2b5ac3754ad92b37c2006915,"e.g. Carmen Linares ""Zorongo Gitano - Tangos""","rgb(113, 141, 54)",16531px,908px,102%,20220218
trecento,https://p.scdn.co/mp3-preview/da6bc670cd930b7bbc175b7b3e6adef326f6e704,"e.g. Matteo da Perugia ""Ave sancta mundi salus - Agnus dei""","rgb(25, 175, 63)",20219px,255px,100%,20220218
bebop,https://p.scdn.co/mp3-preview/032d4e192f0a54baa35872e4624f972a2317010a,"e.g. Bud Powell ""Polka Dots And Moonbeams - 1994 Remaster""","rgb(86, 145, 109)",17629px,926px,104%,20220218
romanian classical piano,https://p.scdn.co/mp3-preview/b2aa017c099715fa6872d97b894099870883d20d,"e.g. Franz Schubert ""4 Impromptus, Op.90, D.899: No.4 in A Flat Major: Allegretto""","rgb(34, 166, 216)",20601px,554px,100%,20220218
oeteldonk,https://p.scdn.co/mp3-preview/6c3a55c54845ab86281580e2822229b545975068,"e.g. Foe Jong Bende ""Lekker Lôpe""","rgb(150, 107, 12)",13610px,884px,100%,20220218
mexican hip hop,https://p.scdn.co/mp3-preview/6b79bc22d5567ef536879d1aeccdb5358946495a,"e.g. Faruz Feet ""Sirena""","rgb(168, 132, 6)",6368px,1119px,109%,20220218
balochi folk,https://p.scdn.co/mp3-preview/9bfbab60567f78458fdfa45db12532287530bc53,"e.g. Golbang ""Nazina Baluchana (Proud Baluchis)""","rgb(188, 115, 22)",10696px,932px,100%,20220218
massage,https://p.scdn.co/mp3-preview/760ba629cff34e2b62284099267cb2d13541e0be,"e.g. Massage Essence ""Calm Landscape""","rgb(98, 36, 205)",17240px,61px,100%,20220218
coco,https://p.scdn.co/mp3-preview/919d0b9a3f5f1cf65cd83ee3981e7ab9591dfc2c,"e.g. Lia de Itamaracá ""Meu São Jorge""","rgb(176, 125, 5)",11151px,1037px,100%,20220218
bandinhas,https://p.scdn.co/mp3-preview/18ba571f85a26b8faebea4df532784a98ffd645d,"e.g. Os Atuais ""Do Outro Lado da Cidade""","rgb(209, 122, 5)",5059px,938px,101%,20220218
uptempo hardcore,https://p.scdn.co/mp3-preview/aedf0b9b5a66b5def4a8b0bb1ce806f3112d30a2,"e.g. Angernoizer ""Execute""","rgb(241, 85, 47)",2490px,512px,102%,20220218
kizomba antigas,https://p.scdn.co/mp3-preview/7718bf6a6465577929403333b5426cc06a0b072e,"e.g. Don Kikas ""Sexta-Feira""","rgb(183, 141, 28)",2905px,1056px,100%,20220218
azontobeats,https://p.scdn.co/mp3-preview/833afe9d2546f09b7aa5fc91550456b44e42c7d3,"e.g. Serge Beynaud ""Lifuende""","rgb(191, 132, 6)",7604px,1007px,104%,20220218
kentucky mountain folk,https://p.scdn.co/mp3-preview/f88780ead57d6ed00b0a0452cb7be71e851d147e,"e.g. Pete Steele ""Last Payday at Coal Creek""","rgb(79, 154, 55)",18459px,908px,100%,20220218
