genre,preview_url,preview_track,color,top,left,font_size,run_date
rap tico,https://p.scdn.co/mp3-preview/3270b125d66adda72c5b43b27db07a69c35ef0dc,"e.g. Soultwo ""Jesús""","rgb(176, 135, 34)",9206px,1107px,100%,20220603
viola,https://p.scdn.co/mp3-preview/882d73bf81c1822e8642a1465fc11aa5f4b2d285,"e.g. Vincenzo Bellini ""Norma, Act I, Scene 1: Air de Norma ""Casta Diva"" (Arr. for Piano & Viola)""","rgb(36, 163, 139)",20651px,328px,100%,20220603
folk rock italiano,https://p.scdn.co/mp3-preview/4925c3ff7370dc4b326bb674b9540f6519f5a67d,"e.g. Bandabardò ""Se mi rilasso collasso""","rgb(132, 138, 11)",13503px,723px,102%,20220603
piano blues,https://p.scdn.co/mp3-preview/ad24245468823db16e794a31d2c1c5233cd370fe,"e.g. Champion Jack Dupree ""Junker's Blues""","rgb(102, 136, 45)",17101px,916px,101%,20220603
kompa chretien,https://p.scdn.co/mp3-preview/66136033a0b80cd061df63413cce1d2f02d9f5cb,"e.g. DJ H509 ""Tu es Yahweh""","rgb(166, 140, 12)",8074px,728px,100%,20220603
cha-cha-cha,https://p.scdn.co/mp3-preview/ff2691fb559f585f7f2da1f7a8834c58cdd48dc9,"e.g. Orquesta América ""Rico Vacilón""","rgb(127, 133, 62)",15662px,965px,101%,20220603
blues,https://p.scdn.co/mp3-preview/d9ab1922a03e5621eb6a62d98e8c109422c735ee,"e.g. Junior Wells ""She's A Sweet One""","rgb(105, 134, 32)",16964px,1009px,104%,20220603
dutch musical,https://p.scdn.co/mp3-preview/2ffcf946c2a347ef9d2a5debec69709334462ac3,"e.g. Cast Mary Poppins ""Supercalifragilisticexpialidasties""","rgb(117, 141, 19)",14451px,546px,100%,20220603
canadian blues,https://p.scdn.co/mp3-preview/f6ee8eb903eb329bc2d5946687195c9ffc0ef63e,"e.g. Colin James ""Three Hours Past Midnight""","rgb(151, 127, 14)",12094px,731px,100%,20220603
zim gospel,https://p.scdn.co/mp3-preview/a337c2da1b5008998c6b079316e19473a5ff490f,"e.g. Charles Charamba ""Ndinovimba Nemi""","rgb(158, 136, 4)",9898px,655px,100%,20220603
