genre,preview_url,preview_track,color,top,left,font_size,run_date
rap tico,https://p.scdn.co/mp3-preview/f3909f59d6277e75a583cd16a56dbc1786a290ca,"e.g. Fufu ""Que Se Vengan""","rgb(177, 135, 34)",9183px,1110px,100%,20220126
tex-mex,https://p.scdn.co/mp3-preview/f7c889494938290c0c4836ad9c6fb7474398f8bb,"e.g. Zamorales ""Y Ya Despues""","rgb(166, 141, 6)",10347px,1055px,102%,20220126
afroswing,https://p.scdn.co/mp3-preview/79c2c194926a5a4eff309d89cd47d9e9f010b731,"e.g. Kojo Funds ""I Like (feat. WizKid)""","rgb(165, 144, 9)",9170px,1090px,104%,20220126
dutch trap,https://p.scdn.co/mp3-preview/728308912691382899847c407c4ca2786d2db960,"e.g. Era ""Young Kings (feat. Jayboogz)""","rgb(153, 147, 15)",6747px,1138px,101%,20220126
trap brasileiro,https://p.scdn.co/mp3-preview/fdfbf491dba34a30f24254c9ebe0fb6d7a31efe9,"e.g. Aka Rasta ""AIAI""","rgb(147, 148, 6)",8054px,1075px,106%,20220126
deep folk metal,https://p.scdn.co/mp3-preview/c30aab5e868cd1dc7e3059fa94ecd86e91c91d11,"e.g. Vanir ""Sons of the North""","rgb(209, 93, 78)",6623px,210px,100%,20220126
rap belge,https://p.scdn.co/mp3-preview/7d590a7cabf96ec339aa7214ee24a396d558cae9,"e.g. Frenetik ""Ragnarok""","rgb(153, 148, 14)",7044px,1081px,103%,20220126
indian metal,https://p.scdn.co/mp3-preview/21c495048966472e8937de6d4ac6e4ccc0a8546b,"e.g. Kryptos ""Mach Speed Running""","rgb(221, 85, 92)",6046px,248px,100%,20220126
zambian hip hop,https://p.scdn.co/mp3-preview/5ee1e9d3f033219c39bad0cafda2c04ccc4a072c,"e.g. Chef 187 ""Foolish Me""","rgb(180, 137, 7)",9408px,1019px,100%,20220126
rock abc paulista,https://p.scdn.co/mp3-preview/4048f8cba007c0beefde8ad2a7cb4c8623a34420,"e.g. Garage Fuzz ""Elephant""","rgb(215, 92, 48)",8530px,317px,100%,20220126
kizomba cabo-verdiana,https://p.scdn.co/mp3-preview/632240344af0d3cca1ccdae6a18a0b141b6b8cdf,"e.g. Tó Semedo ""Não Tem Que Encantar""","rgb(179, 147, 15)",2705px,1027px,100%,20220126
finnish alternative rock,https://p.scdn.co/mp3-preview/7c7c0915856f56ec0404d1770dd111231c8d0f46,"e.g. CMX ""Vapaus Johtaa Kansaa""","rgb(195, 114, 27)",4731px,353px,101%,20220126
rap inde,https://p.scdn.co/mp3-preview/e3e0f57a7b237f7b2707394b95b10067ca6d2d53,"e.g. Swift Guad ""Antisocial""","rgb(181, 125, 13)",10088px,1042px,102%,20220126
kabyle,https://p.scdn.co/mp3-preview/5b03bccf7bb21d7c3f6d76ddebf44ea7000b351b,"e.g. Rabah Asma ""Ines""","rgb(177, 127, 14)",7523px,828px,100%,20220126
trecento,https://p.scdn.co/mp3-preview/da6bc670cd930b7bbc175b7b3e6adef326f6e704,"e.g. Matteo da Perugia ""Ave sancta mundi salus - Agnus dei""","rgb(25, 175, 63)",20121px,254px,100%,20220126
reggae,https://p.scdn.co/mp3-preview/53842fc44e2dbc84b607fd16c28f07ec36d11a42,"e.g. Wailing Souls ""Jah Give Us Life""","rgb(138, 143, 32)",6723px,1211px,106%,20220126
uk reggae,https://p.scdn.co/mp3-preview/76de1ac6b52bca6d42c6ec38ed8f68d56e29851a,"e.g. Mungo's Hi Fi ""Jump Up Quickly""","rgb(153, 144, 28)",3624px,1170px,102%,20220126
south african deep house,https://p.scdn.co/mp3-preview/beb05c77059a80bb0bc1d918b3a3b63c98223181,"e.g. Sculptured Music ""OverFlow""","rgb(152, 151, 152)",971px,1291px,100%,20220126
ghanaian pop,https://p.scdn.co/mp3-preview/619912e8be51fb61c24f4f968a37de1e1a91e02d,"e.g. Joey B ""COLD""","rgb(175, 140, 11)",7180px,1119px,102%,20220126
cumbia salvadorena,https://p.scdn.co/mp3-preview/fd0e2e80faa51fc146ab3ee95d3fb23d1bf6c395,"e.g. Los Cocodrilos ""El Pirulino""","rgb(160, 143, 9)",7435px,1193px,101%,20220126
oeteldonk,https://p.scdn.co/mp3-preview/3ab5c8f3471d56bbc12b6502e8847417584e7b33,"e.g. Wim Kersten ""Bloemetjes Gordijn""","rgb(150, 107, 12)",13535px,883px,100%,20220126
german shoegaze,https://p.scdn.co/mp3-preview/b44946e7a499cec0673058f0ffaef97c78f4b237,"e.g. Seasurfer ""Too Wild""","rgb(164, 127, 113)",7510px,234px,100%,20220126
indonesian shoegaze,https://p.scdn.co/mp3-preview/55d045339a159b4182aeccea256c816e3f07b8bb,"e.g. Themilo ""For All the Dreams That Wings Could Fly""","rgb(185, 125, 123)",5465px,245px,100%,20220126
maluku pop,https://p.scdn.co/mp3-preview/0b086ef55c35d53e65ad8e7ace105a3e1552ac7f,"e.g. Mpes ""Niet Meer Alleen""","rgb(145, 148, 8)",10460px,1101px,100%,20220126
estonian metal,https://p.scdn.co/mp3-preview/f2e45a3bc65343916f6a49f15600c223a485b627,"e.g. Metsatöll ""Vimm""","rgb(218, 92, 99)",4691px,294px,100%,20220126
