genre,preview_url,preview_track,color,top,left,font_size,run_date
rap tico,https://p.scdn.co/mp3-preview/fd7af8a67a1b83581675eb3d6cb974e99d41110b,"e.g. Fufu ""N1TRO""","rgb(176, 135, 34)",9065px,1109px,100%,20220422
piano blues,https://p.scdn.co/mp3-preview/ad24245468823db16e794a31d2c1c5233cd370fe,"e.g. Champion Jack Dupree ""Junker's Blues""","rgb(102, 136, 45)",17017px,918px,101%,20220422
indonesian folk,https://p.scdn.co/mp3-preview/5b4b4d7c4e0fe4f2bc321bd79d6aa4717e3febcf,"e.g. Mr. Sonjaya ""Penjaringan""","rgb(106, 157, 25)",13551px,609px,102%,20220422
kompa chretien,https://p.scdn.co/mp3-preview/66136033a0b80cd061df63413cce1d2f02d9f5cb,"e.g. DJ H509 ""Tu es Yahweh""","rgb(166, 140, 12)",8052px,730px,100%,20220422
folk rock italiano,https://p.scdn.co/mp3-preview/4925c3ff7370dc4b326bb674b9540f6519f5a67d,"e.g. Bandabardò ""Se mi rilasso collasso""","rgb(132, 138, 11)",13551px,725px,102%,20220422
zim gospel,https://p.scdn.co/mp3-preview/593434f0033dc085a2f6f2fe10f434d8e216610a,"e.g. Charles Charamba ""Kana vanhu vangu""","rgb(159, 136, 4)",9915px,662px,100%,20220422
canadian blues,https://p.scdn.co/mp3-preview/f6ee8eb903eb329bc2d5946687195c9ffc0ef63e,"e.g. Colin James ""Three Hours Past Midnight""","rgb(151, 127, 14)",12009px,732px,100%,20220422
dutch musical,https://p.scdn.co/mp3-preview/2ffcf946c2a347ef9d2a5debec69709334462ac3,"e.g. Cast Mary Poppins ""Supercalifragilisticexpialidasties""","rgb(117, 141, 19)",14378px,548px,100%,20220422
blues,https://p.scdn.co/mp3-preview/d9ab1922a03e5621eb6a62d98e8c109422c735ee,"e.g. Junior Wells ""She's A Sweet One""","rgb(105, 134, 33)",16895px,1011px,104%,20220422
cha-cha-cha,https://p.scdn.co/mp3-preview/769d32602cc6284be347eb302379d9798616acf9,"e.g. Orquesta América ""Me Lo Dijo Adela - Remasterizado""","rgb(127, 133, 62)",15599px,967px,101%,20220422
singaporean punk,https://p.scdn.co/mp3-preview/0651813deb34df7e1e13ded80e89d2040d055acb,"e.g. Forests ""Kawaii Hawaii""","rgb(219, 85, 47)",6626px,301px,100%,20220422
