genre,preview_url,preview_track,color,top,left,font_size,run_date
rap tico,https://p.scdn.co/mp3-preview/5c4323fcf28e121c40672b86755ad0ff25fc0603,"e.g. Crypy ""Big Man""","rgb(177, 135, 34)",7992px,1110px,100%,20220314
japanese classical piano,https://p.scdn.co/mp3-preview/eda384587746113834662c6b850b81eb6343e43b,"e.g. Frédéric Chopin ""Chopin: 24 Preludes, Op. 28: No. 17 in A-Flat Major""","rgb(37, 159, 200)",19812px,529px,100%,20220314
kompa chretien,https://p.scdn.co/mp3-preview/bab327f457f5a7aa40e9c89106d7b09cac7dccc4,"e.g. S.B.M. ""Jezi Men Mwen""","rgb(166, 140, 12)",7908px,731px,100%,20220314
indonesian folk,https://p.scdn.co/mp3-preview/76ce23c47e465a722d88aa8505666a967ea889f9,"e.g. Float ""Pulang""","rgb(106, 157, 25)",13601px,613px,102%,20220314
piano blues,https://p.scdn.co/mp3-preview/fd161f29a12adc40d69671ad6ff05a20135dab40,"e.g. Champion Jack Dupree ""Junker's Blues""","rgb(102, 136, 45)",16767px,920px,101%,20220314
folk rock italiano,https://p.scdn.co/mp3-preview/8cca442cdc2252e0fd757122e82687225ba601ad,"e.g. Bandabardò ""Se mi rilasso collasso""","rgb(134, 138, 10)",13159px,721px,102%,20220314
canadian blues,https://p.scdn.co/mp3-preview/73f3709118c79dc6823ba1a80a9ac0d947627515,"e.g. Colin James ""Three Hours Past Midnight""","rgb(151, 127, 14)",11970px,736px,100%,20220314
zim gospel,https://p.scdn.co/mp3-preview/85590c196a74dce04dde58a3eec58008bdd1b326,"e.g. Charles Charamba ""Buruka!""","rgb(159, 136, 4)",9919px,665px,100%,20220314
doo-wop,https://p.scdn.co/mp3-preview/ed8f85bc7964599311145e9eb1088aaee46bf7db,"e.g. The Five Satins ""In the Still of the Night""","rgb(117, 131, 6)",14886px,687px,103%,20220314
cha-cha-cha,https://p.scdn.co/mp3-preview/99d613154f036a571fb8fb0bdb7b4af80f04cb4d,"e.g. Orquesta América ""La Basura""","rgb(128, 133, 62)",15381px,969px,101%,20220314
dutch musical,https://p.scdn.co/mp3-preview/1c9e38c243530c813e8c5aab94000ad9612951a9,"e.g. Cast Mary Poppins ""Supercalifragilisticexpialidasties""","rgb(117, 141, 19)",14266px,552px,100%,20220314
cante alentejano,https://p.scdn.co/mp3-preview/8c809769e53463235a5fcb1a8a6d56e41fba903c,"e.g. Rancho De Cantadores De Aldeia Nova De São Bento ""Trago Alentejo Na Voz""","rgb(58, 156, 94)",18838px,629px,100%,20220314
jam band,https://p.scdn.co/mp3-preview/b260d3587e766c938474f062565b3dd1b0c000bb,"e.g. moe. ""Silver Sun""","rgb(155, 126, 59)",12121px,702px,104%,20220314
musica calabrese,https://p.scdn.co/mp3-preview/ef8087c8f5b49b8cc0d27b9bbf35eb6310e4e8fe,"e.g. I Calabruzi ""Fior Di Cucuzza""","rgb(154, 139, 10)",8727px,769px,100%,20220314
singaporean punk,https://p.scdn.co/mp3-preview/b68453b25116cce4c1d508847856e4cd158e0a29,"e.g. Forests ""Kawaii Hawaii""","rgb(219, 85, 47)",6696px,308px,100%,20220314
muzica usoara,https://p.scdn.co/mp3-preview/fb114541c87e93d58e7e0bdb77c75fe6132ff99e,"e.g. Gică Petrescu ""Uite-Așa Aș Vrea Să Mor""","rgb(128, 143, 7)",13416px,626px,100%,20220314
st petersburg fl indie,https://p.scdn.co/mp3-preview/fa23e128829e72eeca64f8c35dc6dc409e202b7a,"e.g. Polyenso ""Moona Festival""","rgb(158, 131, 41)",10219px,451px,100%,20220314
sunshine pop,https://p.scdn.co/mp3-preview/1e016f28a51ad3297df56605c673774c80160d30,"e.g. The Cyrkle ""Red Rubber Ball""","rgb(126, 132, 8)",13970px,665px,103%,20220314
rwandan gospel,https://p.scdn.co/mp3-preview/032f1ac0a21b4341793bcdcf6b0454658bb5ad32,"e.g. Aline Gahongayire ""Ndanyuzwe""","rgb(141, 143, 2)",9196px,657px,100%,20220314
folk rock,https://p.scdn.co/mp3-preview/a0cc83ddc1b9c032f5e97546651aff9ca8b7e84a,"e.g. Buffalo Springfield ""For What It's Worth""","rgb(125, 135, 18)",13872px,696px,114%,20220314
vancouver metal,https://p.scdn.co/mp3-preview/f41a45d75fe981a1e9096b6450e24e59bb36e9ce,"e.g. Archspire ""Drone Corpse Aviator""","rgb(208, 87, 90)",7609px,251px,100%,20220314
fado instrumental,https://p.scdn.co/mp3-preview/3cb6a481ef78f6cee3076820685925f59f22ca68,"e.g. Custódio Castelo ""In agradecimento Miss Morna""","rgb(105, 162, 143)",15985px,765px,100%,20220314
