genre,preview_url,preview_track,color,top,left,font_size,run_date
pop,https://p.scdn.co/mp3-preview/1bd8b56f5623c6eee74601848b0abdca40688743,"e.g. Camila Cabello ""Bam Bam (feat. Ed Sheeran)""","rgb(167, 139, 9)",5335px,805px,160%,20230323
dance pop,https://p.scdn.co/mp3-preview/d91c20ec61866c6189684cba9b910f3795dd5690,"e.g. Jessie J ""Bang Bang""","rgb(184, 132, 17)",3389px,852px,142%,20230323
rap,https://p.scdn.co/mp3-preview/f8d5e3c37feb980e60cac2df4256250d4b5cf5b5,"e.g. French Montana ""Unforgettable""","rgb(169, 132, 4)",5448px,1094px,140%,20230323
rock,https://p.scdn.co/mp3-preview/02716794fa9bf3d9263d2ddd32389bbb9cede48b,"e.g. The Who ""Baba O'Riley""","rgb(177, 112, 29)",10768px,500px,136%,20230323
hip hop,https://p.scdn.co/mp3-preview/73a29edeace09e859acfd831d3adfbe22399fb53,"e.g. Naughty By Nature ""Hip Hop Hooray""","rgb(172, 125, 11)",6451px,1083px,132%,20230323
urbano latino,https://p.scdn.co/mp3-preview/ef5722ef78b29d0335bd5fbff2c7cb728616d6b1,"e.g. Tainy ""Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)""","rgb(191, 143, 2)",3236px,1171px,131%,20230323
pop rap,https://p.scdn.co/mp3-preview/c287b4ba7979f74719a7bfd28ca59735b6370b5e,"e.g. Soulja Boy ""Kiss Me Thru The Phone""","rgb(177, 133, 7)",4615px,1014px,127%,20230323
edm,https://p.scdn.co/mp3-preview/3a5f069c4ebc35e487c3b4bd433f3e1756a2678e,"e.g. Dillon Francis ""Don’t Let Me Let Go (with ILLENIUM & EVAN GIIA)""","rgb(200, 129, 63)",2504px,796px,126%,20230323
reggaeton,https://p.scdn.co/mp3-preview/338ed053ce26ccc3313b00b5e6153e60ffd2eb19,"e.g. Yandel ""Yandel 150""","rgb(194, 141, 3)",2913px,1172px,126%,20230323
latin pop,https://p.scdn.co/mp3-preview/a26b703673f330dcb6ff491331b462c1eea34886,"e.g. Reyli Barba ""Amor del Bueno""","rgb(170, 139, 3)",6639px,818px,125%,20230323
trap,https://p.scdn.co/mp3-preview/862ad595b0c10e822e3cb283e459060919c8ca52,"e.g. Waka Flocka Flame ""No Hands (feat. Roscoe Dash & Wale)""","rgb(164, 141, 2)",5186px,1079px,124%,20230323
modern rock,https://p.scdn.co/mp3-preview/6082516f3c05520cc2cf8cecd17e4ce8667c459e,"e.g. GROUPLOVE ""Tongue Tied""","rgb(188, 119, 28)",5734px,453px,124%,20230323
classic rock,https://p.scdn.co/mp3-preview/6291f55a2e6ef6e126bb2c25cc4b62288ba804e0,"e.g. Steve Miller Band ""The Joker""","rgb(152, 121, 25)",12387px,685px,123%,20230323
r&b,https://p.scdn.co/mp3-preview/7019551765a068200d24b7899478d1d5bd81eb3a,"e.g. Keyshia Cole ""Love""","rgb(154, 139, 6)",5993px,928px,123%,20230323
