genre,preview_url,preview_track,color,top,left,font_size,run_date
classic praise,https://p.scdn.co/mp3-preview/f8843fae8ead715d152cc2485de37933f6585214,"e.g. Joseph Garlington ""My Life Is In You, Lord""","rgb(108, 148, 31)",12457px,471px,101%,20220820
pipa,https://p.scdn.co/mp3-preview/e2898b4938bc835b3161543258c39b7b9ab4d128,"e.g. Liu Dehai ""Light Yellow Willow""","rgb(55, 166, 175)",19341px,863px,100%,20220820
judaica,https://p.scdn.co/mp3-preview/7d69c1bd1a818999c26bdacd65612d66448398e0,"e.g. Yosef Karduner ""V'afilu B'hastara""","rgb(80, 145, 22)",14755px,707px,100%,20220820
musica amapaense,https://p.scdn.co/mp3-preview/85ec97257d1e691bb05f300f382072d59d8d75a1,"e.g. Patrícia Bastos ""Dançando com Oxum""","rgb(160, 136, 11)",9230px,769px,100%,20220820
viola,https://p.scdn.co/mp3-preview/882d73bf81c1822e8642a1465fc11aa5f4b2d285,"e.g. Vincenzo Bellini ""Norma, Act I, Scene 1: Air de Norma ""Casta Diva"" (Arr. for Piano & Viola)""","rgb(36, 163, 139)",20735px,328px,100%,20220820
kompa chretien,https://p.scdn.co/mp3-preview/66136033a0b80cd061df63413cce1d2f02d9f5cb,"e.g. DJ H509 ""Tu es Yahweh""","rgb(167, 140, 12)",7803px,728px,100%,20220820
piano blues,https://p.scdn.co/mp3-preview/ad24245468823db16e794a31d2c1c5233cd370fe,"e.g. Champion Jack Dupree ""Junker's Blues""","rgb(102, 136, 45)",17155px,916px,101%,20220820
folk rock italiano,https://p.scdn.co/mp3-preview/4925c3ff7370dc4b326bb674b9540f6519f5a67d,"e.g. Bandabardò ""Se mi rilasso collasso""","rgb(133, 137, 10)",13693px,721px,102%,20220820
zim gospel,https://p.scdn.co/mp3-preview/a7ebf08c08348d4331e63b7aa14ee4d0691ed9f6,"e.g. Charles Charamba ""Kana Vanhu Vangu""","rgb(158, 136, 4)",9996px,651px,100%,20220820
dutch musical,https://p.scdn.co/mp3-preview/2ffcf946c2a347ef9d2a5debec69709334462ac3,"e.g. Cast Mary Poppins ""Supercalifragilisticexpialidasties""","rgb(118, 141, 19)",14309px,548px,100%,20220820
canadian celtic,https://p.scdn.co/mp3-preview/2d353f9047f49b742c60fd922b1181bcb5abb429,"e.g. Rawlins Cross ""Reel 'n' Roll""","rgb(147, 138, 24)",13050px,532px,101%,20220820
