genre,preview_url,preview_track,color,top,left,font_size,run_date
lovers rock,https://p.scdn.co/mp3-preview/8877bb6476ea39c04ef9102c8a883ac750129cb7,"e.g. Bitty McLean ""Walk Away From Love""","rgb(142, 145, 14)",6375px,1179px,103%,20211227
school ensemble,https://p.scdn.co/mp3-preview/e412d2ab8ae7ad5b83f87f49afbb7c9c513f1749,"e.g. Randall D. Standridge ""Imaginarium (Live)""","rgb(96, 131, 131)",15708px,532px,100%,20211227
folk rock italiano,https://p.scdn.co/mp3-preview/8cca442cdc2252e0fd757122e82687225ba601ad,"e.g. Bandabardò ""Se mi rilasso collasso""","rgb(134, 138, 10)",13137px,718px,102%,20211227
piano blues,https://p.scdn.co/mp3-preview/fd161f29a12adc40d69671ad6ff05a20135dab40,"e.g. Champion Jack Dupree ""Junker's Blues""","rgb(102, 136, 45)",16555px,916px,101%,20211227
canadian blues,https://p.scdn.co/mp3-preview/73f3709118c79dc6823ba1a80a9ac0d947627515,"e.g. Colin James ""Three Hours Past Midnight""","rgb(151, 127, 14)",11645px,731px,100%,20211227
jazz composition,https://p.scdn.co/mp3-preview/169575d13b51892c93e0a08f365e89a082877a0f,"e.g. Peter Calandra ""Back Alley Blues""","rgb(90, 154, 148)",15496px,781px,100%,20211227
cha-cha-cha,https://p.scdn.co/mp3-preview/99d613154f036a571fb8fb0bdb7b4af80f04cb4d,"e.g. Orquesta América ""La Basura""","rgb(127, 133, 63)",15178px,964px,101%,20211227
doo-wop,https://p.scdn.co/mp3-preview/ed8f85bc7964599311145e9eb1088aaee46bf7db,"e.g. The Five Satins ""In the Still of the Night""","rgb(117, 132, 5)",14693px,685px,103%,20211227
cante alentejano,https://p.scdn.co/mp3-preview/8c809769e53463235a5fcb1a8a6d56e41fba903c,"e.g. Rancho De Cantadores De Aldeia Nova De São Bento ""Trago Alentejo Na Voz""","rgb(58, 156, 94)",18571px,623px,100%,20211227
zim gospel,https://p.scdn.co/mp3-preview/08a333f16f44e30ee943dbd6bb6081c02e6e4fe5,"e.g. Charles Charamba ""Ndinokakama""","rgb(158, 136, 4)",9731px,655px,100%,20211227
dutch musical,https://p.scdn.co/mp3-preview/e706cf60e17f222c0ca0316690378db8db997b84,"e.g. Soldaat van Oranje Cast ""Als Wij Niets Doen""","rgb(118, 140, 20)",14158px,546px,100%,20211227
candombe,https://p.scdn.co/mp3-preview/5a6b3342a2ece487153c18488c9d0511674daba3,"e.g. Jorginho Gularte ""Tambor, Tambora""","rgb(158, 129, 38)",10535px,969px,100%,20211227
jam band,https://p.scdn.co/mp3-preview/b260d3587e766c938474f062565b3dd1b0c000bb,"e.g. moe. ""Silver Sun""","rgb(155, 126, 59)",11778px,696px,104%,20211227
muzica usoara,https://p.scdn.co/mp3-preview/fb114541c87e93d58e7e0bdb77c75fe6132ff99e,"e.g. Gică Petrescu ""Uite-Așa Aș Vrea Să Mor""","rgb(128, 143, 7)",12901px,620px,100%,20211227
manitoba indie,https://p.scdn.co/mp3-preview/577ca59f002d78a8cc43533ade5c910bdf7dd540,"e.g. Begonia ""Juniper""","rgb(136, 141, 28)",10412px,548px,100%,20211227
rwandan gospel,https://p.scdn.co/mp3-preview/bc4f7fc01c8ee96d4a939b3e355948bf8d79d3fe,"e.g. Apollinaire Habonimana ""Ndacafis'impamvu""","rgb(142, 143, 2)",8697px,668px,100%,20211227
bogor indie,https://p.scdn.co/mp3-preview/77c4b0d32212079ba6045fcfcb1115d52e6a3ba5,"e.g. Still Virgin ""Dear Ndut""","rgb(191, 120, 46)",5569px,409px,100%,20211227
fado instrumental,https://p.scdn.co/mp3-preview/3cb6a481ef78f6cee3076820685925f59f22ca68,"e.g. Custódio Castelo ""In agradecimento Miss Morna""","rgb(105, 162, 143)",15747px,760px,100%,20211227
musica calabrese,https://p.scdn.co/mp3-preview/ef8087c8f5b49b8cc0d27b9bbf35eb6310e4e8fe,"e.g. I Calabruzi ""Fior Di Cucuzza""","rgb(154, 139, 10)",8783px,764px,100%,20211227
musica andina chilena,https://p.scdn.co/mp3-preview/8987df13e244c6871a8a3c9719d0dc1d2e54f5fa,"e.g. Illapu ""Sobreviviendo""","rgb(125, 135, 37)",14196px,799px,101%,20211227
blues latinoamericano,https://p.scdn.co/mp3-preview/c4ae126b4a4fe08867a125a663472f17bc21b414,"e.g. Pappo's Blues ""Ruta 66""","rgb(170, 125, 25)",10065px,648px,100%,20211227
taiwan indie,https://p.scdn.co/mp3-preview/b92c4668881b4a57553b3f2afdf33b43ef6edcfa,"e.g. Sorry Youth ""暗流""","rgb(150, 136, 34)",8403px,518px,102%,20211227
sunshine pop,https://p.scdn.co/mp3-preview/1e016f28a51ad3297df56605c673774c80160d30,"e.g. The Cyrkle ""Red Rubber Ball""","rgb(126, 132, 8)",13617px,664px,103%,20211227
classic pakistani pop,https://p.scdn.co/mp3-preview/d852b2d08b04b55e1415d13748ff6501a9ea4cc3,"e.g. Noor Jehan ""Mujhse Pehli Si Mohabbat""","rgb(134, 134, 33)",14297px,736px,103%,20211227
australian talent show,https://p.scdn.co/mp3-preview/12e140d83b69fee56cdb1542237b5c7750a485bc,"e.g. Jack Vidgen ""I Am King I Am Queen""","rgb(164, 134, 5)",7493px,615px,102%,20211227
west virginia indie,https://p.scdn.co/mp3-preview/2e4b0c1c91df1a454a8615f0afad71b15984efdf,"e.g. John R. Miller ""Shenandoah Shakedown""","rgb(182, 116, 45)",10439px,407px,100%,20211227
syro-aramaic chant,https://p.scdn.co/mp3-preview/96014ca3f8b558c26c9690315ed138f28f25b382,"e.g. Chaldean Assyrian Syriac Aramaic ""Ave Maria in Chaldean""","rgb(53, 172, 25)",18212px,362px,100%,20211227
dutch r&b,https://p.scdn.co/mp3-preview/5510d973d40db8c020cd92b691f0c0639cef592d,"e.g. Full Crate ""A Storm on a Summers Day""","rgb(139, 148, 14)",7580px,946px,101%,20211227
musica popular paraense,https://p.scdn.co/mp3-preview/b48e5389c6ffed54e35d70e087f44265c7050936,"e.g. Arraial Do Pavulagem ""Cachoeira Prateada""","rgb(163, 139, 22)",8556px,898px,101%,20211227
italian metal,https://p.scdn.co/mp3-preview/63258e2350ad09398575457847f319816b499be2,"e.g. Secret Sphere ""Lie to Me - Studio Bonus Track""","rgb(183, 24, 121)",9504px,158px,101%,20211227
pop costarricense,https://p.scdn.co/mp3-preview/6bfc14c41e44dd86db90bea159658fc17146dfbf,"e.g. GIMARIO ""Pensándote - Remix""","rgb(173, 141, 11)",8095px,1025px,100%,20211227
brazilian rockabilly,https://p.scdn.co/mp3-preview/8b850dd5604568b89cc106cc3e67b37dc8d18ac9,"e.g. Os Catalepticos ""Cannibal Holocaust""","rgb(192, 110, 32)",9409px,543px,100%,20211227
modern bollywood,https://p.scdn.co/mp3-preview/033c367317d7eebdf997416a932030c5646697b6,"e.g. Javed Ali ""Guzarish""","rgb(153, 131, 12)",10925px,755px,112%,20211227
swamp pop,https://p.scdn.co/mp3-preview/bf731d3577135b0b7f6bc92327118ebfcb688dd8,"e.g. Johnnie Allan ""Promised Land""","rgb(133, 134, 16)",12074px,844px,100%,20211227
deep downtempo fusion,https://p.scdn.co/mp3-preview/b230ce7216f572d2b38dbac6d490e3c19e3edfeb,"e.g. Cinema 33 ""Solar Sail""","rgb(108, 156, 165)",13195px,369px,100%,20211227
chinese punk,https://p.scdn.co/mp3-preview/cb7e824b0e487255a973d60047c30357538e49cf,"e.g. Brain Failure ""Coming Down To Beijing""","rgb(212, 95, 28)",6248px,423px,100%,20211227
nepali pop,https://p.scdn.co/mp3-preview/e835b4356e501c1218d7fc7c3ffb01761f857bfc,"e.g. Kali Prasad Baskota ""Jaalma""","rgb(151, 142, 10)",9868px,688px,101%,20211227
chamame brasilero,https://p.scdn.co/mp3-preview/edcb4f70e77585c37c7ef58a98331bafcb3322fa,"e.g. Canto Da Terra ""Bailanta Do Tiburcio""","rgb(158, 138, 23)",9335px,908px,100%,20211227
jazz guitar trio,https://p.scdn.co/mp3-preview/e915e843cc158999299b34d5e9a63aa008ac6913,"e.g. Wes Montgomery Trio ""Moanin'""","rgb(71, 157, 168)",17458px,996px,100%,20211227
contemporary gospel,https://p.scdn.co/mp3-preview/309370d808af9fd27f886794ec54bacab79ae0d7,"e.g. Doc McKenzie ""I'll Be Alright""","rgb(162, 119, 6)",11055px,607px,101%,20211227
jazz puertorriqueno,https://p.scdn.co/mp3-preview/50b286cab854375fe22a749691c3a8982c84cacb,"e.g. Bobby Valentin ""Part Time Lover (Amor a Medio Tiempo)""","rgb(156, 123, 96)",14872px,1032px,100%,20211227
norwegian alternative rock,https://p.scdn.co/mp3-preview/125a61091a3d5bae1ff85db35fd902f0c3752c17,"e.g. Blood Command ""A Villain's Monologue""","rgb(186, 109, 75)",9250px,295px,100%,20211227
macross,https://p.scdn.co/mp3-preview/113e34ea32c8dc0403c7958800778006bca93b92,"e.g. ランカ・リー=中島愛 ""星間飛行""","rgb(169, 123, 24)",6984px,413px,100%,20211227
psychokore,https://p.scdn.co/mp3-preview/bc88c262123ce6294ffdfc7f235c2bb1d25c7f11,"e.g. Blokkmonsta ""Zeiten sind mies""","rgb(184, 128, 17)",5820px,996px,101%,20211227
assyrian pop,https://p.scdn.co/mp3-preview/c49d316c7ea9c5c4d9e3e6ea49cd2717fd1dcc1a,"e.g. Linda George ""Jwanqeleh""","rgb(173, 131, 3)",6374px,741px,100%,20211227
german drill,https://p.scdn.co/mp3-preview/42f50525552858a5802898199db3adbf3df5ad34,"e.g. OSAMA ""Wax""","rgb(164, 140, 21)",7247px,1110px,104%,20211227
venda pop,https://p.scdn.co/mp3-preview/f57020ce3f5fe0df8202a873960052b76947c380,"e.g. Colbert Mukwevho ""Nne Na Inwi""","rgb(160, 144, 17)",8793px,989px,100%,20211227
finnish trap,https://p.scdn.co/mp3-preview/0e81e3a269fba439f5b3de3de82dafd37bfb8b80,"e.g. Cledos ""Samma gamla vanliga - Remix""","rgb(156, 148, 7)",3592px,1080px,101%,20211227
polish folk metal,https://p.scdn.co/mp3-preview/2df64508ee84204952047165aedbdad71004040b,"e.g. Radogost ""Raróg""","rgb(189, 94, 102)",8525px,223px,100%,20211227
houston rap,https://p.scdn.co/mp3-preview/2e3b2124dc43a3f6caa4a15db316f546aa32b8ab,"e.g. Lil Keke ""Chunk up the Deuce""","rgb(160, 135, 4)",5612px,1095px,105%,20211227
mahraganat,https://p.scdn.co/mp3-preview/626e94b05fc23505ffbf1bc43490547832cc7bba,"e.g. El Sawareekh ""مهرجان اخواتى""","rgb(214, 121, 12)",2713px,1122px,101%,20211227
malawian pop,https://p.scdn.co/mp3-preview/2fe6d87f33be55467be15e04d8146fc274bca1b2,"e.g. Onesimus ""Solomoni""","rgb(158, 143, 9)",10077px,1045px,100%,20211227
trival,https://p.scdn.co/mp3-preview/c3fe386cb6b0f218f9acab31063a403d63119e63,"e.g. El Pelón del Mikrophone ""La Cumbia Tribalera (feat. Edwin Luna y La Trakalosa de Monterrey & Grupo Violento)""","rgb(190, 135, 64)",2479px,1192px,100%,20211227
deep swedish rock,https://p.scdn.co/mp3-preview/80d6978154f7d06da0855a1655948c3f5b93ef55,"e.g. King Leaf Experience ""Fire At Will""","rgb(196, 107, 19)",6876px,399px,100%,20211227
tanzanian traditional,https://p.scdn.co/mp3-preview/6b16b1c86e01f1e68f4393f4c4b8cdd03fb930aa,"e.g. Mbaraka Mwinshehe ""Shida Pt 1 & 2""","rgb(119, 137, 34)",14911px,819px,100%,20211227
judaica,https://p.scdn.co/mp3-preview/55655cb9e904f3ba45705485d2023aa4f218feee,"e.g. Yosef Karduner ""V'afilu B'hastara""","rgb(81, 145, 22)",14196px,705px,101%,20211227
italian jazz,https://p.scdn.co/mp3-preview/5e56c33727995a18354b5f141c91e4e6358e6125,"e.g. Stefano Bollani ""Luz Negra""","rgb(75, 156, 134)",16928px,728px,101%,20211227
swedish rock-and-roll,https://p.scdn.co/mp3-preview/b389221e9ea3980580362dea59a95a1839eb3593,"e.g. Hep Stars ""Cadillac""","rgb(177, 122, 69)",10668px,655px,100%,20211227
classic bangla pop,https://p.scdn.co/mp3-preview/dd990debe79b06b10772687414f3ba05d7c5c044,"e.g. Bappa Mazumder ""Ami Chini Go Chini""","rgb(100, 152, 23)",15098px,635px,101%,20211227
kolkata indie,https://p.scdn.co/mp3-preview/783a34d9ac1ff7fa70d415ea35ea39469be86bfa,"e.g. Fossils ""Aro Ekber""","rgb(147, 139, 9)",8832px,672px,100%,20211227
haitian gospel,https://p.scdn.co/mp3-preview/74aec46f5db0f8402d0a42775d057e52e9ae11a9,"e.g. Jackson Chery ""Ou Leve Mwen""","rgb(152, 138, 10)",10189px,607px,100%,20211227
mambo,https://p.scdn.co/mp3-preview/f72094502468941a81bda9473c01866469d50f4f,"e.g. Cachao ""Cogele el Golpe""","rgb(140, 128, 69)",14886px,1008px,101%,20211227
indie cristao,https://p.scdn.co/mp3-preview/dcaf02c3e24eae3e1799b869a8fa726ed16b1e3f,"e.g. Marco Telles ""Até Sozim""","rgb(122, 151, 14)",11211px,507px,100%,20211227
wyoming indie,https://p.scdn.co/mp3-preview/931706b9cd085fff5cc72a846b2bf994eca9c1dc,"e.g. Teenage Bottlerocket ""Bigger Than Kiss""","rgb(170, 124, 31)",9284px,465px,100%,20211227
southern gospel,https://p.scdn.co/mp3-preview/6b23b101f2808322a08d7a2df5a83fd8c6e6e2de,"e.g. The Nelons ""If God Pulled Back The Curtain""","rgb(119, 143, 14)",12740px,548px,101%,20211227
dutch classical piano,https://p.scdn.co/mp3-preview/713a97089e3599ae1d90b75da6011542e0329dfd,"e.g. Johann Sebastian Bach """"Was mir behagt, ist nur die muntre Jagd"" Cantata, BWV 208: 9. Schafe können sicher weiden (Arr. For Piano Four Hands by Mary Howe)""","rgb(34, 164, 218)",19856px,541px,100%,20211227
chicago bop,https://p.scdn.co/mp3-preview/d7b269c2a2d3dbfc873a4af56ce6ad8ce778da30,"e.g. Matti Baybee ""Nobody Business""","rgb(157, 146, 2)",4679px,973px,103%,20211227
malagasy folk,https://p.scdn.co/mp3-preview/6628ed57fb2e644dbc1dc669ce68d21d20523cf9,"e.g. Jaojoby ""Tia anao zaho""","rgb(141, 137, 44)",11989px,1002px,100%,20211227
musica afroperuana,https://p.scdn.co/mp3-preview/113a1359119d4f4dc41d1d39478d3a03430b12bb,"e.g. Arturo ""Zambo"" Cavero ""Se Acabó y Punto""","rgb(143, 138, 28)",12235px,1102px,100%,20211227
turkish singer-songwriter,https://p.scdn.co/mp3-preview/80f0349649a9ac6a5c6ae77f81b4a39129a1a2f0,"e.g. Yiğit Seferoğlu ""Uğruna Savaşlar Verilmiş Gibisin""","rgb(131, 148, 13)",10523px,693px,103%,20211227
bubblegrunge,https://p.scdn.co/mp3-preview/0dfd36bb0f6c53dae614211b46c13d9264a0777c,"e.g. Remember Sports ""Get Bummed Out""","rgb(164, 126, 41)",9419px,393px,105%,20211227
worcester ma indie,https://p.scdn.co/mp3-preview/46b870f684253805711b6c3fcb834825c8980700,"e.g. James Keyes ""Paper in the Wind""","rgb(174, 121, 23)",8193px,462px,100%,20211227
italian post-hardcore,https://p.scdn.co/mp3-preview/0cc099645e5608a27996cb8f81d8fadef397c97d,"e.g. Gazebo Penguins ""Senza di te""","rgb(187, 112, 81)",9615px,297px,100%,20211227
english indie rock,https://p.scdn.co/mp3-preview/ab459c647a8104a16aa9dc73f9975264bf7e4ed8,"e.g. Sports Team ""Here's The Thing""","rgb(187, 121, 22)",5111px,385px,102%,20211227
goralski,https://p.scdn.co/mp3-preview/a4752175ed0575a08bf7c12a45fbc0ce0041fd7a,"e.g. Bajeranty ""Wodka""","rgb(131, 146, 5)",11286px,783px,100%,20211227
haitian dance,https://p.scdn.co/mp3-preview/c1575da9d782f15fdd5b67011b6a325e5897ed2f,"e.g. Tabou Combo ""Tu as volé""","rgb(178, 127, 25)",7029px,968px,100%,20211227
garage rock mexicano,https://p.scdn.co/mp3-preview/38b222a163265d45a59895583bedfd67bc2c45e3,"e.g. Ultrasonicas ""Monstruo Verde""","rgb(205, 105, 58)",5544px,352px,100%,20211227
czsk hip hop,https://p.scdn.co/mp3-preview/4bc75676d59293d28d762682759a0f118dbab78c,"e.g. Kontrafakt ""Reklama na Rap""","rgb(170, 139, 12)",6625px,1021px,104%,20211227
spa,https://p.scdn.co/mp3-preview/576938e2cde624006a50984ba84bda2cacce44a6,"e.g. Asian Spa Music Meditation ""Meditation Background Music""","rgb(92, 65, 202)",16875px,122px,100%,20211227
chinese new year,https://p.scdn.co/mp3-preview/b0a3aaac34f67b7aa83c8f80aa17b1baf27561a4,"e.g. Nick Chung ""Gong Xi Gong Xi""","rgb(157, 143, 7)",8414px,710px,100%,20211227
melanesian pop,https://p.scdn.co/mp3-preview/fa8f017c01fac0e2c6609f902b4e45f00ff45ea9,"e.g. Sharzy ""Ta' Umai""","rgb(160, 142, 8)",4214px,989px,101%,20211227
nordnorsk rap,https://p.scdn.co/mp3-preview/fb65e5d4cee1f3dea5011848332f238ed246d7a6,"e.g. RSP & Thomax ""Nordaførr""","rgb(171, 132, 32)",5808px,996px,100%,20211227
japanese pop rap,https://p.scdn.co/mp3-preview/1233792757a7bf99c8a6117ace91065805419575,"e.g. 15MUS ""YourSong""","rgb(172, 142, 9)",5583px,991px,101%,20211227
christian trap,https://p.scdn.co/mp3-preview/fee9d1e57ac66078339d01e4b4217a132fb8ce1c,"e.g. Dru Bex ""No Exit""","rgb(163, 140, 8)",7436px,996px,102%,20211227
swedish underground rap,https://p.scdn.co/mp3-preview/9a5949d7609400bad1625b8ff8fe89b023110659,"e.g. Organism 12 ""Diamanttårar""","rgb(175, 125, 22)",10202px,1034px,100%,20211227
liberian pop,https://p.scdn.co/mp3-preview/e311fe41f5788ca63917bd9da6da51cfecdc7499,"e.g. DenG ""GrateFul""","rgb(173, 141, 20)",5063px,1131px,100%,20211227
malaysian metal,https://p.scdn.co/mp3-preview/32685fde2be5f007c52edafe76854f2efab17105,"e.g. Cromok ""I Don't Belong Here""","rgb(218, 87, 77)",6911px,304px,100%,20211227
batidao romantico,https://p.scdn.co/mp3-preview/f4fd4419aa9176c71f5fde14b44596afe8fe3052,"e.g. MC Bruninho ""Sou Favela""","rgb(168, 150, 5)",4785px,1186px,102%,20211227
cumbia sonorense,https://p.scdn.co/mp3-preview/79421853161df714010c8ea797e7c4648565b9ca,"e.g. Los Ases de Durango ""Son Tus Perjumenes Mujer""","rgb(163, 138, 10)",11037px,1075px,102%,20211227
deep tech house,https://p.scdn.co/mp3-preview/53443828ffa0dd26aa97847958ddb83cb9e1b5ba,"e.g. CamelPhat ""Cola""","rgb(195, 139, 201)",211px,1415px,101%,20211227
hindustani classical,https://p.scdn.co/mp3-preview/a49e7c21e6d57a6a4cfb30ba9c43fb7f50dbb0da,"e.g. Traditional ""Raga:Darbari Kanada in Taal Jhoomra,Drut Teentaal ""Eri Bir Ri and Kinbairan Kaan Bhare-Ustad Amir Khan"" - Original""","rgb(109, 141, 100)",16981px,572px,100%,20211227
musica amapaense,https://p.scdn.co/mp3-preview/cad8a16b9c4cdfa72730ec7f7c2a93438ef509da,"e.g. Patrícia Bastos ""Dançando com Oxum""","rgb(160, 136, 11)",8992px,774px,100%,20211227
tech trance,https://p.scdn.co/mp3-preview/1e5046e154065b0097dcff167f950cc6fdc3cf3f,"e.g. Sean Tyas ""The World - Darren Porter Remix""","rgb(233, 107, 185)",782px,641px,100%,20211227
histoire pour enfants,https://p.scdn.co/mp3-preview/8c68080bbe833719694a44d6b7efcdfcd428d50a,"e.g. Gérard Rouzier ""Le dragon et le chevalier""","rgb(78, 136, 7)",15070px,1176px,100%,20211227
musique ancienne,https://p.scdn.co/mp3-preview/f6ebf9d5a49a86f357c71b83374d97a986368dcc,"e.g. Gregorio Allegri ""Miserere: I. Miserere mei, Deus""","rgb(44, 159, 65)",18810px,379px,100%,20211227
medieval rock,https://p.scdn.co/mp3-preview/90f862989ffb48411a6b34281a6f973d0423a2e6,"e.g. Versengold ""Thekenmädchen""","rgb(191, 112, 35)",6358px,419px,102%,20211227
canadian celtic,https://p.scdn.co/mp3-preview/997b9e3d8b7053e3fa9484c2e7a48fc281db56b3,"e.g. The Rankin Family ""You Feel The Same Way Too""","rgb(145, 139, 24)",12801px,527px,101%,20211227
variete francaise,https://p.scdn.co/mp3-preview/6f5a01b0b002f522f96b65b5b972074bfb08e4e7,"e.g. Arcadian ""Folie arcadienne""","rgb(166, 137, 2)",7431px,726px,103%,20211227
czech folk rock,https://p.scdn.co/mp3-preview/78af8f8d025cc2a58b5b23233a2e0cd08f9fd9dd,"e.g. Jablkoň ""5 Policajtů""","rgb(145, 138, 14)",10876px,728px,100%,20211227
north carolina indie,https://p.scdn.co/mp3-preview/95549fccce1f68f47f33ac9f48a4ab3977ca5c29,"e.g. Airstrip ""Pleasure Center""","rgb(139, 136, 39)",12260px,473px,101%,20211227
hampton roads indie,https://p.scdn.co/mp3-preview/6b3e5f2c632af855b0ff3bd69f6011966b62447e,"e.g. The Hunts ""Valentina""","rgb(166, 130, 37)",9693px,444px,100%,20211227
musica cabo-verdiana,https://p.scdn.co/mp3-preview/178bb68929c28038d89ac849fe2b7b765a736200,"e.g. Bulimundo ""Bulimundo""","rgb(158, 136, 23)",9067px,870px,100%,20211227
cimbalom,https://p.scdn.co/mp3-preview/323562943fdf038921ea36ff75e308fa49b55343,"e.g. Kálmán Balogh ""Bulgar Cigany Horo""","rgb(107, 152, 106)",16503px,710px,100%,20211227
serbian folk,https://p.scdn.co/mp3-preview/a22a2204b25eb84b678eb18b4723cb6536aa69c2,"e.g. Miroslav Ilic ""Pozdravi je, pozdravi""","rgb(139, 142, 23)",14010px,543px,100%,20211227
oulu indie,https://p.scdn.co/mp3-preview/2d069def0b70f8f8ee18f9009468c73855bac8ca,"e.g. Radiopuhelimet ""Naapurit""","rgb(180, 118, 33)",8365px,377px,100%,20211227
modern mod,https://p.scdn.co/mp3-preview/82026859f65f36fba3e47fceab1c1fa236c6bfc8,"e.g. New Street Adventure ""The Big A.C.""","rgb(188, 118, 34)",6370px,427px,100%,20211227
pop romantico,https://p.scdn.co/mp3-preview/2145a1212e0264009d33524518af5944606e4cdc,"e.g. Manolo Otero ""Todo el tiempo del mundo ""Soleado"" - 2015 Remaster""","rgb(134, 142, 8)",13284px,629px,103%,20211227
post-hardcore,https://p.scdn.co/mp3-preview/219c04268ab35cfd00cf6c4969c9b804da584e0a,"e.g. Jawbox ""Savory""","rgb(199, 93, 66)",9528px,302px,104%,20211227
birmingham hip hop,https://p.scdn.co/mp3-preview/677ec2b14697c10f5ebcea9851de5d2b1aee1651,"e.g. Mowgs ""Swerve Off""","rgb(168, 131, 19)",10596px,1047px,101%,20211227
uk melodic rap,https://p.scdn.co/mp3-preview/16978505c610f546180c40e8b66db97443d5e293,"e.g. Nino Uptown ""Lose Me""","rgb(153, 148, 3)",9636px,1047px,102%,20211227
jangle rock,https://p.scdn.co/mp3-preview/b2d6695d9ec16a576cb0703a30175ba0ae04be87,"e.g. The Twin Atlas ""Roll On""","rgb(150, 139, 51)",8648px,417px,100%,20211227
schlager,https://p.scdn.co/mp3-preview/a874f3adab00a17952982c76c6d5b962cefb6024,"e.g. Jörg Bausch ""Am Zuckerwattenstand""","rgb(195, 123, 3)",4070px,750px,104%,20211227
indie pop rap,https://p.scdn.co/mp3-preview/f140e037fd461c2011c2c43bc534ccf76d816a1b,"e.g. mike. ""These Days""","rgb(171, 134, 9)",6082px,966px,105%,20211227
r&b en espanol,https://p.scdn.co/mp3-preview/7cad94da585c7ca67252e37157ed7cba1d53b149,"e.g. Jesse Baez ""Malibú""","rgb(155, 151, 8)",6095px,1060px,105%,20211227
zen,https://p.scdn.co/mp3-preview/4267c575daa451c7c7b2614b51043956397c041a,"e.g. Zen Gaya ""Lost in the Clouds""","rgb(54, 134, 207)",17034px,140px,100%,20211227
thai idol,https://p.scdn.co/mp3-preview/b947b26b79f03ab20f6cf72e2916011ac4fd0d6e,"e.g. PCHY ""นับหนึ่งกันไหม - From ""2Moons The Series""""","rgb(143, 147, 14)",7567px,728px,101%,20211227
rap underground mexicano,https://p.scdn.co/mp3-preview/7e8d6ea1c9e3a5cf9ec9a87f672d9f3048f317ea,"e.g. T-Killa ""Sueña""","rgb(175, 126, 7)",7574px,1099px,102%,20211227
corrido,https://p.scdn.co/mp3-preview/328054bb6635d23161b41ad04dd308277e5fb0b1,"e.g. Los Minis de Caborca ""300 Locos""","rgb(163, 139, 1)",11474px,1077px,113%,20211227
musica ayacuchana,https://p.scdn.co/mp3-preview/e6f3928e7de3cd8a62b622e4cd46222d610572ab,"e.g. Dúo Hnos. Gaitán Castro ""Cómo has hecho""","rgb(162, 145, 8)",12898px,1008px,100%,20211227
fado de coimbra,https://p.scdn.co/mp3-preview/0b83e3094f76856e1ad8649cdba6dc197417e56d,"e.g. Luiz Goes ""Fado Do Estudante""","rgb(65, 163, 17)",18704px,705px,100%,20211227
fado antigo,https://p.scdn.co/mp3-preview/3dd315ca119a900fc59f25480ccae3712d0f7f40,"e.g. Fernando Farinha ""Menina do Rés-Do-Chão""","rgb(66, 162, 18)",18465px,738px,100%,20211227
sambalpuri pop,https://p.scdn.co/mp3-preview/1985e0756b34a66d5a832c82f633204eed3ff162,"e.g. Nil Sagar ""Darling""","rgb(200, 113, 2)",11310px,785px,100%,20211227
ensemble stars,https://p.scdn.co/mp3-preview/749b5a21ff571bcb8e7f66b72138dd3dc0d4585f,"e.g. Adam/乱 凪砂(CV.諏訪部順一)、七種 茨(CV.逢坂良太) ""The Beast of the End""","rgb(224, 105, 0)",2717px,427px,100%,20211227
denver metal,https://p.scdn.co/mp3-preview/d340c2e9387c0d6a45ff002980c86f538ce35804,"e.g. Khemmis ""A Conversation with Death""","rgb(224, 77, 113)",7441px,181px,100%,20211227
dutch stoner rock,https://p.scdn.co/mp3-preview/f87e4f6ca7b8a287624d8f110b40717a30a8d382,"e.g. Monomyth ""LHC""","rgb(186, 114, 102)",9904px,221px,100%,20211227
utapri,https://p.scdn.co/mp3-preview/c48f3c0884b044cf47b1a67fd497dd3c79e28193,"e.g. QUARTET NIGHT ""ポワゾンKISS""","rgb(205, 114, 70)",2515px,446px,100%,20211227
italian pop punk,https://p.scdn.co/mp3-preview/5ed965afc6bf8f3817aa5c9cb8860336736f8815,"e.g. Why Everyone Left ""No Messages""","rgb(218, 104, 18)",2930px,314px,100%,20211227
chamber choir,https://p.scdn.co/mp3-preview/d87cd7b90f7402964602ca14f58d200fc12fef48,"e.g. Gabriel Fauré ""Pavane, Op. 50""","rgb(34, 156, 66)",20162px,126px,100%,20211227
