genre,preview_url,preview_track,color,top,left,font_size,run_date
rap tico,https://p.scdn.co/mp3-preview/3270b125d66adda72c5b43b27db07a69c35ef0dc,"e.g. Soultwo ""Jesús""","rgb(176, 135, 34)",9189px,1107px,100%,20220607
choro,https://p.scdn.co/mp3-preview/a5dee969d6e4deead16ab612c3cdde3d7667eddf,"e.g. Altamiro Carrilho ""Choro No. 11""","rgb(102, 151, 105)",16758px,888px,101%,20220607
kompa chretien,https://p.scdn.co/mp3-preview/66136033a0b80cd061df63413cce1d2f02d9f5cb,"e.g. DJ H509 ""Tu es Yahweh""","rgb(166, 140, 12)",7945px,728px,100%,20220607
piano blues,https://p.scdn.co/mp3-preview/ad24245468823db16e794a31d2c1c5233cd370fe,"e.g. Champion Jack Dupree ""Junker's Blues""","rgb(102, 136, 45)",17101px,916px,101%,20220607
folk rock italiano,https://p.scdn.co/mp3-preview/4925c3ff7370dc4b326bb674b9540f6519f5a67d,"e.g. Bandabardò ""Se mi rilasso collasso""","rgb(132, 138, 11)",13684px,723px,102%,20220607
australian indie folk,https://p.scdn.co/mp3-preview/72c67e20b422d7dc46163640e0ada23924889e05,"e.g. Kyle Lionhart ""Sorry I'm Gone""","rgb(119, 151, 25)",12032px,641px,102%,20220607
canadian celtic,https://p.scdn.co/mp3-preview/d5dc146febf60fd1652692b454100a4db2dc2ddc,"e.g. The Rankin Family ""You Feel The Same Way Too""","rgb(147, 138, 24)",12859px,532px,101%,20220607
canadian blues,https://p.scdn.co/mp3-preview/f6ee8eb903eb329bc2d5946687195c9ffc0ef63e,"e.g. Colin James ""Three Hours Past Midnight""","rgb(151, 127, 14)",12057px,731px,100%,20220607
dortmund indie,https://p.scdn.co/mp3-preview/f7c2f421a6ca95be42e61c0b5d22a9ebabb67d28,"e.g. Phillip Boa And The Voodooclub ""Container Love""","rgb(189, 116, 35)",4489px,506px,100%,20220607
cha-cha-cha,https://p.scdn.co/mp3-preview/ff2691fb559f585f7f2da1f7a8834c58cdd48dc9,"e.g. Orquesta América ""Rico Vacilón""","rgb(127, 133, 62)",15662px,965px,101%,20220607
blues,https://p.scdn.co/mp3-preview/d9ab1922a03e5621eb6a62d98e8c109422c735ee,"e.g. Junior Wells ""She's A Sweet One""","rgb(105, 134, 33)",16964px,1009px,104%,20220607
dutch musical,https://p.scdn.co/mp3-preview/2ffcf946c2a347ef9d2a5debec69709334462ac3,"e.g. Cast Mary Poppins ""Supercalifragilisticexpialidasties""","rgb(118, 141, 19)",14277px,548px,100%,20220607
zim gospel,https://p.scdn.co/mp3-preview/a337c2da1b5008998c6b079316e19473a5ff490f,"e.g. Charles Charamba ""Ndinovimba Nemi""","rgb(158, 136, 4)",10004px,655px,100%,20220607
taiwan indie,https://p.scdn.co/mp3-preview/0bb7e2cb22fd8e39b690fd526e3d546f71a407c0,"e.g. Wayne's so Sad ""台北流浪指南""","rgb(150, 136, 35)",8433px,521px,102%,20220607
candombe,https://p.scdn.co/mp3-preview/c956f6cf5eac2e551465ea73eed085a85f0a55ac,"e.g. Jorginho Gularte ""Tambor, Tambora""","rgb(157, 130, 38)",10872px,969px,100%,20220607
singaporean punk,https://p.scdn.co/mp3-preview/0651813deb34df7e1e13ded80e89d2040d055acb,"e.g. Forests ""Kawaii Hawaii""","rgb(219, 85, 47)",6803px,301px,100%,20220607
fado instrumental,https://p.scdn.co/mp3-preview/be6a4dfe2d72231f29c0cb947f3c63d32dea6c9a,"e.g. Custódio Castelo ""In agradecimento Miss Morna""","rgb(105, 162, 142)",16237px,760px,100%,20220607
chanson quebecois,https://p.scdn.co/mp3-preview/25dcb01be619a8c43e18d4943bb8d55423fc735c,"e.g. Claude Valade ""Aide-moi à passer la nuit""","rgb(131, 142, 8)",13783px,629px,101%,20220607
st petersburg fl indie,https://p.scdn.co/mp3-preview/ba557ed15654d8f26a65b8b13414818431fc3d59,"e.g. Polyenso ""Pocket Knife Shadow""","rgb(158, 131, 41)",10493px,444px,100%,20220607
muzica usoara,https://p.scdn.co/mp3-preview/f2898f6fc3445478db077ad3b4e6061ed3f83c4e,"e.g. Aurelian Andreescu ""Tu Ești Primăvara Mea""","rgb(128, 143, 7)",13314px,621px,100%,20220607
thai folk,https://p.scdn.co/mp3-preview/3140f435f6ab1ce044ba0606f162c3f7b4b94903,"e.g. Greasy Cafe' ""ฝืน""","rgb(123, 147, 25)",12797px,632px,101%,20220607
neo-rockabilly,https://p.scdn.co/mp3-preview/ee289aaeb5691951bfc1ef17178ce3245829c57f,"e.g. Hicksville Bombers ""Whole Lotta Rosie""","rgb(184, 114, 21)",11400px,801px,100%,20220607
syro-aramaic chant,https://p.scdn.co/mp3-preview/a5a394a9654ff514eced768dc46d81d8f0e99d91,"e.g. Ghada Shbeir ""Lamma Bada Yatathanna""","rgb(53, 172, 25)",18799px,363px,100%,20220607
birmingham hip hop,https://p.scdn.co/mp3-preview/6accd9f2965e88e9a66dbf49bea6fd675c1e64b7,"e.g. Mowgs ""DIFFERENT""","rgb(168, 131, 19)",11453px,1048px,101%,20220607
musica popular amazonense,https://p.scdn.co/mp3-preview/43dfa4898b13d30a61da0a6f9295099dcf954965,"e.g. Boi Bumbá Caprichoso ""É Festa de Novo!""","rgb(168, 137, 14)",9947px,884px,100%,20220607
swamp pop,https://p.scdn.co/mp3-preview/dc90610b24f394c0951280039cefbfff69743df3,"e.g. Johnnie Allan ""Promised Land""","rgb(133, 134, 16)",12513px,836px,101%,20220607
pop lgbtq+ brasileira,https://p.scdn.co/mp3-preview/316cdfd47a1158a08f6ff471fe69f29433b2eb37,"e.g. Jaloo ""Céu Azul""","rgb(154, 143, 6)",8692px,928px,104%,20220607
brisbane indie,https://p.scdn.co/mp3-preview/7f30b9f90b83d675f9ed1ca4a5189699e48764e7,"e.g. WAAX ""Same Same""","rgb(178, 123, 35)",7239px,372px,101%,20220607
modern bollywood,https://p.scdn.co/mp3-preview/513c79a6bcf41d75e0f9c7441b8709c3f7f34d7e,"e.g. Javed Ali ""Srivalli (From ""Pushpa The Rise Part - 01"")""","rgb(153, 132, 12)",11306px,757px,114%,20220607
southern gospel,https://p.scdn.co/mp3-preview/5adc0b8d5253f6509dc40d6e0a48d71dfef5f8df,"e.g. The Nelons ""Come Morning""","rgb(119, 143, 14)",13019px,546px,101%,20220607
jazz puertorriqueno,https://p.scdn.co/mp3-preview/9c3bc2b6c2f3d2be270ed1e9528efdae7f620a63,"e.g. Tito Puente ""Oye Cómo Va""","rgb(156, 123, 96)",15361px,1034px,100%,20220607
chamame brasilero,https://p.scdn.co/mp3-preview/971700dd66d32c2a914da1f7c29fa627ff20bef1,"e.g. Canto Da Terra ""Bailanta Do Tiburcio""","rgb(158, 139, 24)",9761px,908px,100%,20220607
musica indigena latinoamericana,https://p.scdn.co/mp3-preview/e76c7838cfcf72c0228cf817576d8a663956c0cb,"e.g. Luzmila Carpio ""Tarpuricusum Sarata - Captain Planet Remix""","rgb(144, 143, 14)",11787px,918px,100%,20220607
greek rock,https://p.scdn.co/mp3-preview/37c1fbfd43c4053d16a183d49425334bbd864d01,"e.g. 1000mods ""Vidage""","rgb(181, 122, 49)",5777px,380px,100%,20220607
norwegian alternative rock,https://p.scdn.co/mp3-preview/b2a8b9e1436cc217bd99981de90e83407dad23a6,"e.g. Blood Command ""A Villain's Monologue""","rgb(185, 109, 74)",9671px,296px,100%,20220607
turkish singer-songwriter,https://p.scdn.co/mp3-preview/4a9de7fc264f0eee0ae9fdb5bcffbff42372379e,"e.g. Jehan Barbur ""Selvi Boylum Al Yazmalım""","rgb(131, 148, 13)",10983px,694px,104%,20220607
folklore paraguayo,https://p.scdn.co/mp3-preview/26ca4afe1a14897160bd93283b910883a277925b,"e.g. Los Alfonso ""Che la reina - En vivo""","rgb(148, 143, 25)",12513px,953px,101%,20220607
