genre,preview_url,preview_track,color,top,left,font_size,run_date
rap tico,https://p.scdn.co/mp3-preview/5c4323fcf28e121c40672b86755ad0ff25fc0603,"e.g. Crypy ""Big Man""","rgb(176, 135, 34)",9019px,1110px,100%,20220212
afroswing,https://p.scdn.co/mp3-preview/79c2c194926a5a4eff309d89cd47d9e9f010b731,"e.g. Kojo Funds ""I Like (feat. WizKid)""","rgb(164, 144, 9)",9314px,1090px,104%,20220212
dutch trap,https://p.scdn.co/mp3-preview/728308912691382899847c407c4ca2786d2db960,"e.g. Era ""Young Kings (feat. Jayboogz)""","rgb(153, 147, 14)",6564px,1140px,101%,20220212
maluku pop,https://p.scdn.co/mp3-preview/0b086ef55c35d53e65ad8e7ace105a3e1552ac7f,"e.g. Mpes ""Niet Meer Alleen""","rgb(145, 148, 9)",10492px,1101px,100%,20220212
indian metal,https://p.scdn.co/mp3-preview/21c495048966472e8937de6d4ac6e4ccc0a8546b,"e.g. Kryptos ""Mach Speed Running""","rgb(221, 85, 92)",5985px,248px,100%,20220212
mambo chileno,https://p.scdn.co/mp3-preview/ca377929b944056a1a7f8a175758fbd05873a47c,"e.g. Adan La Amenaza ""Dele Cotele 3""","rgb(176, 144, 6)",3969px,1153px,102%,20220212
trap brasileiro,https://p.scdn.co/mp3-preview/fdfbf491dba34a30f24254c9ebe0fb6d7a31efe9,"e.g. Aka Rasta ""AIAI""","rgb(147, 148, 6)",7926px,1075px,106%,20220212
zambian hip hop,https://p.scdn.co/mp3-preview/5ee1e9d3f033219c39bad0cafda2c04ccc4a072c,"e.g. Chef 187 ""Foolish Me""","rgb(180, 137, 7)",9290px,1019px,100%,20220212
kizomba cabo-verdiana,https://p.scdn.co/mp3-preview/259663c6619ac1eddb56b511e3a3c0b90173bc92,"e.g. Loony Johnson ""Dam Pam""","rgb(178, 147, 15)",2711px,1029px,100%,20220212
alternative metalcore,https://p.scdn.co/mp3-preview/bd385e5469a4e2df08a00ccae96d93fe2f9d99db,"e.g. Apron ""Kaleidoskop""","rgb(213, 94, 36)",5900px,334px,100%,20220212
deep rai,https://p.scdn.co/mp3-preview/5a4083a2abbebfb34b34393cad4031680fc2b2e6,"e.g. Kader Japonais ""Nti Sbabi""","rgb(204, 112, 9)",5612px,849px,101%,20220212
finnish alternative rock,https://p.scdn.co/mp3-preview/352014dfc3cafe6ccca24f267dc69ce8299efa37,"e.g. Lapko ""Money for Nothing""","rgb(195, 114, 27)",4769px,353px,101%,20220212
rap calme,https://p.scdn.co/mp3-preview/1419092e4a76b2a01943b347a78bdafe6d94b5d7,"e.g. Livaï ""Quelqu'un de bien""","rgb(141, 150, 5)",9851px,1049px,106%,20220212
unblack metal,https://p.scdn.co/mp3-preview/2dbdac083c1216b0ef347aa25f702b09e50e4d78,"e.g. Crimson Moonlight ""The Dogma of Chalcedon""","rgb(211, 83, 109)",8104px,198px,100%,20220212
screamo,https://p.scdn.co/mp3-preview/a3712bc10eeb109e476b2990115921f3363aea83,"e.g. From First To Last ""Emily""","rgb(213, 94, 31)",6368px,276px,107%,20220212
retro metal,https://p.scdn.co/mp3-preview/610a46213197fd6ea9a90a6c1b30240cccc6a334,"e.g. Wo Fat ""Enter the Riffian""","rgb(196, 111, 85)",9974px,278px,101%,20220212
kabyle,https://p.scdn.co/mp3-preview/5b03bccf7bb21d7c3f6d76ddebf44ea7000b351b,"e.g. Rabah Asma ""Ines""","rgb(177, 127, 14)",7513px,828px,100%,20220212
trecento,https://p.scdn.co/mp3-preview/da6bc670cd930b7bbc175b7b3e6adef326f6e704,"e.g. Matteo da Perugia ""Ave sancta mundi salus - Agnus dei""","rgb(25, 175, 63)",20197px,254px,100%,20220212
roots americana,https://p.scdn.co/mp3-preview/3fb16b7c5006a19bc56b2c99dcc6b74e5f4f7183,"e.g. Jeremy Pinnell ""Ballad of 1892""","rgb(143, 141, 8)",10492px,659px,103%,20220212
tunantada,https://p.scdn.co/mp3-preview/9a7eadfd3b9c883a3b31b2c06ee2c275a9d94faf,"e.g. Max Castro ""Tu Me Pides Que Te Olvide""","rgb(167, 136, 9)",12786px,907px,100%,20220212
reggae,https://p.scdn.co/mp3-preview/53842fc44e2dbc84b607fd16c28f07ec36d11a42,"e.g. Wailing Souls ""Jah Give Us Life""","rgb(138, 143, 32)",6635px,1212px,106%,20220212
uk reggae,https://p.scdn.co/mp3-preview/76de1ac6b52bca6d42c6ec38ed8f68d56e29851a,"e.g. Mungo's Hi Fi ""Jump Up Quickly""","rgb(153, 144, 28)",3622px,1170px,102%,20220212
south african deep house,https://p.scdn.co/mp3-preview/beb05c77059a80bb0bc1d918b3a3b63c98223181,"e.g. Sculptured Music ""OverFlow""","rgb(152, 151, 152)",971px,1291px,100%,20220212
german shoegaze,https://p.scdn.co/mp3-preview/b44946e7a499cec0673058f0ffaef97c78f4b237,"e.g. Seasurfer ""Too Wild""","rgb(164, 126, 114)",7577px,234px,100%,20220212
proto-rap,https://p.scdn.co/mp3-preview/cc63613358efe512a119ebb2ab32c3e395bac873,"e.g. Dr. Jeckyll & Mr. Hyde ""Genius Rap - 7"" Single Version""","rgb(187, 101, 43)",4543px,1286px,100%,20220212
cumbia salvadorena,https://p.scdn.co/mp3-preview/fd0e2e80faa51fc146ab3ee95d3fb23d1bf6c395,"e.g. Los Cocodrilos ""El Pirulino""","rgb(160, 143, 9)",7487px,1193px,101%,20220212
indonesian shoegaze,https://p.scdn.co/mp3-preview/55d045339a159b4182aeccea256c816e3f07b8bb,"e.g. Themilo ""For All the Dreams That Wings Could Fly""","rgb(185, 125, 123)",5443px,245px,100%,20220212
estonian metal,https://p.scdn.co/mp3-preview/f2e45a3bc65343916f6a49f15600c223a485b627,"e.g. Metsatöll ""Vimm""","rgb(218, 92, 99)",4704px,294px,100%,20220212
afro dancehall,https://p.scdn.co/mp3-preview/bd875491c20ecbd52745df82c8567224f3c1a2b7,"e.g. Olamide ""Infinity (feat. Omah Lay)""","rgb(193, 131, 5)",7376px,1047px,104%,20220212
cumbia ecuatoriana,https://p.scdn.co/mp3-preview/775e388206c64a781597e3d91ded8266b6a0b1fd,"e.g. Juanita Burbano ""Entre Que Sí y Que No""","rgb(151, 145, 22)",10653px,1062px,101%,20220212
garage punk,https://p.scdn.co/mp3-preview/0a58cfe8511dc592a4de3d5b60d96fff49652e99,"e.g. The Marked Men ""Fix My Brain""","rgb(219, 76, 70)",9029px,246px,100%,20220212
