genre,preview_url,preview_track,color,top,left,font_size,run_date
rap tico,https://p.scdn.co/mp3-preview/3270b125d66adda72c5b43b27db07a69c35ef0dc,"e.g. Soultwo ""Jesús""","rgb(176, 135, 33)",9441px,1108px,100%,20220714
musica amapaense,https://p.scdn.co/mp3-preview/85ec97257d1e691bb05f300f382072d59d8d75a1,"e.g. Patrícia Bastos ""Dançando com Oxum""","rgb(160, 135, 11)",9304px,768px,100%,20220714
classical harp,https://p.scdn.co/mp3-preview/970de8b07426ba99728b813fb0d9e4801c64bb52,"e.g. Johann Sebastian Bach ""Ave Maria""","rgb(29, 175, 182)",20405px,625px,100%,20220714
piano blues,https://p.scdn.co/mp3-preview/ad24245468823db16e794a31d2c1c5233cd370fe,"e.g. Champion Jack Dupree ""Junker's Blues""","rgb(102, 136, 45)",17112px,915px,101%,20220714
kompa chretien,https://p.scdn.co/mp3-preview/66136033a0b80cd061df63413cce1d2f02d9f5cb,"e.g. DJ H509 ""Tu es Yahweh""","rgb(167, 140, 12)",7868px,727px,100%,20220714
folk rock italiano,https://p.scdn.co/mp3-preview/4925c3ff7370dc4b326bb674b9540f6519f5a67d,"e.g. Bandabardò ""Se mi rilasso collasso""","rgb(132, 138, 11)",13562px,722px,102%,20220714
japanese classical piano,https://p.scdn.co/mp3-preview/42da37bd07a2f901757c111b090f95760634a965,"e.g. Claude Debussy ""ドビュッシー:ベルガマスク組曲〜月の光""","rgb(36, 159, 200)",20213px,522px,100%,20220714
blues,https://p.scdn.co/mp3-preview/d9ab1922a03e5621eb6a62d98e8c109422c735ee,"e.g. Junior Wells ""She's A Sweet One""","rgb(105, 134, 33)",17002px,1007px,104%,20220714
dortmund indie,https://p.scdn.co/mp3-preview/bc2fd0e58c8258ad6b5d59f920637bf04fd953c2,"e.g. Walking On Rivers ""Overachiever""","rgb(189, 116, 35)",4515px,505px,100%,20220714
cha-cha-cha,https://p.scdn.co/mp3-preview/ff2691fb559f585f7f2da1f7a8834c58cdd48dc9,"e.g. Orquesta América ""Rico Vacilón""","rgb(127, 133, 62)",15685px,965px,101%,20220714
dutch musical,https://p.scdn.co/mp3-preview/2ffcf946c2a347ef9d2a5debec69709334462ac3,"e.g. Cast Mary Poppins ""Supercalifragilisticexpialidasties""","rgb(118, 141, 19)",14241px,547px,100%,20220714
zim gospel,https://p.scdn.co/mp3-preview/a337c2da1b5008998c6b079316e19473a5ff490f,"e.g. Charles Charamba ""Ndinovimba Nemi""","rgb(158, 136, 4)",9888px,654px,100%,20220714
australian indie folk,https://p.scdn.co/mp3-preview/72c67e20b422d7dc46163640e0ada23924889e05,"e.g. Kyle Lionhart ""Sorry I'm Gone""","rgb(119, 151, 25)",12030px,640px,102%,20220714
taiwan indie,https://p.scdn.co/mp3-preview/0bb7e2cb22fd8e39b690fd526e3d546f71a407c0,"e.g. Wayne's so Sad ""台北流浪指南""","rgb(150, 136, 34)",8385px,518px,102%,20220714
fado instrumental,https://p.scdn.co/mp3-preview/be6a4dfe2d72231f29c0cb947f3c63d32dea6c9a,"e.g. Custódio Castelo ""In agradecimento Miss Morna""","rgb(107, 161, 142)",16206px,757px,100%,20220714
