genre,preview_url,preview_track,color,top,left,font_size,run_date
pop,https://p.scdn.co/mp3-preview/1bd8b56f5623c6eee74601848b0abdca40688743,"e.g. Camila Cabello ""Bam Bam (feat. Ed Sheeran)""","rgb(167, 139, 9)",5364px,802px,160%,20230407
dance pop,https://p.scdn.co/mp3-preview/d91c20ec61866c6189684cba9b910f3795dd5690,"e.g. Jessie J ""Bang Bang""","rgb(184, 132, 16)",3437px,852px,142%,20230407
rap,https://p.scdn.co/mp3-preview/f8d5e3c37feb980e60cac2df4256250d4b5cf5b5,"e.g. French Montana ""Unforgettable""","rgb(169, 132, 5)",5619px,1095px,140%,20230407
rock,https://p.scdn.co/mp3-preview/02716794fa9bf3d9263d2ddd32389bbb9cede48b,"e.g. The Who ""Baba O'Riley""","rgb(177, 112, 29)",10633px,499px,136%,20230407
hip hop,https://p.scdn.co/mp3-preview/73a29edeace09e859acfd831d3adfbe22399fb53,"e.g. Naughty By Nature ""Hip Hop Hooray""","rgb(172, 125, 11)",6355px,1082px,133%,20230407
urbano latino,https://p.scdn.co/mp3-preview/ef5722ef78b29d0335bd5fbff2c7cb728616d6b1,"e.g. Tainy ""Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)""","rgb(191, 143, 2)",3219px,1172px,132%,20230407
pop rap,https://p.scdn.co/mp3-preview/c287b4ba7979f74719a7bfd28ca59735b6370b5e,"e.g. Soulja Boy ""Kiss Me Thru The Phone""","rgb(177, 133, 7)",4655px,1016px,127%,20230407
reggaeton,https://p.scdn.co/mp3-preview/338ed053ce26ccc3313b00b5e6153e60ffd2eb19,"e.g. Yandel ""Yandel 150""","rgb(194, 141, 3)",2922px,1172px,126%,20230407
edm,https://p.scdn.co/mp3-preview/3a5f069c4ebc35e487c3b4bd433f3e1756a2678e,"e.g. Dillon Francis ""Don’t Let Me Let Go (with ILLENIUM & EVAN GIIA)""","rgb(200, 129, 63)",2527px,791px,125%,20230407
latin pop,https://p.scdn.co/mp3-preview/a26b703673f330dcb6ff491331b462c1eea34886,"e.g. Reyli Barba ""Amor del Bueno""","rgb(169, 139, 3)",6791px,818px,125%,20230407
modern rock,https://p.scdn.co/mp3-preview/6082516f3c05520cc2cf8cecd17e4ce8667c459e,"e.g. GROUPLOVE ""Tongue Tied""","rgb(188, 119, 28)",5731px,452px,124%,20230407
trap,https://p.scdn.co/mp3-preview/862ad595b0c10e822e3cb283e459060919c8ca52,"e.g. Waka Flocka Flame ""No Hands (feat. Roscoe Dash & Wale)""","rgb(164, 141, 2)",5287px,1075px,124%,20230407
classic rock,https://p.scdn.co/mp3-preview/6291f55a2e6ef6e126bb2c25cc4b62288ba804e0,"e.g. Steve Miller Band ""The Joker""","rgb(152, 121, 25)",12652px,684px,124%,20230407
r&b,https://p.scdn.co/mp3-preview/7019551765a068200d24b7899478d1d5bd81eb3a,"e.g. Keyshia Cole ""Love""","rgb(153, 139, 6)",6007px,927px,123%,20230407
pop dance,https://p.scdn.co/mp3-preview/1164c378d1a70ec8cfa42a28dc108503e8f62768,"e.g. Alesso ""Words (feat. Zara Larsson)""","rgb(201, 129, 58)",2500px,796px,123%,20230407
musica mexicana,https://p.scdn.co/mp3-preview/e9d147f0d634b11df1fa8acf58ac623f715d671c,"e.g. Colmillo Norteño ""Sueño Guajiro""","rgb(152, 143, 4)",12910px,1000px,123%,20230407
nueva musica mexicana,https://p.scdn.co/mp3-preview/417ea806e38589ced07cd638bf525ebac676f4e1,"e.g. Gerardo Coronel ""Te Felicito""","rgb(157, 143, 2)",12812px,1010px,122%,20230407
trap latino,https://p.scdn.co/mp3-preview/a9048d9e03c891951df93f671f3d814f574992c8,"e.g. Noriel ""Be Con Be""","rgb(173, 150, 2)",4707px,1175px,122%,20230407
permanent wave,https://p.scdn.co/mp3-preview/51784234b357240cd75dd166f1885cf768ec5311,"e.g. Echo & the Bunnymen ""The Killing Moon""","rgb(170, 120, 32)",8621px,492px,121%,20230407
post-teen pop,https://p.scdn.co/mp3-preview/f65d7638dc1ace74bb418cce34022f6147560a8a,"e.g. Selena Gomez & The Scene ""Love You Like A Love Song""","rgb(172, 136, 4)",4969px,757px,121%,20230407
mellow gold,https://p.scdn.co/mp3-preview/9c54ce8fd84b10aa931182e1797ae7b1f71c7940,"e.g. Don Henley ""The Boys Of Summer""","rgb(141, 131, 13)",12192px,631px,121%,20230407
tropical house,https://p.scdn.co/mp3-preview/1815285bb2c53d2c1f1e3ffacaf9226f740f77dc,"e.g. Felix Jaehn ""Call It Love""","rgb(192, 135, 51)",2582px,870px,121%,20230407
alternative metal,https://p.scdn.co/mp3-preview/5efe16cd96fbb2c320332c1ba8f120909db22d21,"e.g. Drowning Pool ""Bodies""","rgb(212, 95, 42)",6308px,329px,120%,20230407
contemporary country,https://p.scdn.co/mp3-preview/d12347cf047339898a81418f2baad385d61dbfd1,"e.g. Scotty McCreery ""It Matters To Her""","rgb(166, 136, 1)",6333px,552px,120%,20230407
soft rock,https://p.scdn.co/mp3-preview/0c2f81d7582232eac12276cc093f67583b9a81d7,"e.g. Chicago ""If You Leave Me Now""","rgb(147, 130, 14)",10699px,629px,120%,20230407
pop rock,https://p.scdn.co/mp3-preview/30e2a899a94a089d5c341b782b00aa802fd87610,"e.g. The Goo Goo Dolls ""Iris""","rgb(170, 128, 17)",7356px,494px,120%,20230407
k-pop,https://p.scdn.co/mp3-preview/b6ab4149f2a5908feac31141aeb806fc1de3a6c1,"e.g. SHINee ""Replay""","rgb(180, 133, 22)",5704px,773px,120%,20230407
canadian pop,https://p.scdn.co/mp3-preview/c9ded404e2c456ffc9f9ae28430e25cadaf827e6,"e.g. Danny Fernandes ""Hit Me Up""","rgb(151, 138, 5)",9090px,644px,119%,20230407
filmi,https://p.scdn.co/mp3-preview/7b8a959f5834cc7c483751f1a410417357044084,"e.g. Roop Kumar Rathod ""Tujh Mein Rab Dikhta Hai""","rgb(138, 135, 25)",14523px,782px,119%,20230407
album rock,https://p.scdn.co/mp3-preview/4e8704349932ecb754e3c03cdf3b1563309627a0,"e.g. Boston ""More Than a Feeling""","rgb(174, 112, 28)",11049px,465px,119%,20230407
desi pop,https://p.scdn.co/mp3-preview/08adf04785f734161de2a392f8bd1d09151105e5,"e.g. Guru Randhawa ""Moon Rise""","rgb(146, 133, 20)",13516px,768px,118%,20230407
country,https://p.scdn.co/mp3-preview/e82f5eef20dcf783c73db6ada4a8be86bdb0d54a,"e.g. Randy Travis ""Forever and Ever, Amen""","rgb(133, 139, 9)",11479px,687px,118%,20230407
electro house,https://p.scdn.co/mp3-preview/105556269db8065f39f5d17b348475f8bb19051b,"e.g. Laidback Luke ""Whistle (feat. Bertie Scott)""","rgb(206, 125, 78)",2174px,864px,117%,20230407
indie pop,https://p.scdn.co/mp3-preview/bb8b1e9c07ebd0a16e34ff2a0d83dfdf088d85d5,"e.g. Lucy Dacus ""Night Shift""","rgb(137, 141, 32)",10560px,584px,117%,20230407
hard rock,https://p.scdn.co/mp3-preview/2a0faa69cc2b5a8b4ce4bdae3fe2fe7ba603330a,"e.g. Alice Cooper ""Poison""","rgb(198, 97, 33)",9618px,354px,117%,20230407
southern hip hop,https://p.scdn.co/mp3-preview/5c9b15768e0dd656629cc4c5887f1a983e5da599,"e.g. Young Money ""Trophies""","rgb(169, 135, 3)",5437px,1069px,117%,20230407
corrido,https://p.scdn.co/mp3-preview/6e9e7daf6b782e5a5ba52c85370312393d1512ba,"e.g. Los Nuevos Ilegales ""Yo Fui El Elegante""","rgb(164, 139, 1)",13026px,1068px,117%,20230407
nu metal,https://p.scdn.co/mp3-preview/902dacc92715211e588270b1f4e62fd3681e218e,"e.g. Mudvayne ""Happy?""","rgb(217, 92, 38)",5539px,333px,117%,20230407
melodic rap,https://p.scdn.co/mp3-preview/e6c2b621372ac1abe59137a732f7736c933e7f88,"e.g. Lil Gnar ""Sticky Rice (feat. Germ)""","rgb(150, 156, 2)",4526px,1079px,117%,20230407
modern bollywood,https://p.scdn.co/mp3-preview/5c8c5231969e5d6952f54347aa00a6569a82d4b9,"e.g. Javed Ali ""Srivalli (From ""Pushpa The Rise Part - 01"")""","rgb(154, 132, 12)",11624px,754px,117%,20230407
sad sierreno,https://p.scdn.co/mp3-preview/737e02df2101ae364cdc908c68f50bc56ebdd633,"e.g. Esteban Gabriel ""Piel de Seda""","rgb(154, 145, 1)",12962px,1008px,117%,20230407
latin hip hop,https://p.scdn.co/mp3-preview/ddc2230ae8946ec1e1e4a7b69a9e65bab76c9869,"e.g. Tego Calderón ""Pa' Que Retozen""","rgb(190, 134, 4)",3501px,1145px,117%,20230407
urban contemporary,https://p.scdn.co/mp3-preview/cd1ac5679afd98761b09dd8b9c89c67f812d6b54,"e.g. Faith Evans ""Love Like This""","rgb(157, 134, 7)",5555px,929px,117%,20230407
uk pop,https://p.scdn.co/mp3-preview/0260c33a9f31bd4d2422b870371f7fda6312f2af,"e.g. Ella Henderson ""Ghost""","rgb(152, 145, 5)",8169px,764px,117%,20230407
electropop,https://p.scdn.co/mp3-preview/90625d0d1f3f63edce0891d6e7344a98bbe64680,"e.g. Allie X ""Devil I Know""","rgb(167, 139, 34)",4348px,787px,117%,20230407
alternative rock,https://p.scdn.co/mp3-preview/eb78b7ca6bf55be4ca94d0c0d577257aa7c106a2,"e.g. Pavement ""Harness Your Hopes - B-side""","rgb(179, 112, 52)",10075px,413px,117%,20230407
rock en espanol,https://p.scdn.co/mp3-preview/c52ca102bffb9a31560a24a4af79cc3ae9add660,"e.g. Los Enanitos Verdes ""Lamento Boliviano""","rgb(176, 127, 14)",6685px,701px,116%,20230407
tropical,https://p.scdn.co/mp3-preview/08c0ea73bb9cd6adf22b1395ff6db2772002bbb9,"e.g. Tito Nieves ""Fabricando Fantasías - Salsa Version""","rgb(167, 139, 8)",12377px,1049px,116%,20230407
gangster rap,https://p.scdn.co/mp3-preview/e5dbb1d53ea7efae1ffb6e30805ba1e00fe79a87,"e.g. Makaveli ""Hail Mary""","rgb(172, 127, 5)",5476px,1113px,116%,20230407
art pop,https://p.scdn.co/mp3-preview/ed84c9c1eea87197df5983afb695a782a6840035,"e.g. Perfume Genius ""Slip Away""","rgb(137, 140, 70)",9815px,555px,116%,20230407
ranchera,https://p.scdn.co/mp3-preview/c854bfb4703a1edc834234811c4d89119b6ae116,"e.g. Lucha Villa ""No Discutamos""","rgb(125, 148, 9)",13405px,877px,116%,20230407
neo mellow,https://p.scdn.co/mp3-preview/0952568e496914bb61383588ac417ec70abefc1d,"e.g. Jason Mraz ""I'm Yours""","rgb(142, 143, 8)",10200px,571px,116%,20230407
reggaeton colombiano,https://p.scdn.co/mp3-preview/912e9843d0d1eff6e1bc4f91bc1a5e9104947bc3,"e.g. Andy Rivera ""No Pinto Pajaritos""","rgb(185, 146, 1)",3446px,1154px,115%,20230407
atl hip hop,https://p.scdn.co/mp3-preview/1182f7efd7cb47978319521315b7322ef1521ce7,"e.g. Young Dro ""Shoulder Lean (feat. T.I.)""","rgb(162, 142, 4)",4163px,1062px,115%,20230407
alt z,https://p.scdn.co/mp3-preview/99e6cbecf7c0ddaef9dac1bb121d21501a7276da,"e.g. Charlotte Lawrence ""Joke's On You""","rgb(141, 148, 4)",8292px,800px,115%,20230407
country road,https://p.scdn.co/mp3-preview/63867b119633ebf0164c0790a426c8bb3a6a006d,"e.g. Randy Houser ""Note to Self""","rgb(164, 136, 2)",6386px,574px,115%,20230407
colombian pop,https://p.scdn.co/mp3-preview/3d58d8f334f00076f948ca2632a8bfbad12af9c3,"e.g. Andrés Cepeda ""Magia (feat. Sebastián Yatra)""","rgb(180, 141, 1)",4401px,1002px,115%,20230407
french hip hop,https://p.scdn.co/mp3-preview/09d5d2efe36fe94770e653097326b9d415660c71,"e.g. Rim'K ""Metaverse""","rgb(173, 136, 5)",10584px,1069px,114%,20230407
adult standards,https://p.scdn.co/mp3-preview/ab71015cd8957e29f04aadf38fb40741c8e2b711,"e.g. Bobby Darin ""Beyond the Sea""","rgb(87, 142, 37)",17630px,717px,114%,20230407
arrocha,https://p.scdn.co/mp3-preview/5140593a457233b0949e91606b598d39eac860e5,"e.g. Jonas Esticado ""Beijo Bêbado""","rgb(188, 141, 0)",8232px,966px,114%,20230407
latin alternative,https://p.scdn.co/mp3-preview/5e0e12557ef86dee3ef4f36b7689fcfddef5a25e,"e.g. Fobia ""El Microbito""","rgb(176, 128, 17)",6222px,771px,114%,20230407
art rock,https://p.scdn.co/mp3-preview/c82f78cdb980913052039da865227c934160df33,"e.g. Yes ""Owner of a Lonely Heart""","rgb(152, 124, 54)",11723px,521px,114%,20230407
new wave pop,https://p.scdn.co/mp3-preview/d69101dbd66295473706112d3edf978b70fc4550,"e.g. Eurythmics ""Sweet Dreams (Are Made of This) - Remastered""","rgb(166, 126, 21)",6169px,693px,114%,20230407
norteno,https://p.scdn.co/mp3-preview/49b1690427a8e4d84d55941e2720c7bf437afd4f,"e.g. Los Traileros Del Norte ""Abeja Reína""","rgb(151, 141, 3)",13115px,1069px,114%,20230407
sierreno,https://p.scdn.co/mp3-preview/fbe949b343eb143c21e7586cc5dc9844c20fcf58,"e.g. Abraham Vazquez ""Uno mas Uno Igual a Zero""","rgb(153, 145, 0)",13254px,1029px,114%,20230407
folk rock,https://p.scdn.co/mp3-preview/53ab746c37c717c20f793598064b7f720877b646,"e.g. Buffalo Springfield ""For What It's Worth""","rgb(126, 135, 18)",14017px,684px,114%,20230407
latin rock,https://p.scdn.co/mp3-preview/a5c1c6d54c02805228618fb5cf7496b6475086c9,"e.g. Los Fabulosos Cadillacs ""Vasos Vacíos - Remasterizado 2008""","rgb(176, 124, 25)",6547px,637px,114%,20230407
pop urbaine,https://p.scdn.co/mp3-preview/5b105e3b6b584ae870c496a7254af78b2e4a1995,"e.g. Gradur ""Ne reviens pas""","rgb(171, 142, 3)",9265px,1079px,114%,20230407
mexican pop,https://p.scdn.co/mp3-preview/f581df64cddeb306e234477565de888c146b516b,"e.g. Paty Cantú ""Afortunadamente No Eres Tu""","rgb(177, 136, 4)",5251px,793px,114%,20230407
german hip hop,https://p.scdn.co/mp3-preview/84fe973d16a4b39b9b0fb9de367169f89406a1c1,"e.g. PA Sports ""Bist du da""","rgb(163, 141, 17)",9988px,1064px,114%,20230407
