genre,preview_url,preview_track,color,top,left,font_size,run_date
scam rap,https://p.scdn.co/mp3-preview/c22c34022374613c8723d71eb6dbbd85084cd2a3,"e.g. Band Gang Lonnie Bands ""Detroit To Inglewood (feat. Ice Burgandy, Drego, Beno, Bandgang Masoe & VVSBeezy)""","rgb(160, 145, 1)",7133px,1078px,102%,20221008
deep tech house,https://p.scdn.co/mp3-preview/b20a6b7b0611761fea1853b9aac5efe38d9a0f72,"e.g. CamelPhat ""Cola""","rgb(195, 139, 201)",180px,1413px,101%,20221008
french tech house,https://p.scdn.co/mp3-preview/b4d88e1de3f79372ebe478f34433d84d97c9ac4d,"e.g. Chicks Luv Us ""Connection""","rgb(194, 136, 184)",234px,1389px,101%,20221008
musica amapaense,https://p.scdn.co/mp3-preview/7c73d85d5829854f7d428ff2e2214aec4be1e345,"e.g. Patrícia Bastos ""U Amassu I U Dubradú""","rgb(160, 136, 11)",9434px,769px,100%,20221008
viola,https://p.scdn.co/mp3-preview/882d73bf81c1822e8642a1465fc11aa5f4b2d285,"e.g. Antoine Tamestit ""Norma, Act I, Scene 1: Air de Norma ""Casta Diva"" (Arr. for Piano & Viola)""","rgb(36, 163, 139)",20833px,328px,100%,20221008
piano blues,https://p.scdn.co/mp3-preview/42a0dc74ed936ddf92ef19dba7eba9e613aff420,"e.g. Memphis Slim ""Lonesome""","rgb(102, 136, 45)",17272px,916px,101%,20221008
kompa chretien,https://p.scdn.co/mp3-preview/fa1e57b84a0d88d37d661f2895b4ae8c78825dab,"e.g. Nathie Priscilla ""C'est Zéro""","rgb(167, 140, 12)",7863px,731px,100%,20221008
folk rock italiano,https://p.scdn.co/mp3-preview/baf40a0e4345959c7f3bece0f751c2198b70d07d,"e.g. Mercanti di Liquore ""Il viaggiatore""","rgb(133, 137, 10)",13687px,721px,102%,20221008
dutch musical,https://p.scdn.co/mp3-preview/2ffcf946c2a347ef9d2a5debec69709334462ac3,"e.g. Cast Mary Poppins ""Supercalifragilisticexpialidasties""","rgb(118, 141, 19)",14420px,548px,100%,20221008
cha-cha-cha,https://p.scdn.co/mp3-preview/3ccfb935bde1972c46115f0c1914dec8e9c4ac0d,"e.g. Orquesta Aragón ""Quiéreme Sempre""","rgb(127, 133, 62)",15819px,965px,101%,20221008
canadian celtic,https://p.scdn.co/mp3-preview/2d353f9047f49b742c60fd922b1181bcb5abb429,"e.g. Rawlins Cross ""Reel 'n' Roll""","rgb(147, 138, 24)",13095px,532px,101%,20221008
muzica usoara,https://p.scdn.co/mp3-preview/d525c99c2891ff927c8245b61daaffff5e631832,"e.g. Aurelian Andreescu ""Oameni""","rgb(128, 143, 6)",13316px,623px,100%,20221008
classic australian country,https://p.scdn.co/mp3-preview/182797132739cb13613eeeef03b411eef19eb463,"e.g. Buddy Williams ""The Overlander Trail""","rgb(128, 142, 6)",12679px,855px,100%,20221008
birmingham indie,https://p.scdn.co/mp3-preview/088d0edbe0a734dd0ef2fa9c510d8028dc870197,"e.g. Peace ""Lovesick""","rgb(167, 130, 31)",7406px,438px,100%,20221008
oshare kei,https://p.scdn.co/mp3-preview/69befc875682f9f95ec4dd1a03083f8706100485,"e.g. SuG ""R.P.G.~Rockin' Playing Game""","rgb(213, 96, 32)",4266px,328px,101%,20221008
roots rock,https://p.scdn.co/mp3-preview/45abd519fbdc013585bb4011e8f1e510d84409eb,"e.g. Chuck Prophet ""Summertime Thing""","rgb(135, 134, 22)",12917px,668px,109%,20221008
taiwan indie,https://p.scdn.co/mp3-preview/0bb7e2cb22fd8e39b690fd526e3d546f71a407c0,"e.g. Wayne's so Sad ""台北流浪指南""","rgb(149, 136, 34)",8712px,521px,102%,20221008
chanson quebecois,https://p.scdn.co/mp3-preview/529d5b5393af1833c7ad99a906c024894cdc6ae9,"e.g. Les Classels ""Ton amour a changé ma vie""","rgb(130, 142, 8)",14136px,632px,101%,20221008
st petersburg fl indie,https://p.scdn.co/mp3-preview/ba557ed15654d8f26a65b8b13414818431fc3d59,"e.g. Polyenso ""Pocket Knife Shadow""","rgb(158, 132, 42)",10625px,442px,100%,20221008
fado instrumental,https://p.scdn.co/mp3-preview/be6a4dfe2d72231f29c0cb947f3c63d32dea6c9a,"e.g. Custódio Castelo ""In agradecimento Miss Morna""","rgb(107, 161, 142)",16385px,757px,100%,20221008
czsk reggae,https://p.scdn.co/mp3-preview/c5ce6ae4f98c560dfcda7b34e0539f245faf0e0e,"e.g. Coco Jammin ""Zahradnická Píseň""","rgb(191, 128, 9)",5614px,1013px,100%,20221008
modern bollywood,https://p.scdn.co/mp3-preview/513c79a6bcf41d75e0f9c7441b8709c3f7f34d7e,"e.g. Javed Ali ""Srivalli (From ""Pushpa The Rise Part - 01"")""","rgb(154, 131, 12)",11289px,757px,116%,20221008
deep talent show,https://p.scdn.co/mp3-preview/de266291ebe6127f71804efce7a1f2be3b4af241,"e.g. Britton Buchanan ""Cross My Mind""","rgb(150, 141, 8)",9053px,570px,101%,20221008
ragtime,https://p.scdn.co/mp3-preview/a2a41987dd014b68a842bc80d147b2b71a073e70,"e.g. Scott Joplin ""The Entertainer""","rgb(92, 143, 179)",19032px,1056px,100%,20221008
dutch classical piano,https://p.scdn.co/mp3-preview/8da88c07de46c49e27e82bee6e4da5d854afd919,"e.g. Lucas Jussen """"Was mir behagt, ist nur die muntre Jagd"" Cantata, BWV 208: 9. Schafe können sicher weiden (Arr. For Piano Four Hands by Mary Howe)""","rgb(34, 164, 217)",20748px,542px,100%,20221008
muzica crestina,https://p.scdn.co/mp3-preview/e67e8a0440808ac105027538950397b363ae1b90,"e.g. Alin Si Emima Timofte ""Promisiuni""","rgb(121, 150, 19)",12462px,510px,100%,20221008
hk-pop,https://p.scdn.co/mp3-preview/9e2bc24e9eb283fb4a55863b2da9988b1df8294a,"e.g. 葉巧琳 ""難道我還未夠難""","rgb(135, 146, 5)",9842px,718px,102%,20221008
ukhc,https://p.scdn.co/mp3-preview/c754b0aca0429bb23d85429860818cc1560d1801,"e.g. Guilt Trip ""River of Lies""","rgb(225, 79, 66)",8990px,242px,100%,20221008
classic psychedelic rock,https://p.scdn.co/mp3-preview/26987f9cc18bdae77ea1ff2331760e453e041cc0,"e.g. Paper Garden ""A Day""","rgb(147, 126, 49)",13131px,480px,100%,20221008
chamame brasilero,https://p.scdn.co/mp3-preview/d5d28f51a534d837a738607866a4f8cccdc7a52e,"e.g. Maciel Corrêa ""Orgulho Pantaneiro""","rgb(158, 138, 24)",9854px,908px,100%,20221008
musica indigena latinoamericana,https://p.scdn.co/mp3-preview/e76c7838cfcf72c0228cf817576d8a663956c0cb,"e.g. Luzmila Carpio ""Tarpuricusum Sarata - Captain Planet Remix""","rgb(144, 143, 14)",12569px,916px,100%,20221008
pinoy trap,https://p.scdn.co/mp3-preview/73cb6e5b9c06694a93049ef7eba444b5ae0b4fe5,"e.g. Kris Delano ""Alak Usok Pera""","rgb(149, 148, 10)",6276px,1037px,103%,20221008
classic colombian pop,https://p.scdn.co/mp3-preview/80c3d023ad9db01bae633a6dc2b797e3b15bb608,"e.g. Lucho Bowen ""Quererte Ya No Puedo""","rgb(130, 151, 11)",13239px,1091px,102%,20221008
swedish underground rap,https://p.scdn.co/mp3-preview/42dc5a0b4116026f899fabb7d16a9d7d047c5515,"e.g. Fjärde Världen ""Ännu en gång""","rgb(175, 125, 24)",10711px,1037px,100%,20221008
vintage chinese pop,https://p.scdn.co/mp3-preview/2286f4819e8f6efc43dbf2ca3ffe782c9205f674,"e.g. 張露 ""給我一個吻""","rgb(104, 154, 5)",14260px,506px,101%,20221008
melanesian pop,https://p.scdn.co/mp3-preview/bc6b1c694c0fed80f1c4b6eb4f384e6278b61a8c,"e.g. Dezine ""Sweet Darling""","rgb(160, 143, 7)",4379px,994px,101%,20221008
reggae en espanol,https://p.scdn.co/mp3-preview/ec28d7bc5c0e65bddb57243a3b32fcf299768e02,"e.g. La Muza ""Una Vez Mas""","rgb(172, 137, 10)",6102px,1069px,103%,20221008
namibian pop,https://p.scdn.co/mp3-preview/b52196fcc559cc6c5560acd9df0a616836ce4ade,"e.g. Gazza ""Chelete""","rgb(178, 135, 15)",4959px,1065px,100%,20221008
austin hip hop,https://p.scdn.co/mp3-preview/922bbc5aa1b12c486a5b1ef185a036bae6cf4536,"e.g. Quin Nfn ""Laid Back""","rgb(146, 145, 7)",8544px,1019px,100%,20221008
rap latina,https://p.scdn.co/mp3-preview/e37b1984d77dd9e4b92abded2d585835dbea2b7e,"e.g. Sara Hebe ""Tuve que quemar""","rgb(172, 143, 6)",5160px,1141px,105%,20221008
canadian indigenous hip hop,https://p.scdn.co/mp3-preview/9ee568e1d555577bec4a0225bab60388c603fbdb,"e.g. Drezus ""Warpath""","rgb(155, 139, 12)",5173px,1093px,100%,20221008
dub reggae,https://p.scdn.co/mp3-preview/0cceabd92964bff84b9c2b28307650e3ea41abfa,"e.g. Dubkasm ""Jah Victory""","rgb(162, 152, 103)",1438px,1201px,100%,20221008
funk mtg,https://p.scdn.co/mp3-preview/133ccfd5625c9edeed309ac44cbf42391fc57f2c,"e.g. Mc Souza ""Ela Faz Horrores Com a Xrc Dela X Cala a Boca""","rgb(171, 135, 6)",7951px,1296px,107%,20221008
reggae,https://p.scdn.co/mp3-preview/bcb04f38519519a1e3a31fc765b1349a14ae3856,"e.g. Wailing Souls ""Jah Give Us Life""","rgb(137, 143, 33)",6890px,1217px,106%,20221008
classic praise,https://p.scdn.co/mp3-preview/f8843fae8ead715d152cc2485de37933f6585214,"e.g. Joseph Garlington ""My Life Is In You, Lord""","rgb(107, 148, 32)",12584px,482px,101%,20221008
contemporary vocal jazz,https://p.scdn.co/mp3-preview/8ebc7b553eefdbfe4ff16aefea5c67383c99ba6d,"e.g. Ann Hampton Callaway ""A Kiss To Build A Dream On""","rgb(70, 154, 12)",17758px,728px,104%,20221008
jazz trumpet,https://p.scdn.co/mp3-preview/83c1dc51698a53fb78a48c5cda7d1ef2ef376ce9,"e.g. Tom Harrell ""Journey to the Stars""","rgb(87, 140, 100)",18035px,890px,103%,20221008
fingerstyle,https://p.scdn.co/mp3-preview/12967318f624d8b714a47b6c734a4a69648e36c3,"e.g. Peter Finger ""101 South""","rgb(76, 168, 177)",16761px,888px,101%,20221008
folk,https://p.scdn.co/mp3-preview/2512eeb8797ed308c867f40823a5b19130c33257,"e.g. Chris Smither ""Leave The Light On""","rgb(98, 147, 17)",15251px,774px,109%,20221008
histoire pour enfants,https://p.scdn.co/mp3-preview/0802600da21ab734f082324a2302282bf512a6d9,"e.g. Gérard Philipe ""Le petit Prince, pt. 1""","rgb(79, 136, 6)",15680px,1177px,100%,20221008
euphoric hardstyle,https://p.scdn.co/mp3-preview/a91cc3c8a5daa8c4f4fa724f3a5f2686d8205080,"e.g. Toneshifterz ""Paradise""","rgb(229, 105, 55)",2507px,512px,104%,20221008
mambo,https://p.scdn.co/mp3-preview/c31774f700aadde7f4a9e5332015804d50599981,"e.g. Cachao ""Cogele el Golpe""","rgb(140, 128, 69)",15514px,1011px,101%,20221008
variete francaise,https://p.scdn.co/mp3-preview/c21270a9ead14b79e384226cb047dfb48d120baf,"e.g. Arcadian ""Ton combat""","rgb(165, 138, 2)",7678px,733px,102%,20221008
swedish rock-and-roll,https://p.scdn.co/mp3-preview/3df89c2c8b5d69c699f59ce524288bebc3516f0f,"e.g. Ola & The Janglers ""Let's Dance""","rgb(177, 122, 69)",11006px,655px,100%,20221008
traditional country,https://p.scdn.co/mp3-preview/c172a8378fd4c27cbb2449ed152a2f1ddb8acc7f,"e.g. Ernest Tubb ""Thanks A Lot""","rgb(83, 148, 17)",17022px,904px,101%,20221008
birmingham hip hop,https://p.scdn.co/mp3-preview/d416ac734309c982abbb8994b3407d883880fef4,"e.g. Stardom ""Hashtag""","rgb(167, 132, 19)",11586px,1045px,101%,20221008
audiophile vocal,https://p.scdn.co/mp3-preview/d464263943615c4fb57925413b8fd0eb9f5e60a5,"e.g. Valerie Joyce ""That's What Friends Are For""","rgb(68, 161, 8)",16702px,787px,100%,20221008
iskelma,https://p.scdn.co/mp3-preview/5b20aae96732b5d5774d6d61e6b2699a168c26f5,"e.g. Neljänsuora ""Mansikkaa ja valkoapilaa""","rgb(147, 139, 4)",9568px,675px,102%,20221008
southern gospel,https://p.scdn.co/mp3-preview/5adc0b8d5253f6509dc40d6e0a48d71dfef5f8df,"e.g. The Nelons ""Come Morning""","rgb(119, 143, 14)",13205px,548px,101%,20221008
swedish indie folk,https://p.scdn.co/mp3-preview/3b25643dd3cb1d28d59785004bbd6af0f147ea99,"e.g. Amanda Bergman ""Falcons""","rgb(101, 159, 55)",14334px,539px,101%,20221008
spanish new wave,https://p.scdn.co/mp3-preview/96396ccccd75a5bdbc04318b72968bca61d4ab85,"e.g. La Dama Se Esconde ""La tierra de los sueños""","rgb(187, 119, 19)",6442px,665px,103%,20221008
musica santomense,https://p.scdn.co/mp3-preview/1acd630729e6b865e10dc0c578d8fefb4aa11e4d,"e.g. Camilo Domingos ""Porque e Que e Assim""","rgb(184, 138, 20)",5714px,998px,100%,20221008
musica folk asturiana,https://p.scdn.co/mp3-preview/190b71128789a570e4f190883d9455da7a52a3f1,"e.g. Felpeyu ""Loa Fayeos de Mayo""","rgb(143, 145, 50)",11620px,357px,100%,20221008
chicago rap,https://p.scdn.co/mp3-preview/b426be65e9839c8ebd2237bfd5e097b7d1c768e7,"e.g. FBG Duck ""Exposing Me Remix (feat. Rooga)""","rgb(165, 140, 8)",6516px,1009px,113%,20221008
zim hip hop,https://p.scdn.co/mp3-preview/6cee1dc5d780a1a86f44fe4b9a852cbdc30bddc7,"e.g. Takura ""Goosebumps""","rgb(168, 143, 12)",7171px,1022px,100%,20221008
rap pernambucano,https://p.scdn.co/mp3-preview/5a3e4af8ecd0915f672b054419c86f1931ee64b2,"e.g. Luiz Lins ""Eu Tô Bem""","rgb(148, 148, 11)",9020px,1065px,100%,20221008
christian music,https://p.scdn.co/mp3-preview/0f7593aa4f02bbb9cd1cdfdce29f65a5922dd253,"e.g. Jeremy Camp ""Keep Me In The Moment - Radio Version""","rgb(156, 137, 13)",7087px,388px,108%,20221008
russian folk rock,https://p.scdn.co/mp3-preview/0f9ce6bb0f06cc66e9be478a68c02e598b8c7d8c,"e.g. Мельница ""Прощай""","rgb(150, 135, 16)",10388px,587px,101%,20221008
