genre,preview_url,preview_track,color,top,left,font_size,run_date
rap tico,https://p.scdn.co/mp3-preview/3383596b1cb4129ad186b217b963e2b15e18bf04,"e.g. Crypy ""Big Man""","rgb(176, 135, 34)",8940px,1109px,100%,20220419
lovers rock,https://p.scdn.co/mp3-preview/a6e4f32b9799e45a9dad7f9c8b6df308d82540d3,"e.g. Bitty McLean ""Walk Away From Love""","rgb(142, 145, 13)",6593px,1178px,103%,20220419
piano blues,https://p.scdn.co/mp3-preview/ad24245468823db16e794a31d2c1c5233cd370fe,"e.g. Champion Jack Dupree ""Junker's Blues""","rgb(102, 136, 45)",16998px,918px,101%,20220419
indonesian folk,https://p.scdn.co/mp3-preview/f8b185ac4bd865ca25a1afd2ae93de6f781955dd,"e.g. Float ""Pulang""","rgb(106, 157, 25)",13550px,609px,102%,20220419
kompa chretien,https://p.scdn.co/mp3-preview/66136033a0b80cd061df63413cce1d2f02d9f5cb,"e.g. DJ H509 ""Tu es Yahweh""","rgb(166, 140, 12)",7968px,730px,100%,20220419
folk rock italiano,https://p.scdn.co/mp3-preview/4925c3ff7370dc4b326bb674b9540f6519f5a67d,"e.g. Bandabardò ""Se mi rilasso collasso""","rgb(132, 138, 11)",13438px,725px,102%,20220419
blues,https://p.scdn.co/mp3-preview/d9ab1922a03e5621eb6a62d98e8c109422c735ee,"e.g. Junior Wells ""She's A Sweet One""","rgb(105, 134, 33)",16839px,1009px,104%,20220419
canadian blues,https://p.scdn.co/mp3-preview/f6ee8eb903eb329bc2d5946687195c9ffc0ef63e,"e.g. Colin James ""Three Hours Past Midnight""","rgb(151, 127, 14)",11981px,732px,100%,20220419
dutch musical,https://p.scdn.co/mp3-preview/2ffcf946c2a347ef9d2a5debec69709334462ac3,"e.g. Cast Mary Poppins ""Supercalifragilisticexpialidasties""","rgb(117, 141, 19)",14353px,548px,100%,20220419
zim gospel,https://p.scdn.co/mp3-preview/593434f0033dc085a2f6f2fe10f434d8e216610a,"e.g. Charles Charamba ""Kana vanhu vangu""","rgb(159, 136, 4)",9792px,662px,100%,20220419
cha-cha-cha,https://p.scdn.co/mp3-preview/769d32602cc6284be347eb302379d9798616acf9,"e.g. Orquesta América ""Me Lo Dijo Adela - Remasterizado""","rgb(127, 133, 62)",15572px,967px,101%,20220419
sunshine pop,https://p.scdn.co/mp3-preview/763d8180795ecc185627b846dff2ae95a43b7884,"e.g. The Cyrkle ""Red Rubber Ball""","rgb(126, 132, 8)",13894px,666px,103%,20220419
wyoming indie,https://p.scdn.co/mp3-preview/eda7f967de68b52cf03ec17cf18d7ed4d21564e8,"e.g. The Lillingtons ""Black Hole In My Mind""","rgb(170, 124, 30)",9177px,467px,100%,20220419
singaporean punk,https://p.scdn.co/mp3-preview/0651813deb34df7e1e13ded80e89d2040d055acb,"e.g. Forests ""Kawaii Hawaii""","rgb(219, 85, 47)",6761px,301px,100%,20220419
muzica usoara,https://p.scdn.co/mp3-preview/f2898f6fc3445478db077ad3b4e6061ed3f83c4e,"e.g. Aurelian Andreescu ""Tu Ești Primăvara Mea""","rgb(128, 143, 7)",13302px,622px,100%,20220419
st petersburg fl indie,https://p.scdn.co/mp3-preview/0f832c466899b8be5a9ffd7549bea1ab6fba6d0f,"e.g. Polyenso ""Falling in Rain""","rgb(158, 131, 41)",10137px,446px,100%,20220419
candombe,https://p.scdn.co/mp3-preview/c956f6cf5eac2e551465ea73eed085a85f0a55ac,"e.g. Jorginho Gularte ""Tambor, Tambora""","rgb(157, 130, 38)",10622px,971px,100%,20220419
classic pakistani pop,https://p.scdn.co/mp3-preview/2e54f067d35a51ce01fc74de3fe35d866af92585,"e.g. Sajjad Ali ""Tum Naraz Ho""","rgb(133, 134, 33)",14674px,732px,103%,20220419
jam band,https://p.scdn.co/mp3-preview/3cbee2b860f33b0f5b3a66505ba2f2810c01c240,"e.g. moe. ""Silver Sun""","rgb(155, 126, 59)",12523px,698px,104%,20220419
fado instrumental,https://p.scdn.co/mp3-preview/be6a4dfe2d72231f29c0cb947f3c63d32dea6c9a,"e.g. Custódio Castelo ""In agradecimento Miss Morna""","rgb(105, 162, 142)",16132px,759px,100%,20220419
classic bangla pop,https://p.scdn.co/mp3-preview/f31d2796b803e3bb312297f1f7af7ac6e8da5543,"e.g. Bappa Mazumder ""Ami Chini Go Chini""","rgb(100, 152, 22)",15478px,637px,101%,20220419
syro-aramaic chant,https://p.scdn.co/mp3-preview/a5a394a9654ff514eced768dc46d81d8f0e99d91,"e.g. Ghada Shbeir ""Lamma Bada Yatathanna""","rgb(53, 172, 25)",18703px,364px,100%,20220419
scottish indie rock,https://p.scdn.co/mp3-preview/da15a2be4bf2ded93fd0f6f7011da85a9635b7a7,"e.g. Declan Welsh and The Decadent West ""Absurd""","rgb(188, 120, 26)",5319px,362px,101%,20220419
thai folk,https://p.scdn.co/mp3-preview/3140f435f6ab1ce044ba0606f162c3f7b4b94903,"e.g. Greasy Cafe' ""ฝืน""","rgb(123, 147, 26)",12485px,634px,101%,20220419
pop lgbtq+ brasileira,https://p.scdn.co/mp3-preview/e563bd5d7f44cca5ada7f741687a889f0f5d2636,"e.g. Linn da Quebrada ""Necomancia""","rgb(155, 143, 6)",8277px,932px,104%,20220419
birmingham hip hop,https://p.scdn.co/mp3-preview/6accd9f2965e88e9a66dbf49bea6fd675c1e64b7,"e.g. Mowgs ""DIFFERENT""","rgb(168, 131, 19)",11239px,1048px,101%,20220419
swamp pop,https://p.scdn.co/mp3-preview/dc90610b24f394c0951280039cefbfff69743df3,"e.g. Johnnie Allan ""Promised Land""","rgb(133, 134, 16)",12687px,833px,101%,20220419
pop costarricense,https://p.scdn.co/mp3-preview/03877aa18fd7228cc5be0b57b20c738562d0e957,"e.g. GIMARIO ""Pensándote - Remix""","rgb(171, 142, 10)",8801px,1031px,100%,20220419
musica afroperuana,https://p.scdn.co/mp3-preview/142bfa3bd4a19e4411212915a1263f3953cc30f2,"e.g. Cecilia Barraza ""Cada Domingo a las Doce Después de la Misa""","rgb(144, 138, 27)",12588px,1103px,100%,20220419
chamame brasilero,https://p.scdn.co/mp3-preview/d5d28f51a534d837a738607866a4f8cccdc7a52e,"e.g. Maciel Corrêa ""Orgulho Pantaneiro""","rgb(158, 139, 24)",9709px,910px,100%,20220419
musica indigena latinoamericana,https://p.scdn.co/mp3-preview/e76c7838cfcf72c0228cf817576d8a663956c0cb,"e.g. Luzmila Carpio ""Tarpuricusum Sarata - Captain Planet Remix""","rgb(144, 143, 14)",11563px,920px,100%,20220419
jazz puertorriqueno,https://p.scdn.co/mp3-preview/89efc4ecbfe8f61361f4a22d8b4f4341efda8c62,"e.g. Bobby Valentin ""Part Time Lover (Amor a Medio Tiempo)""","rgb(156, 123, 96)",15273px,1035px,100%,20220419
korean trap,https://p.scdn.co/mp3-preview/0d6a05e5ccc7f6107fc674f277dc588027afcef8,"e.g. ZENE THE ZILLA ""Ruby (Feat. Gist)""","rgb(178, 143, 10)",5929px,1020px,100%,20220419
turkish singer-songwriter,https://p.scdn.co/mp3-preview/4a9de7fc264f0eee0ae9fdb5bcffbff42372379e,"e.g. Jehan Barbur ""Selvi Boylum Al Yazmalım""","rgb(131, 148, 13)",10797px,695px,103%,20220419
polish alternative rap,https://p.scdn.co/mp3-preview/4605f9d17e9920f2df9ade72506005783d7ea98c,"e.g. Gruby Mielzky ""Jak Wyśnię""","rgb(177, 129, 12)",8639px,1033px,104%,20220419
rap latina,https://p.scdn.co/mp3-preview/e37b1984d77dd9e4b92abded2d585835dbea2b7e,"e.g. Sara Hebe ""Tuve que quemar""","rgb(172, 143, 6)",5152px,1143px,106%,20220419
oc rap,https://p.scdn.co/mp3-preview/5ccaa27bd99345fb69c60471d852475cdc8d55c6,"e.g. Yung Pinch ""Perfect""","rgb(146, 147, 5)",7365px,1046px,101%,20220419
deep swedish rock,https://p.scdn.co/mp3-preview/ca97af491b51dab941e6eed1d1164fc33b7fdc8f,"e.g. King Leaf Experience ""Fire At Will""","rgb(196, 107, 19)",6873px,400px,100%,20220419
hindustani classical,https://p.scdn.co/mp3-preview/4bdf8040d563bf5acd9c6237839cbe0f0cca220d,"e.g. Traditional ""Raga:Darbari Kanada in Taal Jhoomra,Drut Teentaal ""Eri Bir Ri and Kinbairan Kaan Bhare-Ustad Amir Khan"" - Original""","rgb(111, 141, 100)",17302px,581px,100%,20220419
contemporary vocal jazz,https://p.scdn.co/mp3-preview/a34c306f493e0950d7d09b0f653c23743ae8ad65,"e.g. Carol Welsman ""Memories of You""","rgb(70, 154, 12)",17438px,732px,104%,20220419
australian classical piano,https://p.scdn.co/mp3-preview/be9ad01ab9ecb0610e45c9caaaea6edc596b3a2f,"e.g. Camille Saint-Saëns ""Javotte, R. 306 (Version for Piano Solo) [Excerpts]: III. Pas de deux""","rgb(28, 164, 194)",20462px,512px,100%,20220419
japanese jazz,https://p.scdn.co/mp3-preview/42d2b7946145204117409395e575ff47fe7c1770,"e.g. Chihiro Yamanaka ""乙女の祈り""","rgb(103, 143, 122)",14894px,809px,101%,20220419
histoire pour enfants,https://p.scdn.co/mp3-preview/b441a186cb7b196a2c48e76fb9a1e2cb023f8db8,"e.g. Vincent Malone ""Chapitre 1""","rgb(79, 136, 6)",15463px,1177px,100%,20220419
fingerstyle,https://p.scdn.co/mp3-preview/9618d18ec09d91964b18b90873c271beefb5001d,"e.g. Isato Nakagawa ""Tree Circle""","rgb(76, 168, 177)",16552px,891px,101%,20220419
adoracion,https://p.scdn.co/mp3-preview/4c297d568281c2f47f412bf901fd5356b21171d1,"e.g. Miguel Canales ""Suelta Lo Que Es Mio""","rgb(156, 139, 20)",8958px,581px,101%,20220419
musique ancienne,https://p.scdn.co/mp3-preview/bdefd5d92d10f1171064349bf7c32dfd7c3d27c0,"e.g. Gregorio Allegri ""Miserere: I. Miserere mei, Deus""","rgb(44, 159, 65)",19315px,382px,100%,20220419
jazz composition,https://p.scdn.co/mp3-preview/413c6daae046ca36fdd0cdcfe7b69e7b199dc0aa,"e.g. Peter Calandra ""Sunset Sky""","rgb(89, 154, 146)",15941px,782px,100%,20220419
swedish rock-and-roll,https://p.scdn.co/mp3-preview/3df89c2c8b5d69c699f59ce524288bebc3516f0f,"e.g. Ola & The Janglers ""Let's Dance""","rgb(177, 122, 69)",10859px,657px,100%,20220419
mambo,https://p.scdn.co/mp3-preview/3ccfb935bde1972c46115f0c1914dec8e9c4ac0d,"e.g. Orquesta Aragón ""Quiéreme Sempre""","rgb(140, 128, 69)",15288px,1013px,101%,20220419
ye ye,https://p.scdn.co/mp3-preview/f8cb6af604dd0eb65264e71dbb307cafa79c5d48,"e.g. Sheila ""Spacer""","rgb(131, 138, 7)",14588px,617px,102%,20220419
classic turkish pop,https://p.scdn.co/mp3-preview/2b53b13a6a749959cd6a13e848e5e72dd4f6f483,"e.g. Sibel Egemen ""Yalnız Adam""","rgb(129, 138, 13)",14600px,562px,102%,20220419
variete francaise,https://p.scdn.co/mp3-preview/e345ba60a8d109114c34587166064a0bcca3e253,"e.g. Arcadian ""Folie arcadienne""","rgb(166, 138, 2)",7551px,730px,103%,20220419
