genre,preview_url,preview_track,color,top,left,font_size,run_date
lovers rock,https://p.scdn.co/mp3-preview/8877bb6476ea39c04ef9102c8a883ac750129cb7,"e.g. Bitty McLean ""Walk Away From Love""","rgb(142, 145, 13)",6423px,1179px,103%,20220106
school ensemble,https://p.scdn.co/mp3-preview/606ee8ab8502cb646cd8453e1e19315a78bb177c,"e.g. Edison High School Band ""I Want To Hold Your Hand""","rgb(96, 131, 131)",15708px,532px,100%,20220106
folk rock italiano,https://p.scdn.co/mp3-preview/8cca442cdc2252e0fd757122e82687225ba601ad,"e.g. Bandabardò ""Se mi rilasso collasso""","rgb(134, 138, 10)",13012px,718px,102%,20220106
piano blues,https://p.scdn.co/mp3-preview/fd161f29a12adc40d69671ad6ff05a20135dab40,"e.g. Champion Jack Dupree ""Junker's Blues""","rgb(102, 136, 45)",16555px,916px,101%,20220106
dalarna indie,https://p.scdn.co/mp3-preview/5c36c4e79f24365fad5973bbf5d7239186c18fac,"e.g. Gustaf & Viktor Norén ""Sånger från dig (Tunna skivor)""","rgb(166, 128, 23)",9691px,413px,101%,20220106
dutch musical,https://p.scdn.co/mp3-preview/1c9e38c243530c813e8c5aab94000ad9612951a9,"e.g. Cast Mary Poppins ""Supercalifragilisticexpialidasties""","rgb(118, 140, 20)",14175px,546px,100%,20220106
cante alentejano,https://p.scdn.co/mp3-preview/8c809769e53463235a5fcb1a8a6d56e41fba903c,"e.g. Rancho De Cantadores De Aldeia Nova De São Bento ""Trago Alentejo Na Voz""","rgb(58, 156, 94)",18571px,623px,100%,20220106
jazz composition,https://p.scdn.co/mp3-preview/169575d13b51892c93e0a08f365e89a082877a0f,"e.g. Peter Calandra ""Back Alley Blues""","rgb(90, 154, 148)",15496px,781px,100%,20220106
canadian blues,https://p.scdn.co/mp3-preview/73f3709118c79dc6823ba1a80a9ac0d947627515,"e.g. Colin James ""Three Hours Past Midnight""","rgb(151, 127, 14)",11667px,731px,100%,20220106
cha-cha-cha,https://p.scdn.co/mp3-preview/99d613154f036a571fb8fb0bdb7b4af80f04cb4d,"e.g. Orquesta América ""La Basura""","rgb(128, 133, 63)",15178px,964px,101%,20220106
